Date,Open,High,Low,Close/Last,Volume
2013-04-15,"43,1","43,4","42,24","42,7","84790,81"
2013-04-17,"43,38","43,38","42,79",43,"203747,15"
2013-04-18,"43,15","43,34","42,9","43,1","115744,18"
2013-04-19,"43,31","43,31","42,8",43,"162207,95"
2013-04-22,"43,3","43,3","42,71","43,27","194437,36"
2013-04-23,"43,38","43,45","42,05","42,05","115962,37"
2013-04-24,"42,25","42,94","40,11","42,79","156238,41"
2013-04-25,"42,79","42,79","41,75","42,2","96692,51"
2013-04-26,"42,49","42,58","42,06","42,2","41964,54"
2013-04-29,"42,53","42,8","42,1","42,5","49447,93"
2013-04-30,"42,75","42,86","41,51","42,86","185242,79"
2013-05-02,43,"43,28","41,6","41,74","195751,39"
2013-05-06,"42,5","43,37","42,42","43,35","131385,74"
2013-05-07,"43,2","43,38","43,12","43,24","240179,75"
2013-05-08,"43,44","43,47","42,6","42,75","200946,86"
2013-05-09,"43,11","43,58","42,75",43,"255701,18"
2013-05-10,"43,49","43,53","42,79","43,4","619121,37"
2013-05-13,"43,4","44,48","43,4",44,"178083,63"
2013-05-14,"44,5",46,"44,12",46,"207056,75"
2013-05-15,"46,5","47,97","46,41","47,6","428783,01"
2013-05-16,"43,9","44,42","42,42","43,5","729623,21"
2013-05-17,"43,39","43,4","41,25","41,25","728678,09"
2013-05-20,"41,85","42,24","41,2","41,7","310054,89"
2013-05-21,"42,19","42,19","41,24","41,3","324631,98"
2013-05-22,"41,5","42,2","41,16","41,51","346486,63"
2013-05-23,"40,89","41,5","40,58","41,22","573308,81"
2013-05-24,"41,96","42,5","41,31","41,31","222074,62"
2013-05-27,"41,75","41,95","41,32","41,85","317160,74"
2013-05-28,"42,12","43,18",42,"42,25","465473,23"
2013-05-29,"42,74","43,39","42,31","43,04","696755,69"
2013-05-31,"43,06","43,94","42,32","42,49","4594599,57"
2013-06-03,"42,49",44,"42,42","42,88","531626,61"
2013-06-04,43,"43,35","42,35","42,45","650087,71"
2013-06-05,"42,65","42,65","41,62","41,8","592357,8"
2013-06-06,"42,18","42,64","42,1","42,5","281871,66"
2013-06-07,"42,99","43,9","42,53","43,68","565833,05"
2013-06-10,"43,9","43,9","43,1","43,26","92414,08"
2013-06-11,"43,56","43,85","42,25","43,3","254910,51"
2013-06-12,"43,3","43,7","43,3","43,6","106098,34"
2013-06-13,43,"43,9",43,"43,9","117424,31"
2013-06-14,"43,88","43,89","43,6","43,6","189101,87"
2013-06-17,"43,6","43,86","43,2","43,74","249401,17"
2013-06-18,"43,8","44,44","43,7","44,03","174430,53"
2013-06-19,"44,63","44,93","44,15","44,52","265477,93"
2013-06-20,"44,8","44,8","42,02","42,02","319052,27"
2013-06-21,43,44,"41,39",44,"698613,65"
2013-06-24,44,44,42,"43,75","155807,62"
2013-06-25,"43,8",44,"42,9",44,"157551,97"
2013-06-26,44,"44,3","42,8","43,02","249426,35"
2013-06-27,"43,8","43,8","41,24","41,24","184768,12"
2013-06-28,"41,24","43,61","41,24","42,58","210227,02"
2013-07-01,43,"43,3","42,12","42,17","104975,68"
2013-07-02,"42,99","43,95","42,75","43,8","184704,86"
2013-07-03,"43,99","45,4","43,07","45,19","149322,17"
2013-07-04,"45,48","45,48","44,43","44,43","81098,44"
2013-07-05,"44,43","44,77","42,67","42,67","134762,52"
2013-07-08,"42,77","43,3","42,3",43,"333242,01"
2013-07-09,43,"43,2","42,5",43,"218162,43"
2013-07-10,"43,26","44,3","42,82","44,29","81439,95"
2013-07-11,"44,38","44,7","44,29","44,5","207187,01"
2013-07-12,"44,9","45,6","44,3","45,55","243815,01"
2013-07-15,"45,61","45,98","44,8","44,8","113658,67"
2013-07-16,"45,37","45,98","45,02","45,98","247638,75"
2013-07-17,"45,76","45,95","45,5","45,94","229201,12"
2013-07-18,46,"46,1","45,51","45,7","141635,31"
2013-07-19,"46,04","46,04","45,22","45,5","93592,26"
2013-07-22,"46,02","47,5","45,36","47,28","74524,55"
2013-07-23,"47,35","47,44","46,72","46,88","74869,29"
2013-07-24,"47,28","47,28","46,3","46,3","174568,04"
2013-07-25,"46,66","46,66","45,57",46,"146958,08"
2013-07-26,"46,17","46,17","45,01","45,01","60520,73"
2013-07-29,"45,09","45,09",44,"44,01","95576,75"
2013-07-30,"44,3","44,98","44,1","44,8","116141,55"
2013-07-31,45,"45,9","44,83","45,5","172327,24"
2013-08-01,"45,8","45,8","45,5","45,78","151267,94"
2013-08-02,"45,99","46,5","45,06","46,36","143169,84"
2013-08-05,"46,75","46,75","45,84","45,99","87539,99"
2013-08-06,"45,75","46,3","45,75","45,94","290363,56"
2013-08-07,"46,4","46,4","45,6",46,"32046,35"
2013-08-08,"46,27","46,7","44,7","45,22","118664,46"
2013-08-09,"45,99","46,3","45,2","45,2","58694,4"
2013-08-12,"46,3","46,5","45,2","46,3","207893,92"
2013-08-13,"46,5","46,5","45,51",46,"157428,66"
2013-08-14,46,"46,4","45,52","46,25","123260,31"
2013-08-16,"46,25","46,7",46,"46,35","61134,67"
2013-08-19,"46,5","46,52","45,86",46,"27061,86"
2013-08-20,46,"46,41","45,61","45,9","63984,24"
2013-08-21,"45,9","45,9","45,01","45,3","72684,66"
2013-08-22,"45,39","45,49","44,55","45,39","290645,67"
2013-08-23,"45,48","45,48","44,6","44,65","251830,47"
2013-08-26,"45,2","45,2","44,53","44,6","33924,33"
