Date,Open,High,Low,Close/Last,Volume
2013-04-15,"7,4","7,44",7,"7,1","46545,51"
2013-04-17,"7,12","7,12","6,91",7,"6710,3"
2013-04-18,7,7,"6,69","6,78","187294,06"
2013-04-19,"6,88","6,93","6,63","6,64","12347,67"
2013-04-22,"6,84","6,84","6,46","6,48","12021,89"
2013-04-23,"6,5","6,54","6,15","6,2","141143,83"
2013-04-24,"6,22","6,39","6,11","6,15","100790,83"
2013-04-25,"6,19","6,19","6,17","6,18","7594,69"
2013-04-26,"6,19","6,19","6,1","6,16","14652,49"
2013-04-29,"6,15","6,19","6,1","6,15","30871,36"
2013-04-30,"6,19","6,3","6,18","6,2","32335,22"
2013-05-02,"6,35","6,36","6,17","6,28","30687,18"
2013-05-06,"6,36","6,55","6,36","6,52","57304,22"
2013-05-07,"6,52","6,55","6,4","6,5","40935,93"
2013-05-08,"6,55","6,68","6,53","6,59","228941,5"
2013-05-09,"6,69","6,78","6,6","6,66","32713,13"
2013-05-10,"6,6","6,65","6,5","6,6","28500,51"
2013-05-13,"6,6","6,79","6,5","6,79","32704,44"
2013-05-14,"6,63","7,29","6,63","7,05","29406,63"
2013-05-15,"7,24","7,29","7,02","7,29","30602,91"
2013-05-16,"7,29","7,29","7,15","7,2","28762,88"
2013-05-17,"7,2","7,35","7,05","7,3","32307,42"
2013-05-20,"7,3","7,39","7,09","7,34","39889,95"
2013-05-21,"7,26","7,63","7,26","7,5","150771,42"
2013-05-22,"7,59","7,59","7,3","7,4","7714,58"
2013-05-23,"7,29","7,34","7,07","7,34","35687,76"
2013-05-24,"7,18","7,3","7,18","7,2","2005,1"
2013-05-27,"7,2","7,92","7,2","7,85","50464,48"
2013-05-28,"7,97","7,97","7,6","7,72","88798,48"
2013-05-29,"7,76","7,92","7,6","7,92","69705,76"
2013-05-31,"7,9","7,9","7,32","7,6","822019,94"
2013-06-03,"7,67","7,69","7,36","7,36","114699,67"
2013-06-04,"7,49","7,62","7,4","7,62","20348,95"
2013-06-05,"7,63","7,8","7,63","7,7","130941,12"
2013-06-06,"7,78","8,12","7,75","7,81","157302,75"
2013-06-07,"7,85","8,09","7,85","8,05","101395,49"
2013-06-10,"8,12","8,48","8,05","8,05","58347,6"
2013-06-11,"8,06","8,37","8,06","8,25","93191,8"
2013-06-12,"8,35","8,4","8,09","8,4","18698,3"
2013-06-13,"8,39","8,39","8,13","8,32","24565,03"
2013-06-14,"8,33","8,6","8,33","8,53","86137,47"
2013-06-17,"8,6","8,75","8,55","8,75","244493,16"
2013-06-18,"8,8","8,88","8,7","8,88","18325,61"
2013-06-19,"8,66","8,88","8,66","8,72","34492,35"
2013-06-20,"8,63","8,63","8,3","8,55","121271,83"
2013-06-21,"8,41","8,44","8,29","8,31","27310,31"
2013-06-24,"8,25","8,31",8,"8,27","89212,88"
2013-06-25,"8,27","8,3","8,13","8,3","19869,39"
2013-06-26,"8,13","8,45",8,"8,44","56155,72"
2013-06-27,"8,45","8,52","8,04","8,3","52557,32"
2013-06-28,"8,05","8,6","8,05","8,6","36301,1"
2013-07-01,"8,47","8,47","8,24","8,24","18178,79"
2013-07-02,"8,3","8,59","8,21","8,25","11808,17"
2013-07-03,"8,25","8,26","8,1","8,19","6093,48"
2013-07-04,8,"8,25",8,"8,14","13668,19"
2013-07-05,"8,19","8,19","7,56","7,84","874559,89"
2013-07-08,"7,84","7,84","7,15","7,75","61416,93"
2013-07-09,"7,69","7,69","7,57","7,6","1754,89"
2013-07-10,"7,58","7,8","7,58","7,8","147698,62"
2013-07-11,"7,93","8,1","7,8","7,8","16351,79"
2013-07-12,"7,7","7,74","7,58","7,74","53822,24"
2013-07-15,"7,79","7,97","7,68","7,9","8344,43"
2013-07-16,"7,9","7,91","7,75","7,75","96074,34"
2013-07-17,"7,74","7,74","7,56","7,68","8188,06"
2013-07-18,"7,56","7,67","7,4","7,45","8373,1"
2013-07-19,"7,73","7,73","7,5","7,59","2958,99"
2013-07-22,"7,52","7,52","7,31","7,31","14216,38"
2013-07-23,"7,47","7,47","7,3","7,3","14865,34"
2013-07-24,"7,36","7,45","7,36","7,4","7069,96"
2013-07-25,"7,4","7,7","7,4","7,66","230696,4"
2013-07-26,"7,7","7,87","7,61","7,67","13415,38"
2013-07-29,"7,8","7,89","7,61","7,89","22896,15"
2013-07-30,"7,95","7,96","7,81","7,82","8463,45"
2013-07-31,"7,9",8,"7,81","7,85","6835,4"
2013-08-01,"7,87","8,1","7,87","8,01","34018,87"
2013-08-02,"8,09","8,1","7,97","8,09","53969,93"
2013-08-05,"8,05","8,1",8,8,"22965,65"
2013-08-06,"8,09","8,29","8,05","8,15","161668,27"
2013-08-07,"8,1","8,29","8,1","8,28","7135,12"
2013-08-08,"8,3","8,55","8,22","8,55","35735,54"
2013-08-09,"8,5","8,6","8,39","8,48","28890,59"
2013-08-12,"8,3","8,48","8,3","8,46","12408,49"
2013-08-13,"8,45","8,48","8,31","8,4","8651,97"
2013-08-14,"8,29","8,29","7,75","8,07","40279,15"
2013-08-16,"8,1","8,19","7,98","7,98","119394,44"
2013-08-19,"7,92","8,03","7,83","7,85","12782,92"
2013-08-20,"7,8","7,87","7,78","7,84","102993,14"
2013-08-21,"7,95","8,1","7,95","8,1","12958,41"
2013-08-22,"8,1","8,4","8,1","8,31","19679,13"
2013-08-23,"8,4","8,4","8,21","8,3","7530,4"
2013-08-26,"8,22","8,55","8,21","8,5","56289,51"
2013-08-27,"8,5","8,59","8,24","8,26","17184,06"
2013-08-28,"8,23","8,23","8,1","8,15","9097,65"
2013-08-29,"8,3","8,3","8,15","8,25","6248,12"
2013-08-30,"8,16","8,3","8,15","8,25","22452,21"
2013-09-02,"8,2","8,39","8,15","8,25","64545,33"
2013-09-03,"8,29","8,55","8,21","8,55","47941,61"
2013-09-04,"8,59",9,"8,59","8,75","233902,99"
2013-09-05,"8,7","8,9","7,85","8,69","208405,77"
2013-09-06,"8,47","8,97","8,47","8,75","23215,85"
2013-09-09,"8,75","9,45","8,59","9,26","104384,89"
2013-09-10,"9,49","9,49","9,26","9,39","165259,72"
2013-09-11,"9,42","9,42","8,81","9,42","195327,47"
2013-09-12,"9,39","9,49","9,21","9,36","11791,67"
2013-09-13,"9,36","9,36","9,16","9,2","773041,9"
2013-09-16,"9,29","9,29","9,11","9,2","72433,67"
2013-09-17,"9,2","9,35","9,11","9,35","41134,01"
2013-09-18,"9,5","9,56","9,31","9,35","29417,05"
2013-09-19,"9,54","9,6","9,37","9,6","60312,74"
2013-09-20,"9,36","9,7","9,36","9,7","26694,36"
2013-09-23,"9,73","9,75","9,51","9,53","17075,46"
2013-09-24,"9,63","9,63","9,53","9,63","29333,65"
2013-09-25,"9,38","9,8","8,95","9,75","48852,94"
2013-09-26,"9,66","9,76","9,46","9,71","45324,04"
2013-09-27,"9,55","9,75","9,55","9,75","23167,2"
2013-09-30,"9,73","9,75","9,65","9,75","48822,53"
2013-10-01,"9,56","10,09","9,56",10,"21717,24"
2013-10-02,"9,99","10,26","9,91","10,15","64157,87"
2013-10-03,"10,2","10,4","10,2","10,39","36245,5"
2013-10-04,10,"10,29","9,9","10,17","13644,73"
2013-10-07,"10,1","10,1","9,99","10,1","234730,04"
2013-10-08,"10,04","10,04","9,63",10,"8394,82"
2013-10-09,"9,85","10,19","9,85","10,19","121153,68"
2013-10-10,"10,05","10,44","10,05","10,33","58183,41"
2013-10-11,"10,33","10,5","10,3","10,4","32124,98"
2013-10-14,"10,45","10,54","10,35","10,53","55425,1"
2013-10-15,"10,41","10,84","10,4","10,84","144855,17"
2013-10-16,"10,62","10,74","10,4","10,68","191697,8"
2013-10-17,"10,75","10,75","10,5","10,6","19024,09"
2013-10-18,"10,51","10,53","10,26","10,53","43179,94"
2013-10-21,"10,54","10,7","10,54","10,7","16734,04"
2013-10-22,"10,65","10,79","10,55","10,74","50381,08"
2013-10-23,"10,57","10,79","10,5","10,64","83416,52"
2013-10-24,"10,59","10,73","10,44","10,61","14463,97"
2013-10-25,"10,47","10,67","10,47","10,67","140756,36"
2013-10-28,"10,71","10,88","10,65","10,74","240371,77"
2013-10-29,"10,75","11,1","10,74","11,06","225509,9"
2013-10-30,"11,25","11,6","11,23","11,57","73097,4"
2013-10-31,"10,85","11,57","10,63","11,55","40895,1"
2013-11-04,"11,7","11,89","11,64","11,83","25858,62"
2013-11-05,"11,85","12,1","11,79","11,8","59261,54"
