Date,Open,High,Low,Close/Last,Volume
2013-04-15,"74,2","74,2","71,71","73,3","2766,52"
2013-04-17,"73,3","73,95","70,02","70,8","13139,46"
2013-04-18,"68,8","70,5","66,12","68,8","24182,86"
2013-04-19,"67,5","68,5","66,69","67,5","1486,82"
2013-04-22,"67,1","67,45","66,3","67,45","5226,91"
2013-04-23,"66,71","67,1","65,01","67,1","5169,46"
2013-04-24,"66,5",69,"66,5",69,"3113,47"
2013-04-25,"69,5","70,29",69,70,"3628,22"
2013-04-26,"70,3","72,9","70,3","72,9","2896,53"
2013-04-29,"73,4","73,49","71,25","72,45","4019,01"
2013-04-30,"72,91","73,49","71,51","73,48","3820,97"
2013-05-02,"73,48","73,8","72,3","73,2","387,77"
2013-05-06,"73,77","73,77","72,24","73,4","1336,4"
2013-05-07,"73,2","73,9","72,72","73,5","3461,17"
2013-05-08,"73,5","73,99","73,1","73,5","3881,44"
2013-05-09,"73,87","73,87","73,11","73,11","12540,05"
2013-05-10,74,74,"73,13","73,2","4470,27"
2013-05-13,"73,4","73,4","72,2","73,4","2989,5"
2013-05-14,"73,4","73,4","73,06","73,4","7288,19"
2013-05-15,"73,11","73,4","72,61","73,4","4590,46"
2013-05-16,"72,51","72,8","72,05","72,67","3402,97"
2013-05-17,"72,07","72,56","71,55","72,44","3836,85"
2013-05-20,"72,44","72,45","71,41","72,4","4761,29"
2013-05-21,"71,25","72,3","71,21",72,"7017,59"
2013-05-22,"71,71","72,38","71,33","71,33","411,95"
2013-05-23,"71,3","72,44","67,6","72,44","4879,2"
2013-05-24,"72,8","72,8","72,05","72,25","997,01"
2013-05-27,"72,5","74,9","72,5",73,"43500,88"
2013-05-28,"73,1","73,1","72,5","72,6","2712,1"
2013-05-29,"72,91","72,91","71,51","72,7","2717,39"
2013-05-31,"72,91","74,1","72,5","74,1","15305,81"
2013-06-03,"74,1","74,9","73,15","74,9",1768
2013-06-04,"74,9","77,7","74,21","77,7","3912,43"
2013-06-05,"77,8","79,9",77,79,"9363,84"
2013-06-06,"78,55","79,3","78,05","78,05","2130,07"
2013-06-07,78,"79,3",78,"79,3","8215,66"
2013-06-10,80,80,"78,51","78,95","3958,54"
2013-06-11,"78,99","80,6","78,5","80,6","9578,51"
2013-06-12,81,"81,9","80,5","80,5","4309,27"
2013-06-13,"80,88","81,39","80,55",81,"3449,84"
2013-06-14,"81,6","82,4",81,"81,8","2281,25"
2013-06-17,"81,3","81,8","81,01","81,5","45834,28"
2013-06-18,"81,5","81,5","80,5","80,5","27775,56"
2013-06-19,81,"81,5","79,51","80,5","26642,49"
2013-06-20,"80,4","80,4","73,4",80,"13706,37"
2013-06-21,"79,5",80,"78,45",80,"3562,46"
2013-06-24,"78,75","79,8","78,6","79,8","2836,06"
2013-06-25,"79,01","79,8","79,01","79,8","1145,16"
2013-06-26,"79,3","79,69","78,01","79,69","731,69"
2013-06-27,"79,1","79,8","79,09","79,76","5225,4"
2013-06-28,79,"79,8","78,15","79,8","3072,65"
2013-07-01,"79,7","79,78","78,26",79,"1789,92"
2013-07-02,"79,47","79,47","77,01","77,49","2189,03"
2013-07-03,"77,5","79,4","77,05","78,25","1603,98"
2013-07-04,"78,02",79,"77,99","78,05","2412,01"
2013-07-05,"78,2","78,2","77,71","77,99","2690,18"
2013-07-08,79,79,"77,06","77,3","4672,85"
2013-07-09,"78,27","78,27",74,"75,99","1957,73"
2013-07-10,"75,99","76,5","75,62","75,9","1514,78"
2013-07-11,"76,6","77,74","76,1","77,74","7217,9"
2013-07-12,"74,48","74,95","73,66","74,09","6568,57"
2013-07-15,"74,4","74,4","72,98","74,19","7828,79"
2013-07-16,"73,9","74,38","73,9","74,2","5657,74"
2013-07-17,"74,1","74,34","73,21","74,3","1242,55"
2013-07-18,"74,48","75,19","74,3","74,99","11242,39"
2013-07-19,75,"77,49",75,"77,35","8012,72"
2013-07-22,"77,5","80,19","77,5","79,99","10854,44"
2013-07-23,"79,98","79,98","78,82","78,96","3343,72"
2013-07-24,"79,2",80,"78,83",80,"3062,6"
2013-07-25,"80,15","81,65","80,15","81,3","3730,06"
2013-07-26,"81,8","81,8",81,"81,4","1522,06"
2013-07-29,"81,4","81,4","80,52",81,"928,5"
2013-07-30,81,83,81,83,"2974,25"
2013-07-31,83,"84,4",83,"84,39","12843,97"
2013-08-01,"84,9","85,44","84,39","85,3","3877,05"
