Date,Open,High,Low,Close/Last,Volume
2013-04-15,"4,25","4,27","4,13","4,13","3022,89"
2013-04-17,"4,12","4,12","3,95","3,95","13133,08"
2013-04-18,"3,95","3,99","3,95","3,95","16094,64"
2013-04-19,"3,95","3,98","3,95","3,98","5137,39"
2013-04-22,"3,98","4,09","3,96",4,"3018,69"
2013-04-23,4,"4,03","3,95","4,03",22923
2013-04-24,"4,03","4,03","4,01","4,01","17208,5"
2013-04-25,"3,99","3,99","3,95","3,95","38048,97"
2013-04-26,"3,99","3,99","3,9","3,97","4946,07"
2013-04-29,"3,97","3,97","3,92","3,97","15843,03"
2013-04-30,"3,97","4,1","3,97","4,03","14875,42"
2013-05-02,"4,04","4,04",4,4,"209,67"
2013-05-06,4,4,"3,76",4,"41893,75"
2013-05-07,"3,92","3,94","3,92","3,94","1520,62"
2013-05-08,"3,94","4,15","3,92","4,15",62686
2013-05-09,"4,39","4,44","4,26","4,29","705433,55"
2013-05-10,"4,29","4,6","4,27","4,53","109259,01"
2013-05-13,"4,44","4,56","4,35","4,4","334064,45"
2013-05-14,"4,4","4,4","4,25","4,3","193599,51"
2013-05-15,"4,28","4,35","4,27","4,35","20319,97"
2013-05-16,"4,35","4,37","4,3","4,37","65673,24"
2013-05-17,"4,39","4,6","4,36","4,54","66712,67"
2013-05-20,"4,6","5,05","4,6","4,9","128349,28"
2013-05-21,"4,78","4,97","4,78","4,84","160183,69"
2013-05-22,"4,85","4,85","4,7","4,84","73886,46"
2013-05-23,"4,74","4,74","4,66","4,73","92427,92"
2013-05-24,"4,74","4,75","4,68","4,68","12375,65"
2013-05-27,"4,74","4,96","4,7","4,8","126319,69"
2013-05-28,"4,95","5,03","4,75","4,75","102152,84"
2013-05-29,"4,84","4,84","4,7","4,74","21029,69"
2013-05-31,"4,75","4,75","4,68","4,69","45851,23"
2013-06-03,"4,72","4,91","4,67","4,91","73234,39"
2013-06-04,"4,91","5,18","4,91","5,13","156204,71"
2013-06-05,"5,2","5,55","5,2","5,33","81618,49"
2013-06-06,"5,39","5,39","5,29","5,38","69339,28"
2013-06-07,"5,48","5,48","5,3","5,39","91153,66"
2013-06-10,"5,4","5,41","5,33","5,34","19592,42"
2013-06-11,"5,34","5,34","5,1","5,2","83854,07"
2013-06-12,"5,06","5,27","5,06","5,27","15144,31"
2013-06-13,"5,14","5,47","5,14","5,47","59860,11"
2013-06-14,"5,52","5,85","5,52","5,8","378181,52"
2013-06-17,"5,85","5,85","5,57","5,68","34928,77"
2013-06-18,"5,68","5,74","5,59","5,72","85513,44"
2013-06-19,"5,75","5,8","5,7","5,8","84356,11"
2013-06-20,"5,65","5,65","5,47","5,47","68118,29"
2013-06-21,"5,38","5,38",5,"5,28","134167,43"
2013-06-24,"5,36","5,4","5,18","5,18","23227,26"
2013-06-25,"5,02","5,47","4,9","5,47","52257,4"
2013-06-26,"5,45","5,45","5,17","5,4","49881,63"
2013-06-27,"5,35","5,35","5,2","5,35","58880,17"
2013-06-28,"5,35","5,35","5,23","5,27","27246,02"
2013-07-01,"5,02","5,22","5,02","5,22","52866,9"
2013-07-02,"5,23","5,35","5,17","5,35","82913,23"
2013-07-03,"5,35","5,35","5,2","5,33","23773,47"
2013-07-04,"5,33","5,36","5,25","5,34","11970,83"
2013-07-05,"5,33","5,36","5,25","5,36","5999,75"
2013-07-08,"5,39","5,65","5,32","5,65","14621,34"
2013-07-09,"5,65","5,65","5,51","5,55","16626,13"
2013-07-10,"5,55","5,58","5,53","5,56","12245,56"
2013-07-11,"5,56","5,57","5,5","5,57","13936,68"
2013-07-12,"5,52","5,79","5,52","5,77","325187,53"
2013-07-15,"5,77","5,77","5,68","5,68","54063,71"
2013-07-16,"5,67","5,67","5,6","5,62","6229,05"
2013-07-17,"5,62","5,69","5,56","5,61","231866,95"
2013-07-18,"5,64","5,67","5,63","5,67","4229,14"
2013-07-19,"5,63","5,69","5,29","5,69","20562,68"
2013-07-22,"5,69","5,69","5,55","5,67","4801,85"
2013-07-23,"5,67","5,67","5,57","5,67","7259,29"
2013-07-24,"5,61","5,98","5,61","5,9","115000,04"
2013-07-25,"5,9","5,9","5,81","5,9","12719,86"
2013-07-26,"5,99",6,"5,81","5,9","22447,41"
2013-07-29,"5,98","5,99","5,88","5,88","18802,35"
2013-07-30,6,6,"5,81","5,98","19589,77"
2013-07-31,"5,97","5,99","5,85","5,99","22107,78"
2013-08-01,6,6,"5,9","5,99","18140,4"
2013-08-02,"5,85","6,1","5,85","6,01","69461,66"
2013-08-05,"6,03","6,17","6,02","6,1","28337,91"
2013-08-06,"6,19","6,19","6,11","6,16","17097,71"
2013-08-07,"6,2","6,5","6,17","6,5","227396,61"
2013-08-08,"6,65","6,8","6,62","6,8","101768,03"
2013-08-09,"6,8","6,94","6,8","6,94","21366,87"
2013-08-12,"6,95","6,99","6,8","6,99","68924,09"
2013-08-13,"6,99","6,99","6,9","6,94","16250,8"
2013-08-14,"6,93","7,5","6,9","7,5","67325,46"
2013-08-16,"7,22","7,31","7,11","7,3","21173,26"
2013-08-19,"7,23","7,35","7,19","7,35","167542,45"
2013-08-20,"7,35","7,7","7,35","7,4","19906,68"
2013-08-21,"7,89","7,89","7,3","7,3","72643,78"
2013-08-22,"7,35","7,5","7,26","7,4","35035,3"
2013-08-23,"7,41","7,47","7,3","7,38","21731,37"
2013-08-26,"7,35","7,37","7,26","7,29","60074,82"
2013-08-27,"7,25","7,25","6,86","7,05","85247,37"
2013-08-28,"6,81","6,88","6,2","6,86","106086,94"
2013-08-29,"6,88","7,21","6,88","7,01","27204,37"
2013-08-30,"7,03","7,03","6,91","6,94","24127,16"
2013-09-02,"6,99","7,13","6,99",7,"11361,34"
2013-09-03,"7,09","7,09","6,83","6,83","63930,25"
2013-09-04,"6,77","6,83","6,54","6,73","26085,98"
2013-09-05,"6,71","6,87","6,07","6,87","64986,45"
2013-09-06,"6,87","6,9","6,8","6,83","49304,04"
2013-09-09,"6,83",7,"6,83",7,"5618,48"
2013-09-10,7,"7,09","6,98",7,"90042,19"
2013-09-11,"7,02","7,02","6,86","6,89","45533,51"
2013-09-12,"6,88","6,95","6,6","6,95","20854,72"
2013-09-13,"6,95","7,07","6,81",7,"221477,45"
2013-09-16,"7,01","7,14","6,9","6,9","18183,12"
2013-09-17,"6,8","6,89","6,73","6,83","18773,14"
2013-09-18,"6,8","6,88","6,79","6,8","26541,34"
2013-09-19,"6,9","7,2","6,86","6,99","87188,33"
2013-09-20,7,"7,01","6,91",7,"9613,44"
2013-09-23,7,"7,01","6,94","6,99","59591,87"
2013-09-24,"6,98","6,99","6,85","6,99","80134,01"
2013-09-25,"6,99","6,99","6,81","6,92","17399,49"
2013-09-26,"6,89","7,1","6,85","7,09","431102,5"
2013-09-27,"7,15","7,48","7,15","7,48","182160,01"
2013-09-30,"7,48","7,6","7,37","7,5","76911,32"
2013-10-01,"7,57","7,6","7,5","7,56","23274,31"
2013-10-02,"7,4","7,6","7,36","7,59","107872,7"
2013-10-03,"7,59","7,6","7,45","7,56","51653,86"
2013-10-04,"7,56","7,56","7,4","7,47","13150,34"
2013-10-07,"7,4","7,4","7,1","7,4","149277,13"
