Date,Open,High,Low,Close/Last,Volume
2013-04-15,"60,5","62,26","60,5","61,55","26254,63"
2013-04-17,62,"65,99","61,59","64,65","94867,76"
2013-04-18,"64,5","65,89",63,"65,89","85101,38"
2013-04-19,"63,32","65,5","62,3","65,4","53243,81"
2013-04-22,64,"64,25","58,65","58,65","35281,78"
2013-04-23,59,59,"52,8",54,"127729,16"
2013-04-24,"53,4","56,87","53,01","56,14","67899,86"
2013-04-25,"56,87","60,9","56,8","60,9","40786,08"
2013-04-26,61,"61,3","57,15","59,06","16829,77"
2013-04-29,"59,3","59,98",59,"59,5","10000,24"
2013-04-30,"59,96","60,87","58,1","60,87","40571,36"
2013-05-02,"60,5","60,5","59,26","59,26","31343,93"
2013-05-06,"59,33",61,"59,33",61,"27620,8"
2013-05-07,"61,97","63,75","61,3","63,75","13326,09"
2013-05-08,"63,5","63,7","62,8","63,7","6732,1"
2013-05-09,"64,15","65,65","64,01","65,2","64499,29"
2013-05-10,66,66,65,66,"15860,2"
2013-05-13,66,"70,9",66,68,"47857,76"
2013-05-14,68,"70,1",68,"69,22","37327,8"
2013-05-15,"69,99","71,74","68,71",71,"92134,27"
2013-05-16,"71,2",75,"71,2",75,"43618,16"
2013-05-17,75,"79,95","74,99","79,03","101737,23"
2013-05-20,80,"85,98","79,9","84,8","96622,65"
2013-05-21,85,"88,5","72,6","74,5","158105,41"
2013-05-22,"74,5","79,27","70,05","79,27","122550,26"
2013-05-23,77,"78,2",75,"77,5","96067,4"
2013-05-24,"77,55","82,5","76,5","82,5","40828,64"
2013-05-27,"81,1","85,39","81,1",85,"48800,84"
2013-05-28,"84,01","85,29",84,84,"102438,16"
2013-05-29,84,84,"77,22",81,"53862,44"
2013-05-31,"81,1","82,01","72,99","75,22","485921,7"
2013-06-03,"75,5","77,9","75,25","75,6","40011,37"
2013-06-04,76,"78,4","73,62","77,5","108999,99"
2013-06-05,"77,9","81,38","77,5","81,38","45873,22"
2013-06-06,81,81,"78,5","79,35","21111,94"
2013-06-07,79,"79,7","77,77",79,"14099,85"
2013-06-10,"78,35","79,6",76,"77,65","49145,15"
2013-06-11,"77,6","77,6","75,7","76,21","33880,88"
2013-06-12,77,"77,5","76,25","76,5","38132,78"
2013-06-13,"76,3","76,5","75,35","76,13","26500,83"
