Date,Open,High,Low,Close/Last,Volume
2013-04-15,74,"74,7",74,74,"958,98"
2013-04-17,74,74,73,73,"4153,28"
2013-04-18,73,"73,8","72,16","73,8","7019,91"
2013-04-19,"73,8","73,8","72,89",73,"2944,53"
2013-04-22,73,"74,5",73,73,"1047,2"
2013-04-23,73,"74,9",72,"74,5","3728,79"
2013-04-24,"74,5","75,4","74,5",75,"5559,1"
2013-04-25,76,"76,5","75,5","75,5","1531,27"
2013-04-26,"75,5",77,"75,5",77,"3876,59"
2013-04-29,77,"77,5","76,5","77,5","15268,62"
2013-04-30,77,"78,65","76,51","77,2","12159,1"
2013-05-02,"73,89","77,7",73,"75,2","9645,62"
2013-05-06,"75,2","76,05","74,6","76,05","7213,57"
2013-05-07,"77,7","77,7","76,21",77,"8647,65"
2013-05-08,77,77,"75,6",77,"20293,47"
2013-05-09,"77,1","77,9","76,6","77,85","3734,95"
2013-05-10,"77,86","78,2",77,"77,75","3560,62"
2013-05-13,"77,73","82,2","77,73","81,95","16731,64"
2013-05-14,"81,1","81,1","79,7","80,45","4580,46"
2013-05-15,80,"80,3",79,80,"2719,36"
2013-05-16,"79,65","79,8","77,81","79,29","687,58"
2013-05-17,"80,6","86,2","80,6","86,2","24158,4"
2013-05-20,85,"85,9","84,2","85,5","4280,4"
2013-05-21,"85,49","85,69",85,85,"2451,49"
2013-05-22,"84,2","85,8","84,2","85,8","41370,5"
2013-05-23,84,85,"81,73","84,01","8257,09"
2013-05-24,"82,7","84,5","82,5","83,8","3310,98"
2013-05-27,"83,8","87,99","83,8",87,"18221,61"
2013-05-28,87,"87,5","85,2","85,2","3504,74"
2013-05-29,"85,2","85,2","84,5","85,2","6129,95"
2013-05-31,"86,63","87,5","84,5","87,5","23646,97"
2013-06-03,86,"87,54","84,1",87,"11362,16"
2013-06-04,87,87,85,85,"2984,8"
2013-06-05,"84,5","86,86","84,5","86,11","6450,66"
2013-06-06,85,"86,1",85,"85,26","3537,54"
2013-06-07,"85,2","86,98","85,2","85,75","4292,55"
2013-06-10,"86,98","87,4","85,53","87,4","122597,83"
2013-06-11,"87,4","87,75","87,1","87,75","12407,5"
2013-06-12,"87,75","88,5","87,11",88,"61803,06"
2013-06-13,88,"88,75","87,61","88,73","3016,38"
2013-06-14,"87,83","90,65","87,83","90,65","70131,83"
2013-06-17,89,"92,7",89,"92,7","307578,8"
2013-06-18,"92,7",93,"92,12",93,"1972,86"
2013-06-19,"92,2","95,28","92,05","95,28","27912,79"
2013-06-20,"95,25","95,28","90,45","93,2","4752,35"
2013-06-21,"92,2","92,2","90,2","91,3","11880,88"
2013-06-24,"87,85",93,"87,83","92,5","6772,59"
2013-06-25,"92,5","92,5","91,06","91,4","297,63"
2013-06-26,"91,4",93,"88,01",93,"47129,93"
2013-06-27,93,93,88,"88,03","36363,03"
2013-06-28,"88,03",94,"88,03",94,"32258,18"
2013-07-01,"94,7","94,89",92,"94,6","14702,9"
2013-07-02,"92,91","94,4","92,91","94,4","5339,72"
2013-07-03,94,"94,4","92,65","93,3","1444,41"
2013-07-04,"93,3","93,3",90,91,"2326,37"
2013-07-05,"90,02","91,6","89,6","89,6","7830,08"
2013-07-08,89,"89,38","88,11","88,99","6636,53"
2013-07-09,"89,99","91,98","88,53","89,32","35655,4"
2013-07-10,"90,35","94,3",90,"93,99","12429,98"
2013-07-11,94,"95,9",94,"95,9","5387,09"
2013-07-12,"95,9","96,3","95,11","96,08","16747,43"
2013-07-15,"96,1","96,1",95,"95,5","2350,06"
2013-07-16,96,96,"94,7","94,7","5955,63"
2013-07-17,"94,69","94,69",92,"93,3","3084,41"
2013-07-18,"94,79","95,5","93,9",94,"14834,7"
2013-07-19,95,"95,5",93,"94,11","15716,05"
2013-07-22,"95,49","95,7","94,18","95,5","93634,84"
2013-07-23,95,96,"94,05",96,"104887,06"
2013-07-24,96,"96,39",96,"96,15","103169,31"
2013-07-25,"96,15","96,4","95,75","96,4","2028,74"
2013-07-26,"96,4","96,45","96,2","96,2","414,86"
2013-07-29,"96,3","96,45",96,"96,45","3733,12"
2013-07-30,"96,4","96,4",95,"96,19","2252,27"
2013-07-31,"96,4","96,43","95,5","96,2","17170,79"
2013-08-01,"95,51","96,6","95,51","96,4","10393,34"
2013-08-02,"96,6","96,6",96,"96,55","27497,93"
2013-08-05,96,"96,8",96,"96,7","61469,6"
2013-08-06,"96,8","96,8","95,72","96,7","3659,63"
2013-08-07,"96,7","96,79","95,65","96,7","6443,37"
2013-08-08,"96,8","96,9","96,5","96,5","16857,37"
2013-08-09,"95,55","96,58","95,55",96,"7779,67"
2013-08-12,96,"96,2","95,06",96,"2616,71"
2013-08-13,"95,36",96,"95,36",96,"9497,42"
2013-08-14,96,"97,95","95,57","96,94","34163,61"
2013-08-16,"96,2","97,76",96,"97,45","2470,93"
2013-08-19,"97,3","97,3","95,13",96,"1622,99"
2013-08-20,"95,17","95,18","90,21","92,69","5433,26"
2013-08-21,"92,69","93,21","92,01","92,18","2144,15"
2013-08-22,"91,68","91,99","91,03","91,26","13061,68"
2013-08-23,"92,9","92,9","91,21","92,5","2836,59"
2013-08-26,93,"93,46","91,2","91,6","8540,75"
2013-08-27,"91,1","92,29","91,1","91,9","493,82"
2013-08-28,"91,7","91,7","91,1","91,6","2772,81"
2013-08-29,"91,6","92,24","90,8",92,"1199,63"
2013-08-30,92,"92,55","90,22","90,36","15572,7"
2013-09-02,"90,55","93,27","90,55","92,6","1122,49"
2013-09-03,"92,5","93,59","91,1",93,"1890,25"
2013-09-04,93,93,"91,1","91,1","1247,01"
2013-09-05,"91,1",92,"81,99","87,5","12839,37"
2013-09-06,"86,5",95,"86,24",94,"32082,63"
2013-09-09,"93,1","97,99","93,1","97,02","14863,25"
2013-09-10,98,"102,6",98,"100,25","54080,49"
2013-09-11,101,106,101,103,"16758,36"
2013-09-12,105,"106,5","103,1","106,3","19117,53"
2013-09-13,"106,3",108,"105,5",108,"9840,6"
2013-09-16,107,108,106,107,"7988,62"
2013-09-17,"104,1","106,5",103,105,"5427,79"
2013-09-18,"104,2","105,95","104,1","105,2","6375,95"
2013-09-19,104,107,104,"106,55","9508,96"
2013-09-20,"106,2",108,"106,2",108,"5235,24"
2013-09-23,"107,95","108,89","107,5",108,"4392,77"
2013-09-24,"107,5","108,5",105,105,"3919,6"
2013-09-25,"104,6","105,95","104,5",105,"5661,03"
2013-09-26,105,"106,95",105,"105,05","2978,12"
2013-09-27,"106,2","106,2","103,45","105,4","2772,81"
2013-09-30,104,106,104,106,"10744,42"
2013-10-01,105,"105,95","104,5","105,6","4289,51"
2013-10-02,"105,6","105,6",105,105,"3539,36"
2013-10-03,"104,2","108,15","104,2",107,"4612,65"
2013-10-04,107,"108,89",107,"108,5","5352,47"
2013-10-07,"108,4","112,75","107,7","112,69","113113,78"
2013-10-08,"113,89",116,"113,26",116,"3874,04"
2013-10-09,116,"119,7","115,9","117,5","13046,5"
2013-10-10,"117,8","119,4","117,8","118,3","3972,44"
2013-10-11,"119,5","124,39","116,61",120,"11577,79"
2013-10-14,120,120,"117,6","118,99","3340,13"
2013-10-15,121,"124,5","120,94","124,5","55772,73"
2013-10-16,"124,9","125,51","124,01","124,9","9601,28"
2013-10-17,"124,99","124,99","120,88","120,88","9078,91"
2013-10-18,"118,45","122,9","115,3",122,"21082,49"
2013-10-21,121,"124,99",121,"124,99","54684,86"
2013-10-22,"124,99","124,99","124,01","124,01","3359,57"
2013-10-23,"124,99","126,9",120,"126,81","25651,41"
2013-10-24,"127,1","130,2","127,1","130,1","108830,34"
2013-10-25,"130,1","130,99",129,"130,99","1638,18"
2013-10-28,"130,99","131,99",129,129,"25322,19"
2013-10-29,"130,2","131,94","128,51","131,94","4572,56"
2013-10-30,"130,55","131,99","130,01","130,8","12795,03"
2013-10-31,"130,8","132,1","130,01","130,01","4519,11"
2013-11-04,"131,99","131,99","130,4","131,99","9798,08"
2013-11-05,"132,5","133,01","130,01","130,01","1550,1"
2013-11-06,"130,99","131,74","130,1","130,99","3319,48"
2013-11-07,"135,01",136,"132,1","135,51","67339,58"
2013-11-08,"135,51",136,"131,05",136,"8625,18"
2013-11-12,"134,01",136,"133,49",136,"5999,97"
2013-11-13,"136,99","136,99","134,31","134,56","22219,56"
2013-11-14,"135,51","135,61","133,01","133,01","3296,4"
2013-11-15,"133,96",136,"133,96",136,"1763,3"
2013-11-18,136,139,136,"136,99",7725
