Date,Open,High,Low,Close/Last,Volume
2013-04-15,267,267,258,261,"60,99"
2013-04-17,"264,99","264,99",259,264,"95,18"
2013-04-18,264,264,"242,01","254,84","124,75"
2013-04-19,243,"256,6","242,01","256,5","93,33"
2013-04-22,258,258,"245,6","256,5","83,17"
2013-04-23,"257,6","257,6",246,"255,01","98,87"
2013-04-24,"250,01","257,4",248,"252,01","22550,7"
2013-04-25,"245,4",251,"244,1",251,"114,58"
2013-04-26,"247,09","250,89","244,19","250,8","525,79"
2013-04-29,"244,19","250,49","244,19","250,41","36,04"
2013-04-30,"250,01","250,01","249,95","249,95","3,7"
2013-05-02,251,"254,8",251,254,"32,34"
2013-05-06,254,264,"252,01","262,8","358,53"
2013-05-07,"262,99","262,99","253,5","261,5","211,61"
2013-05-08,262,262,"257,2","260,95","455,56"
2013-05-09,259,261,"256,2","256,2","97,03"
2013-05-10,254,254,"240,5","252,5",365
2013-05-13,"262,51","264,59","255,01","261,89","148,77"
2013-05-14,"261,89","262,51",253,"258,45","133,06"
2013-05-15,258,258,253,258,"328,04"
2013-05-16,"255,01",259,"255,01",259,"105,34"
2013-05-17,257,"259,99","253,2",259,"742,94"
2013-05-20,"259,11",264,"250,01",258,"225,47"
2013-05-21,258,"259,19","250,1",257,"3723,95"
2013-05-22,"252,01","259,19","252,01",259,"66,53"
2013-05-23,"252,01","258,94","251,11","257,84","48,98"
2013-05-24,259,"261,5",259,"261,4","121,05"
2013-05-27,262,264,256,262,"106,27"
2013-05-28,"263,5","263,5","259,99",262,"91,48"
2013-05-29,256,"259,99","237,1","251,9","597,87"
2013-05-31,249,"252,01",249,251,"114,58"
2013-06-03,"250,8","250,8","245,01","250,8","51,75"
2013-06-04,"250,01","250,8","248,96","250,8","90,56"
2013-06-05,"247,01","250,95","247,01","250,01","96,1"
2013-06-06,"254,9","255,01","245,01","249,9","290,15"
2013-06-07,"255,01","255,01","252,01","252,01","53,6"
2013-06-10,"252,01","252,01","251,75","251,75","52,67"
2013-06-11,"252,5","252,5","245,01","247,7","106,27"
2013-06-12,"245,01","253,95","245,01","253,5","1222,53"
2013-06-13,"245,06","252,95","245,06","251,85","52,67"
2013-06-14,"245,01",264,"245,01","262,99","2497,73"
2013-06-17,264,"268,94",256,264,"26039,94"
2013-06-18,"267,3","267,3","262,99","266,44","862,15"
2013-06-19,"267,3","268,94",267,"267,7","367,77"
2013-06-20,"267,7","267,7",258,"262,99","387,18"
2013-06-21,259,"266,94",259,"262,51",73
2013-06-24,"262,51","263,31","262,51","263,31","357,61"
2013-06-25,"263,1","263,1","259,99","262,51","93,33"
2013-06-26,"262,51","262,99",258,"262,99","94,25"
2013-06-27,"263,31",264,"241,01","261,8","181,12"
2013-06-28,"263,75",264,"250,3",264,"12477,55"
2013-07-01,"264,9","266,5","264,9","264,99","27,72"
2013-07-02,"264,5","273,99","264,5","273,99","5617,35"
2013-07-03,278,279,"269,99","274,99","274,45"
2013-07-04,"274,99","277,9","272,49","274,91","71,15"
2013-07-05,"274,85","274,85","270,5","274,8","141,38"
2013-07-08,"274,5","274,8","269,99","274,5","5294,85"
2013-07-09,"273,5","274,99","273,5","274,99","7,39"
2013-07-10,"274,8","274,91","274,5","274,8","111,81"
2013-07-11,"272,49","274,5",272,"274,4","122,9"
2013-07-12,"274,7","274,99","274,5","274,99","140,46"
