Date,Open,High,Low,Close/Last,Volume
2013-04-15,"92,2","95,2",91,"94,25","24761,82"
2013-04-17,"95,32",96,"90,05",93,"86205,59"
2013-04-18,92,"94,25","90,52",91,"28167,66"
2013-04-19,"90,5","91,75","90,5","91,55","34931,3"
2013-04-22,"91,55","95,5",91,94,"26072,66"
2013-04-23,"94,2","98,38","93,05","96,8","130061,44"
2013-04-24,"94,2","96,9","94,2",96,"48008,9"
2013-04-25,96,97,"95,01",96,"75128,75"
2013-04-26,"94,2","98,39","94,2","94,5","75233,47"
2013-04-29,"95,98",96,"94,05",96,"36896,33"
2013-04-30,"95,5","96,19",94,94,"117477,87"
2013-05-02,"95,29","97,5","94,11","96,2","46622,29"
2013-05-06,"97,9","98,4","95,1","98,4","77599,51"
2013-05-07,98,"99,35","97,1","98,4","84887,36"
2013-05-08,"98,16",102,"97,02","100,4","54590,82"
2013-05-09,"101,1","103,8","100,4","101,9","58185,16"
2013-05-10,"101,9","103,7","99,9",100,"40800,51"
2013-05-13,99,"100,3","97,12","99,9","14772,82"
2013-05-14,"99,9","102,95","98,3","100,5","52641,81"
2013-05-15,"101,85","103,8","99,1","103,8","135119,39"
2013-05-16,"103,5","103,75","100,5",102,"53897,82"
2013-05-17,"100,8","103,15","100,8","102,6","47211,18"
2013-05-20,"103,3","103,3","101,2",103,"26136,72"
2013-05-21,102,"103,85",101,"101,8","68082,98"
2013-05-22,"100,9","102,4","98,3","99,01","136387,72"
2013-05-23,"96,01","100,45","95,7","97,15","63859,1"
2013-05-24,"97,8","99,48","97,4","98,98","43984,59"
2013-05-27,"99,85","99,9","98,25","99,9","61136,39"
2013-05-28,"99,06","102,6","99,06","101,9","54997,37"
2013-05-29,"101,15","102,4","99,4","99,7","49728,14"
2013-05-31,"99,44","100,95",98,"99,35","116157,79"
2013-06-03,99,"101,85","97,71","100,2","144482,53"
2013-06-04,"101,9","102,6","100,05","100,95","45258,47"
2013-06-05,"101,3",102,"99,76","101,2","61894,68"
2013-06-06,"101,2","101,9","98,6",99,"64364,83"
2013-06-07,"99,99","101,15","98,4",99,"56896,49"
2013-06-10,"100,8","100,8","98,5","98,5","80932,05"
