Date,Open,High,Low,Close/Last,Volume
2013-04-15,"100,49","102,9",96,"102,9","319,08"
2013-04-17,102,102,99,"100,9","1678,62"
2013-04-18,"99,9","100,01",97,97,"56957,53"
2013-04-19,97,"98,9","92,02",97,"518,76"
2013-04-22,"94,17","95,41","94,17","95,41","541,27"
2013-04-23,"95,01","95,88",95,"95,88","485,48"
2013-04-24,"92,03","96,4","92,03","96,4","255,46"
2013-04-25,"95,51",97,"95,5","96,5","110,6"
2013-04-26,"97,78","98,2",97,97,"467,86"
2013-04-29,97,"98,99",97,"97,8","698,85"
2013-04-30,99,99,98,98,"11,75"
2013-05-02,"98,2","99,5","98,2","99,5","1245,02"
2013-05-06,100,100,"97,5","99,5","931,8"
2013-05-07,"97,5","101,4","97,5","100,01","5855,1"
2013-05-08,"99,01","100,39","99,01","100,39","1565,08"
2013-05-09,101,101,"99,02",101,"12774,14"
2013-05-10,101,"102,5",101,"102,5","2819,88"
2013-05-13,"104,95","104,95",101,"103,01","192,82"
2013-05-14,104,"105,29","103,7","105,29","2859,03"
2013-05-15,"105,2",109,"105,2",109,"4013,02"
2013-05-16,112,"112,51","107,99",109,"8141,54"
2013-05-17,"108,9",112,"107,81",111,"12398,29"
2013-05-20,112,112,111,"111,8","765,41"
2013-05-21,"111,8",112,109,111,"1505,37"
2013-05-22,"112,9","112,9",110,112,"2715,15"
2013-05-23,112,"112,8",111,"112,8","40499,24"
2013-05-24,"113,5","114,21",112,"114,01","6435,52"
2013-05-27,"114,11","114,11","113,91","113,91","129,2"
2013-05-28,"113,91","114,01","113,86","113,91","368,02"
2013-05-29,"112,05","113,86",112,"113,86","558,89"
2013-05-31,112,"113,8",112,"113,8","43,07"
2013-06-03,112,112,"111,15",112,"594,12"
2013-06-04,"111,5","113,19","111,5",112,"522,67"
2013-06-05,112,"114,01","111,55","114,01","1756,92"
2013-06-06,112,"119,99",112,"119,68","3186,93"
2013-06-07,"122,91","122,91","114,42","119,99","2189,54"
2013-06-10,"119,99","122,01","118,99","120,5","9465,84"
2013-06-11,"120,5",125,"120,5",125,"9886,72"
2013-06-12,"127,5",130,"127,06","129,84","1534,74"
2013-06-13,"129,9","129,9","128,1","128,9","7427,03"
2013-06-14,"129,01",130,"129,01","129,95","513,86"
2013-06-17,"129,95","129,95","126,39","126,7","553,01"
2013-06-18,"126,2",130,"126,2",130,"952,36"
2013-06-19,128,"129,01","124,95","124,95","6717,41"
2013-06-20,"123,1","124,9","115,04","124,19","6055,75"
2013-06-21,"119,99","123,99","119,99","123,79","2760,18"
2013-06-24,"123,74",125,"120,04","120,5","2392,15"
2013-06-25,"120,5","123,79","120,5","123,79","6287,72"
2013-06-26,"120,5","123,99","120,5","123,99","4187,25"
2013-06-27,125,"126,34",121,"123,94","551,06"
2013-06-28,"121,6","123,49","121,6","123,31","1721,68"
2013-07-01,"119,49","122,01","119,49","122,01","134,09"
2013-07-02,"120,04","126,09","120,04","126,09","6729,16"
2013-07-03,"125,81","127,89","123,01","123,1","1098,2"
2013-07-04,"123,1","126,49","121,6","126,29","542,25"
2013-07-05,128,128,127,"127,5","264,27"
2013-07-08,"127,5","129,5","124,5","124,5","1211,74"
2013-07-09,"122,66","122,66","122,66","122,66","73,41"
2013-07-10,"125,81",126,"123,58",126,"251,55"
2013-07-11,126,135,"125,05","134,9","4882,19"
2013-07-12,"133,41","136,39","133,31","133,99","1224,46"
2013-07-15,"133,5",136,"133,5","135,89","840,78"
2013-07-16,"135,89","135,89",135,135,"40,13"
2013-07-17,"130,19","133,99",130,"133,5","786,94"
2013-07-18,"133,5","133,5","133,5","133,5","0,98"
2013-07-19,135,"139,9",135,138,"2247,29"
2013-07-22,138,138,137,137,"33,28"
2013-07-23,137,137,136,136,"119,41"
2013-07-24,137,"139,9",136,"139,3","1106,03"
2013-07-25,"139,85","139,85","139,5","139,74","139,97"
2013-07-26,"139,69","141,89","139,02",141,"2911,89"
2013-07-29,"138,15",143,138,143,"3384,64"
2013-07-30,"143,5","149,99","143,5",149,"14718,99"
2013-07-31,"149,99","149,99","145,99","146,5","84999,75"
2013-08-01,"148,26","148,51","140,3","140,3","1267,53"
2013-08-02,"140,4","148,51","140,4",148,"326,91"
2013-08-05,"148,51",155,"145,01",153,"2501,78"
2013-08-06,157,157,153,"156,49","1531,8"
2013-08-07,"153,1","158,16","153,1",156,"207,5"
2013-08-08,"153,05",156,"153,05",156,"3555,93"
2013-08-09,"156,44","162,99","155,59","162,99","1323,32"
2013-08-12,"162,99","162,99",157,"162,01","1753,98"
2013-08-13,"168,94","168,94","165,95","167,2","6869,12"
