Date,Open,High,Low,Close/Last,Volume
2013-04-15,"71,9",72,"71,6",72,"971,31"
2013-04-17,72,72,"70,8","70,9","1544,3"
2013-04-18,"70,5","71,6","69,65",70,"60543,72"
2013-04-19,"69,65",71,"67,05",71,"3816,85"
2013-04-22,"71,1",73,"70,05","72,5","2223,57"
2013-04-23,72,72,70,"70,97","9204,8"
2013-04-24,"70,97","71,5","70,11","71,48","1021,21"
2013-04-25,"71,1","71,5",71,71,"3980,43"
2013-04-26,"69,71","71,35","69,71","70,99","393,7"
2013-04-29,"70,99","71,38","70,06","71,1","3693,01"
2013-04-30,"71,1",73,71,73,"6784,38"
2013-05-02,72,"73,5","71,5","71,7","12772,12"
2013-05-06,72,73,"71,9",73,"2995,26"
2013-05-07,"73,5","73,5",72,73,"9835,09"
2013-05-08,74,"74,22","72,38",74,"3936,99"
2013-05-09,74,74,73,"73,39","1958,33"
2013-05-10,"73,36","76,7",73,74,"16889,32"
2013-05-13,"74,2","76,85","74,2","76,8","47159,8"
2013-05-14,"76,8","78,95","76,6","77,5","29558,86"
2013-05-15,78,"79,4","77,5","77,61","13949,52"
2013-05-16,"77,61","78,3","77,5",78,"6091,25"
2013-05-17,78,78,"75,7","76,2","26760,45"
2013-05-20,76,"77,89",76,"77,15","2238,36"
2013-05-21,"77,2","78,2","77,2","78,2","5128,25"
2013-05-22,"78,2","81,1","78,2","80,5","30163,27"
2013-05-23,80,82,"78,8",82,"46426,92"
2013-05-24,82,"84,8",82,"82,5","7787,11"
2013-05-27,"84,39","84,39","80,61","81,52","3571,94"
2013-05-28,"82,49","82,5","80,7","81,49","3254,03"
2013-05-29,"81,1","81,1","79,5","79,5","5920,27"
2013-05-31,"78,43","79,5","78,4","78,9","4727,16"
2013-06-03,"78,9","78,9","77,21",78,"4957,28"
2013-06-04,"78,1",81,"78,1",81,"2895,44"
2013-06-05,81,"83,5",80,"83,5","23561,88"
2013-06-06,"83,1","83,9",81,81,"8892,43"
2013-06-07,"80,55","81,9",80,"80,55","9608,66"
2013-06-10,"81,84","81,84",80,"80,4","7960,86"
2013-06-11,"80,4",82,"79,73",80,"2977,7"
2013-06-12,81,81,"79,9","80,66","14465,21"
2013-06-13,82,"84,75",82,83,"16427,24"
2013-06-14,83,"83,15","81,5",82,"69129,32"
2013-06-17,"82,97","84,5","81,65",84,"45141,4"
2013-06-18,84,87,84,"86,2","14191,65"
2013-06-19,"87,7",90,"87,31","88,9","30961,76"
2013-06-20,"88,5","88,5","83,1","85,3","31839,72"
2013-06-21,"84,5",87,"83,8","86,69","18993,67"
2013-06-24,"86,7","86,7","85,8","86,2","28813,97"
2013-06-25,"86,2","88,19",86,"88,1","4677,26"
2013-06-26,"88,75","90,8","86,2","90,8","49111,66"
2013-06-27,"91,99","92,3","86,6","86,9","7361,06"
2013-06-28,"86,6","87,49","84,66",85,"8414,63"
2013-07-01,"85,4","88,05","84,9","86,57","5082,05"
2013-07-02,"87,5","87,9","85,55","86,6","8617,02"
2013-07-03,"86,7","86,7","80,8",84,"27557,09"
2013-07-04,"84,2","85,9","83,15",85,"15767,37"
2013-07-05,"85,9","85,9","84,5","85,8","6264,99"
2013-07-08,"85,2","85,4","84,12","84,55","20168,3"
2013-07-09,"83,42","84,55","83,42","83,7","1477,76"
2013-07-10,"83,5","84,89","83,42",84,"44169,16"
2013-07-11,85,87,85,87,"17673,95"
2013-07-12,"86,5","86,75","85,43","86,75","25902,82"
2013-07-15,"86,98","86,98",86,"86,5","3615,38"
2013-07-16,"86,51",87,"86,51","86,7","4456,38"
2013-07-17,"86,99","87,5","86,41","87,5","14644,5"
2013-07-18,"87,5",89,"87,4",89,"6820,42"
2013-07-19,89,90,89,89,"2912,08"
2013-07-22,89,"89,1",88,"88,12","2037,81"
2013-07-23,88,"90,46","87,81","90,4","3817,77"
2013-07-24,"90,25",92,90,92,"11026,35"
2013-07-25,"91,4",95,"91,4","93,6","4963,75"
2013-07-26,"93,5","93,5","90,36","90,5","4409,25"
2013-07-29,"92,3",94,91,92,"6664,24"
2013-07-30,94,94,92,"93,35","5543,21"
2013-07-31,"92,2",94,"91,1",94,"12422,78"
2013-08-01,"93,88",94,"92,5","92,5","7408,2"
2013-08-02,"92,61",97,"92,61","96,9","15489,2"
2013-08-05,"96,05","98,01","96,05","96,9","7145,73"
2013-08-06,"98,5","98,5","96,11",97,"17446,6"
2013-08-07,"95,5","96,87","94,7",96,"12514,27"
2013-08-08,96,100,96,99,"9865,58"
2013-08-09,100,"102,5","99,9","101,85","23266,14"
2013-08-12,104,"109,07","103,5","106,99","34598,39"
2013-08-13,"108,01","109,8",105,"106,51","30235,35"
2013-08-14,"106,99","108,91",106,"108,81","12999,47"
2013-08-16,"108,5","108,91","107,91","108,01","6167,95"
2013-08-19,"108,01","108,5",104,104,"10938,55"
2013-08-20,102,"103,01","100,5",101,"9486,67"
2013-08-21,"101,7","102,9",101,101,"6529,31"
2013-08-22,"101,9",102,"96,02","99,98",29033
2013-08-23,"101,9","102,3",100,"101,1","15247,99"
2013-08-26,"101,6","103,01",101,101,"10612,32"
2013-08-27,"101,5","101,5","97,22","97,6","8885,96"
2013-08-28,"96,5","96,7",94,96,"10005,13"
2013-08-29,98,"98,8","96,7","98,59","27363,01"
2013-08-30,"99,8",100,"97,2","98,05",27741
2013-09-02,"99,5","102,9","99,01","102,2","49034,95"
2013-09-03,"104,09",106,"103,11","103,55","13665,8"
2013-09-04,"103,2","103,2","95,11",100,"17169,35"
2013-09-05,100,100,90,100,"24114,53"
2013-09-06,100,101,"98,1",100,"11765,69"
2013-09-09,"101,85",104,"100,5",104,"20110,08"
2013-09-10,106,"107,48","104,14","105,84","22906,64"
2013-09-11,"105,9","106,6","103,91","106,6","6452,6"
2013-09-12,"106,51","106,6",104,105,"8044,96"
2013-09-13,105,105,"103,5",104,"2499,9"
2013-09-16,"103,6","103,6","100,1",101,"45316,06"
2013-09-17,102,104,"101,3",104,"4740,1"
2013-09-18,104,105,"103,5","104,41","2289,18"
2013-09-19,"106,99","111,99","106,6",110,"37375,54"
2013-09-20,110,"113,19",110,113,"37579,78"
2013-09-23,"113,19","113,51","111,99","111,99","7405,43"
2013-09-24,"112,61","112,61","109,6","110,82","35036,06"
2013-09-25,"110,99","111,65","109,5","111,65","9743,23"
2013-09-26,112,"114,5","111,7","112,91","11141,15"
2013-09-27,114,"114,44",113,113,"17276,61"
2013-09-30,114,114,"112,61","112,7","9665,41"
2013-10-01,"112,75","116,19","112,4","116,14","14658,91"
2013-10-02,"118,5",121,114,"116,01","42696,95"
2013-10-03,"116,99",120,"116,99",118,"17532,56"
2013-10-04,"119,5","119,5","116,99","117,71","5425,72"
2013-10-07,"118,86","118,86","116,11","116,4","11789,01"
2013-10-08,"116,8","116,94","116,06","116,11","20965,95"
2013-10-09,"116,11","120,49","116,11",120,"66911,58"
2013-10-10,122,"125,11","121,9","123,79","33389,69"
2013-10-11,"125,51","127,95","125,51","126,4","36521,17"
2013-10-14,"126,59",130,"126,59","129,94","27730,52"
2013-10-15,"131,51",136,"131,51",134,"42186,91"
2013-10-16,"135,6","141,6","135,6","137,91","54949,12"
2013-10-17,140,"140,7","132,24","132,98","47427,93"
2013-10-18,"131,95","135,2",126,"133,9","36879,33"
2013-10-21,"134,51","139,01","134,2","137,99","39942,37"
2013-10-22,"138,04","140,3","136,8","136,8","32296,48"
2013-10-23,"136,8","138,85","136,2","136,26",12495
2013-10-24,137,"139,51","136,49","138,9","20700,61"
2013-10-25,"139,4",141,"137,99","139,01","26517,3"
2013-10-28,"139,01","139,51","134,51",135,"25688,49"
2013-10-29,"135,55","139,01","135,55","137,91","13178,49"
2013-10-30,"138,9","138,9","134,51","134,51","22523,25"
2013-10-31,"134,59","134,8","128,26",130,"75008,43"
2013-11-04,132,"132,98","127,65","129,79","34449,14"
2013-11-05,"129,79",130,"122,16","125,51","34109,74"
2013-11-06,125,"125,4","120,49","125,4","40417,72"
2013-11-07,126,128,"125,11","125,8","32674,32"
2013-11-08,"125,7","125,7","116,89","119,9","191082,44"
2013-11-12,"121,8","121,8","116,01","118,5","72507,93"
2013-11-13,"118,4","119,8","116,71",118,"76586,36"
2013-11-14,"116,06","122,51","116,01",120,"24667,47"
2013-11-15,120,120,"118,3","118,7","41181,84"
2013-11-18,"119,5","119,8","118,24","119,01","27550,5"
2013-11-19,"119,2","121,21","119,2",120,"57407,43"
2013-11-20,"122,74","122,74","120,79",122,"51763,25"
2013-11-21,"123,45","124,9","121,86","124,75","32513,06"
2013-11-22,"126,75","127,89","124,55","125,51","25878,81"
2013-11-25,"126,05","127,4","124,05","124,3","27930,22"
2013-11-26,"124,3","124,3",120,"122,51","33518,14"
2013-11-27,"120,49","124,49",118,122,"47506,68"
2013-11-28,"122,1","122,1","118,2",120,"14944,87"
2013-11-29,"118,54","119,45","117,95","119,2","35592,04"
2013-12-02,"119,39","119,39","116,99",118,"63149,11"
2013-12-03,"118,3","118,5","117,28",118,"74508,71"
2013-12-04,"117,95","117,95","112,1","115,1","64375,45"
2013-12-05,"115,1","116,5","113,45","116,5","35771,12"
2013-12-06,"117,5","117,5","115,69","116,99","42860,09"
2013-12-09,"117,6","117,8","117,2","117,25","32907,78"
2013-12-10,"117,71",118,"113,5","116,99","9471,33"
2013-12-11,"116,89","116,89","115,51","115,96","4115,93"
2013-12-12,"115,91","115,91","110,55","113,5","29746,29"
2013-12-13,113,"113,5","111,04","113,5","25460,66"
2013-12-16,"114,09","115,4","114,09","115,1","16915,64"
2013-12-17,"116,99","119,2","112,5",113,"24803,42"
2013-12-18,113,"116,01","112,5",114,"10359,21"
2013-12-19,"114,9","118,44",113,113,"17601,01"
2013-12-20,"114,5","115,4","110,99","112,95","58456,57"
2013-12-23,113,"115,4",113,"114,9","6886,45"
2013-12-27,"115,8","116,99",114,"116,94","7373,99"
2013-12-30,"116,99","116,99",114,"116,61","20740,93"
2014-01-02,"116,8","118,86","116,5","117,5","33850,97"
2014-01-03,"117,44","117,5","116,8","116,94","13177,55"
2014-01-07,"116,84","116,84","114,09","114,9","12276,54"
2014-01-08,115,"115,3","110,1","112,65","12969,41"
2014-01-09,"112,4",115,"110,2","113,89","7130,22"
2014-01-10,"114,59","114,59","110,99",112,"5203,51"
2014-01-13,"111,91","111,91","106,99","106,99","45509,66"
2014-01-14,"104,91","108,7","102,5","108,65","16541,55"
2014-01-15,"108,99","111,09","108,99",110,"12567,19"
2014-01-16,110,"110,5","108,14","110,2","6565,8"
2014-01-17,"110,2","110,2","107,65","108,99","4937,24"
2014-01-20,"108,99","108,99","108,35","108,6","38369,12"
2014-01-21,"108,6","112,61","108,5","112,29","16583,74"
2014-01-22,"112,91","117,9","112,91","117,5","66541,24"
2014-01-23,"118,2","125,11","118,2","122,51","248388,61"
2014-01-24,"123,79","124,3","117,5","117,9","121266,27"
2014-01-27,"116,99","117,2","113,3","116,99","72804,2"
2014-01-28,"116,99","119,9","116,99","119,2","20319,02"
2014-01-29,121,122,"117,5","117,8","18907,98"
2014-01-30,"117,71","118,91","115,19","116,99","18502,95"
2014-01-31,"117,6","119,01","116,3","119,01","20057,44"
2014-02-03,"119,01","120,49","117,2","120,2","40304,27"
2014-02-04,118,120,"116,99","118,2","13025,66"
2014-02-05,"118,2","119,95","117,66","118,4","25798,18"
2014-02-06,"119,45","122,7","119,26",122,"101841,69"
2014-02-07,122,"122,51",121,"121,3","22138,85"
2014-02-10,"123,4",124,"122,37","123,79","14402,02"
2014-02-11,124,"124,46","122,55","122,6","21563,18"
2014-02-12,123,"123,95","122,65",123,"41696,56"
2014-02-13,"123,5",125,"123,15","124,49","27361,11"
2014-02-14,"124,9","128,31","124,71",128,"55493,85"
2014-02-17,128,"132,18",128,"132,18","26710,44"
2014-02-18,"132,18","134,2","128,51","129,05","25969,76"
2014-02-19,"128,68","129,85","127,95","129,85","35082,94"
2014-02-20,"129,74","129,74","126,35","128,89","31034,51"
2014-02-21,130,132,"129,31",130,"19549,28"
2014-02-24,"131,01","132,98","128,11","132,98","19109,56"
2014-02-25,"132,98","132,98","129,59","130,4","16292,16"
2014-02-26,"132,72","135,5",130,130,"61100,52"
2014-02-27,130,"132,95",130,"131,3","17315,05"
2014-02-28,132,134,"131,51","131,51","41481,86"
2014-03-03,128,"128,99","119,01","122,89","65931,81"
2014-03-04,"127,4",130,127,"129,5","30352,9"
2014-03-05,"129,89","132,5",127,"128,51","45684,05"
2014-03-06,"129,5","130,9",128,"128,51","14452,65"
2014-03-07,"128,78","128,99","126,9","127,09","38530,39"
2014-03-10,"127,09","127,89","125,15","126,19","39870,17"
2014-03-11,"126,24","128,68","122,16","123,89","25896,63"
2014-03-12,124,124,"119,15","120,2","47978,28"
2014-03-13,"120,49","123,15","119,01","119,01","111532,42"
2014-03-14,"116,66","116,94","112,5","116,01","43490,13"
2014-03-17,"116,5","124,49","116,5","123,5","27948,03"
2014-03-18,"124,41","129,31","124,11","124,11","37244,98"
2014-03-19,"126,5","128,89","122,51",125,"21542,55"
2014-03-20,"125,26","126,7","124,3","126,7","25500,97"
