Date,Open,High,Low,Close/Last,Volume
2013-04-15,"6,97","6,97","6,82","6,88","31497,29"
2013-04-17,"6,88","6,88","6,69","6,75","114927,19"
2013-04-18,"6,75","6,75","6,34","6,66","160769,16"
2013-04-19,"6,63","6,7","6,63","6,66","74575,2"
2013-04-22,"6,66","6,75","6,65","6,65","33557,7"
2013-04-23,"6,65","6,7","6,56","6,56","78896,24"
2013-04-24,"6,7","6,72","6,51","6,72","95696,07"
2013-04-25,"6,7","6,9","6,7","6,8","39230,73"
2013-04-26,"6,81","7,22","6,81","7,18","211672,06"
2013-04-29,"7,18","7,4","7,18","7,4","196737,19"
2013-04-30,"7,4","7,54","7,21","7,54","199235,23"
2013-05-02,"7,54","7,54","7,4","7,41","17348,06"
2013-05-06,"7,36","7,42","7,2","7,25","43587,06"
2013-05-07,"7,3","7,73","7,25","7,7","409712,61"
2013-05-08,"7,7","7,75","7,55","7,71","144957,12"
2013-05-09,"7,7","7,81","7,56","7,8","135587,54"
2013-05-10,"7,8","7,92","7,72","7,81","192143,46"
2013-05-13,"7,72","7,75","7,51","7,7","84186,95"
2013-05-14,"7,69","7,7","7,54","7,69","43926,49"
2013-05-15,"7,69","7,69","7,2","7,53","135566,57"
2013-05-16,"7,42","7,57","7,39","7,57","79547,45"
2013-05-17,"7,63","7,75","7,57","7,68","187815,74"
2013-05-20,"7,74","8,25","7,68",8,"608579,81"
2013-05-21,"8,1","8,14","7,95","7,95","72385,12"
2013-05-22,"7,9","8,13","7,87","8,07","122167,71"
2013-05-23,"7,9","8,07","7,89","8,07","86377,98"
2013-05-24,"8,07","8,5","8,04","8,4","371131,18"
2013-05-27,"8,5","8,57","8,37","8,55","183727,34"
2013-05-28,"8,57","8,68","8,23","8,62","452220,36"
2013-05-29,"8,62","8,79","8,53","8,79","175226,36"
2013-05-31,"8,8","8,8","8,61","8,79","114350,36"
2013-06-03,"8,78","8,78","8,61","8,65","51573,17"
2013-06-04,"8,67","8,85","8,67","8,75","104532,66"
2013-06-05,"8,75","8,75","8,49","8,67","118178,47"
2013-06-06,"8,65","8,73","8,55","8,69","88882,7"
2013-06-07,"8,63","8,75","8,62","8,75","67685,56"
2013-06-10,"8,74","8,95","8,7","8,95","217983,91"
2013-06-11,"8,98","8,99","8,85","8,99","104040,68"
2013-06-12,"8,99","9,54","8,99","9,52","440117,24"
2013-06-13,"9,52","9,64","9,3","9,32","216580,43"
2013-06-14,"9,32","9,56","9,3","9,5","196949,81"
2013-06-17,"9,5","9,55","9,3","9,49","92997,8"
2013-06-18,"9,48","9,48","9,33","9,35","77858,89"
2013-06-19,"9,37","9,37","8,85","8,96","286094,71"
2013-06-20,"8,75","8,79","8,2","8,55","513665,58"
2013-06-21,"8,35","8,84","8,21","8,51","197262,54"
2013-06-24,"8,55","8,75","8,55","8,66","84169,79"
2013-06-25,"8,66",9,"8,65",9,"68757,24"
2013-06-26,9,"9,1","8,7","9,1","131712,72"
2013-06-27,"9,1","9,35","8,82","9,19","206399,47"
2013-06-28,"9,24","9,25","8,95","9,25","121935,07"
2013-07-01,"9,24","9,24","9,05","9,2","54745,31"
2013-07-02,"9,17","9,2","8,97","8,99","62173,65"
2013-07-03,"8,91","8,97","8,7","8,97","154552,66"
2013-07-04,"8,86","9,21","8,86","9,2","104027,33"
2013-07-05,"9,26","9,28","9,06","9,1","52764,99"
2013-07-08,"9,05","9,12",9,"9,09","71110,36"
2013-07-09,"9,02","9,09","8,9","9,05","100861,87"
2013-07-10,"9,07","9,1",9,"9,03","27440,35"
2013-07-11,"9,08","9,48","9,08","9,39","152004,08"
2013-07-12,"9,39","9,4","9,31","9,32","80739,27"
2013-07-15,"9,38","9,38","9,25","9,29","5844,66"
2013-07-16,"9,29","9,29","9,1","9,2","54375,37"
2013-07-17,"9,2","9,22","9,1","9,2","150515,74"
2013-07-18,"9,2","9,35","9,12","9,33","95654,12"
2013-07-19,"9,5","9,75","9,41","9,6","580058,25"
2013-07-22,"9,71","9,78","9,42","9,49","142676,46"
2013-07-23,"9,5","9,64","9,34","9,6","88636,71"
2013-07-24,"9,64","9,69","9,46","9,55","55260,17"
2013-07-25,"9,64","9,65","9,44","9,56","94189,61"
2013-07-26,"9,67","9,87","9,56","9,83","209024,32"
2013-07-29,"9,86","10,78","9,85","10,65","605543,07"
2013-07-30,"10,65","10,79","10,26","10,68","346054,44"
2013-07-31,"10,78","10,78","10,65","10,7","101167,93"
2013-08-01,"10,71",11,"10,3","10,3","470904,21"
2013-08-02,"10,5","10,59","10,06","10,38","306990,56"
2013-08-05,"10,2","10,45","10,1","10,45","268415,8"
2013-08-06,"10,46","10,58","10,39","10,42","259749,87"
2013-08-07,"10,4","10,55","10,4","10,5","110492,69"
2013-08-08,"10,52","10,7","10,48","10,6","237521,1"
2013-08-09,"10,61","10,7","10,5","10,67","174684,8"
2013-08-12,"10,68","10,69","10,52","10,69","82917,9"
2013-08-13,"10,65","11,2","10,65","11,06","450452,66"
2013-08-14,"11,13","11,4","11,07","11,3","419312,92"
2013-08-16,"11,33","11,37","11,19","11,29","140853,46"
2013-08-19,"11,35","11,35","10,9","11,08","230061,29"
2013-08-20,"11,03","11,03","10,75","10,9","154405,83"
2013-08-21,"10,91","11,86","10,91","11,64","354314,19"
2013-08-22,"11,84","12,07","11,56",12,"453410,27"
2013-08-23,"12,1","12,12","11,97","12,09","159363,78"
2013-08-26,"12,09","12,09","11,71","11,72","183356,44"
2013-08-27,"11,71","12,01","11,05","11,41","455820,6"
2013-08-28,"11,3",12,"10,9","11,8","545976,16"
2013-08-29,12,"12,52","11,96","12,52","515033,78"
2013-08-30,"12,5","12,66","12,3","12,37","226248,43"
2013-09-02,"12,3","12,66","12,05","12,19","177272,47"
2013-09-03,"12,38","12,5","12,2","12,39","203972,93"
2013-09-04,"12,4","12,69","12,09","12,17","1849631,04"
2013-09-05,"12,1","12,1","10,92","12,05","1048311,86"
2013-09-06,"12,05","12,57","11,85","12,43","149120,84"
2013-09-09,"12,5","12,57","12,28","12,45","105706,36"
2013-09-10,"12,52","12,59","12,27","12,35","295153,45"
2013-09-11,"12,45","13,08","12,12","12,94","780723,66"
2013-09-12,"12,94","13,38","12,8","13,35","376045,27"
2013-09-13,"13,4","13,75","13,15","13,75","318539,72"
2013-09-16,"13,8","13,99","13,21","13,59","248441,93"
2013-09-17,"13,65","13,76","13,18","13,7","293289,45"
2013-09-18,"13,7","13,71","13,45","13,55","194537,57"
2013-09-19,"13,72","13,93","13,5","13,75","149605,2"
2013-09-20,"13,82","13,82","13,5","13,76","158966,19"
2013-09-23,"13,75","13,84","13,62","13,65","80463,72"
2013-09-24,"13,75","13,79","13,62","13,74","104654,7"
2013-09-25,"13,7","14,59","13,51","14,59","455000,63"
2013-09-26,"14,6","14,8","14,4","14,79","196811,56"
2013-09-27,"14,8","14,8","14,64","14,8","144513,76"
2013-09-30,"14,8","15,17","14,72","14,86","356057,11"
2013-10-01,"14,84","14,9","14,7","14,9","61292,66"
2013-10-02,"14,97","14,97","14,9","14,91","34946,88"
2013-10-03,"14,95","15,1","14,7","14,82","135461,69"
2013-10-04,"14,9","14,9","14,23","14,9","256238,31"
2013-10-07,"14,9","14,94","14,35","14,74","182677,58"
2013-10-08,"14,67","14,68","14,42","14,55","44133,38"
2013-10-09,"14,45","14,46","13,4","14,18","1093617,04"
2013-10-10,"14,2","14,75",14,"14,75","251019,11"
2013-10-11,"14,8","14,85","14,4","14,47","698656,24"
2013-10-14,"14,4","14,6","14,2","14,48","116543,3"
2013-10-15,"14,48","14,5","14,25","14,25","112252,76"
2013-10-16,"14,26","14,26","13,71","14,19","354719,41"
2013-10-17,"14,2","14,25","13,9","13,99","150748,38"
2013-10-18,"13,77","14,25","13,45","14,2","269333,02"
2013-10-21,"14,26","14,73","14,26","14,6","404374,24"
2013-10-22,"14,8","15,07","14,4","14,4","353058,5"
2013-10-23,"14,48","14,6","14,45","14,47","68499,8"
2013-10-24,"14,55","14,65","14,38","14,5","112351,92"
2013-10-25,"14,5","14,98","14,28","14,9","173466,28"
2013-10-28,"14,99","15,14","14,71","14,95","172242,05"
2013-10-29,"14,96",15,"14,8","14,99","115365,78"
2013-10-30,15,"15,7","14,76","15,37","316767,26"
2013-10-31,"15,5","15,74","15,4","15,5","246998,41"
2013-11-04,"15,8","15,94","15,67","15,87","297593,34"
2013-11-05,16,16,"15,75","15,78","172997,19"
2013-11-06,"15,8","15,87","15,59","15,75","144658,69"
2013-11-07,"15,75","15,84","15,65","15,65","47252,13"
2013-11-08,"15,75","15,75","15,2","15,5","144942,82"
2013-11-12,"15,95","15,98","15,55","15,73","65635,63"
2013-11-13,"15,78","15,78","15,2","15,3","156779,92"
2013-11-14,"15,2","15,66","15,11","15,6","90125,05"
2013-11-15,"15,65","15,8","15,51","15,6","79441,62"
2013-11-18,"15,7","15,75","15,5","15,53","72879,01"
2013-11-19,"15,7","15,7","15,17","15,3","157639,94"
2013-11-20,"15,2","15,64",15,"15,55","140260,41"
2013-11-21,"15,63","16,39","15,35","16,39","446448,17"
2013-11-22,"16,5","16,7","16,25","16,5","122396,54"
2013-11-25,"16,63","16,9","15,7","16,9","621573,46"
2013-11-26,"16,8","16,95","16,42","16,85","922524,85"
2013-11-27,"16,45","16,95","16,33","16,85","316538,43"
2013-11-28,"16,85","17,15","16,6","16,6","281318,87"
2013-11-29,"16,6","16,85","16,51","16,75","62043,98"
2013-12-02,"16,88","16,88","16,4","16,42","63358,79"
2013-12-03,"16,36","16,48","16,2","16,44","59656,54"
2013-12-04,"16,49","16,49","15,22","16,2","477501,14"
2013-12-05,"16,21","16,21","16,03","16,19","50636,88"
2013-12-06,"16,19","16,52","16,05","16,25","89982,98"
2013-12-09,"16,35","16,6","16,35","16,37","46605,69"
2013-12-10,"16,39","16,45","16,1","16,44","115114,07"
2013-12-11,"16,4","16,5","16,31","16,35","34037,28"
2013-12-12,"16,2","16,23","15,8","15,99","123893,46"
2013-12-13,"15,91","16,08","15,4","15,6","202394,02"
2013-12-16,"15,59","16,35","15,22","16,35","296263,27"
2013-12-17,"16,3","16,6","16,3","16,35","253056,64"
2013-12-18,"16,35","16,5","16,35","16,35","246455,89"
2013-12-19,"16,5","16,7","16,4","16,55","585780,87"
2013-12-20,"16,7","16,95","16,65","16,9","503242,44"
2013-12-23,"16,98","17,3","16,98","17,3","216390,69"
2013-12-27,"17,4","17,75","17,4","17,6","221146,51"
2013-12-30,"17,6","17,6","17,41","17,54","286801,21"
2014-01-02,"17,5","17,5","17,38","17,4","139351,77"
2014-01-03,"17,35","17,35","17,23","17,29","90106,93"
2014-01-07,"17,4","17,4","16,85","16,99","205326,84"
2014-01-08,"16,9","17,02","16,51","16,9","196247,11"
2014-01-09,17,17,"16,79","16,84","81099,67"
2014-01-10,"16,63","16,8","16,5","16,8","224816,35"
2014-01-13,"16,89","17,39","16,77","16,8","160775,84"
2014-01-14,"16,85","17,14","16,74","16,98","68889,77"
2014-01-15,"16,98","17,64","16,98","17,35","293550,7"
2014-01-16,"17,6","17,85","17,4","17,65","354699,39"
2014-01-17,"17,79","17,81","17,21","17,26","196608,47"
2014-01-20,"17,25","17,55","17,22","17,26","166041,75"
2014-01-21,"17,5","18,08","17,3",18,"360045,39"
2014-01-22,"18,01","18,18","17,95",18,"352480,71"
2014-01-23,18,"18,38","17,97","18,3","317278,31"
2014-01-24,"18,36","18,4","18,25","18,35","175809,87"
2014-01-27,"18,3","18,41","17,55","18,34","244065,59"
2014-01-28,"18,35","18,39","18,06","18,15","122530,97"
2014-01-29,"18,2","18,34","18,15","18,34","70793,81"
2014-01-30,"18,34","18,34",18,"18,22","90443,5"
2014-01-31,"18,22","18,35","18,19","18,34","65829,18"
2014-02-03,"18,34","18,49","18,1","18,2","159796,64"
2014-02-04,18,"18,24","17,8","18,12","49090,38"
2014-02-05,"18,12","18,12",18,"18,04","81045,32"
2014-02-06,"18,01","18,4","17,67","17,85","220758,46"
2014-02-07,"17,95",18,"17,79","17,94","102935,63"
2014-02-10,18,"18,28","17,85","17,91","107009,73"
2014-02-11,"18,09","18,09","17,86","17,95","74719,17"
2014-02-12,"17,99",18,"16,8","17,65","265796,67"
2014-02-13,"17,63","17,65",17,"17,62","261433,67"
2014-02-14,"17,7","17,8","17,35","17,66","70650,79"
2014-02-17,"17,75","17,79","17,4","17,4","71604,24"
2014-02-18,"17,4","17,67","17,1","17,66","184621,67"
2014-02-19,"17,76","17,8","17,55","17,66","84349,99"
2014-02-20,"17,6","17,6","17,2","17,49","71834,98"
2014-02-21,"17,49","17,49","17,2","17,25","108281,63"
2014-02-24,"17,24","17,35","17,16","17,3","86671,64"
2014-02-25,"17,3","17,3","17,1","17,11","81823,34"
2014-02-26,"17,1","17,17","16,6","16,8","228116,25"
