Date,Open,High,Low,Close/Last,Volume
2013-04-15,"22,28","22,45","22,01","22,3","9112,6"
2013-04-17,"22,3","22,3","21,72","21,98","42300,39"
2013-04-18,"21,7",22,"21,7","21,76","110388,85"
2013-04-19,"21,76","21,76","21,57","21,57","13397,01"
2013-04-22,"21,55","21,75","21,03","21,15","9461,51"
2013-04-23,"21,15","21,34",21,"21,22","64277,57"
2013-04-24,"21,46","21,74","21,46","21,58","37466,93"
2013-04-25,"21,73","21,73","21,45","21,5","11362,43"
2013-04-26,"21,02","21,59","21,02","21,59","26028,98"
2013-04-29,"21,73","21,79","21,23","21,78","17294,75"
2013-04-30,22,22,"21,79","21,9","14853,85"
2013-05-02,"21,8","22,2","21,8","22,1","5775,24"
2013-05-06,"22,2","22,9","22,2","22,5","77716,12"
2013-05-07,"22,7","23,11","22,6","22,8","37548,49"
2013-05-08,23,23,"22,46","22,6","17732,03"
2013-05-09,"22,5","22,5","22,1","22,1","20789,2"
2013-05-10,"21,86","22,1","21,8","21,8","9106,56"
2013-05-13,22,"22,44","21,9","22,32","28409,46"
2013-05-14,"22,46","23,5","22,45","23,33","46932,22"
2013-05-15,"23,5","23,76","23,2","23,75","31104,88"
2013-05-16,"24,2","24,7","24,13","24,7","304557,56"
2013-05-17,"26,3","26,3","25,1","25,29","115955,65"
2013-05-20,"25,28","26,49","24,02","26,39","127966,06"
2013-05-21,"26,35","26,48","25,75","26,08","72101,74"
2013-05-22,26,"26,4","25,7","25,98","79542,26"
2013-05-23,"25,12","26,26","24,97","26,1","131086,67"
2013-05-24,"25,7","26,2","25,7",26,"13375,87"
2013-05-27,"25,7",26,"25,7",26,"22424,27"
2013-05-28,"26,03","26,29","25,92","26,01","100999,08"
2013-05-29,"25,91","27,2","25,7",27,"297560,36"
2013-05-31,"27,2","27,25","26,2","26,2","32238,47"
2013-06-03,"26,1","26,48","26,05","26,29","12292,11"
2013-06-04,"26,34",27,"26,03",27,"20982,54"
2013-06-05,"26,8",27,"26,4","26,69","14220,21"
2013-06-06,"26,32","26,66","26,26","26,35","283271,42"
2013-06-07,"26,34","26,79","26,21","26,78","35435,36"
2013-06-10,"26,8","27,4","26,53","26,89","38015,98"
2013-06-11,"26,99","27,14","26,41",27,"26232,14"
2013-06-12,"27,1","27,1","25,14",26,"209066,36"
2013-06-13,"25,3","25,68","25,2","25,5","63215,72"
2013-06-14,"25,33","25,5","25,2","25,41","14443,01"
2013-06-17,"25,21","25,5","25,2","25,3","51171,32"
2013-06-18,"25,21","25,5","25,1","25,5","55082,65"
2013-06-19,"25,5","25,9","25,23","25,4","22865,32"
2013-06-20,"25,16","25,16",23,"23,98","73652,23"
2013-06-21,"23,97","24,48","23,4","24,48","26373,36"
2013-06-24,"24,69","25,5","24,14","24,57","16910,34"
2013-06-25,"24,38","24,69","24,35","24,43","5079,67"
2013-06-26,"24,35",25,"23,53",25,"19114,85"
2013-06-27,"25,45","25,6","24,5","24,7","61453,01"
2013-06-28,"24,31",25,"23,54","24,2","37111,97"
2013-07-01,"23,86","24,87","23,86","24,87","19303,66"
2013-07-02,"24,41","24,85","24,41","24,8","12924,99"
2013-07-03,"24,8","24,8",24,"24,4","14421,86"
2013-07-04,"24,63","25,24","24,15","25,09","21958,29"
2013-07-05,"25,42","25,5","25,05","25,25","136003,21"
2013-07-08,"25,11","25,25","24,82",25,"21853,32"
2013-07-09,"24,95",25,"24,4","24,4","22253,59"
2013-07-10,"24,41","24,98","24,24","24,9","18714,58"
2013-07-11,25,"25,37","24,7","25,2","66053,11"
2013-07-12,"25,2","26,5","25,2","26,4","71066,32"
2013-07-15,"26,1","26,37","25,8","26,3","12170,52"
2013-07-16,"26,3","26,3","25,36","25,41","24429,4"
2013-07-17,"25,69","25,8","25,16","25,65","9146,58"
2013-07-18,"25,77","25,99","25,09","25,99","36115,07"
2013-07-19,"25,94","25,94","25,65","25,65","1759,68"
2013-07-22,"25,25","25,49","25,13","25,13","5284,34"
2013-07-23,"25,13","25,8","25,13","25,8","13312,43"
2013-07-24,"25,8","25,88","25,26","25,68","10792,23"
2013-07-25,"25,66","25,66","25,24","25,55","5570,57"
2013-07-26,"25,5","25,5","25,06","25,2","6203,45"
2013-07-29,"25,11",26,"25,11","25,99","20755,97"
2013-07-30,"25,6","26,2","25,6","25,72","2772,45"
2013-07-31,"25,49","25,5","24,85",25,"26630,9"
2013-08-01,25,"25,41",24,24,"31662,23"
2013-08-02,24,"24,23","23,65","24,18","34877,25"
2013-08-05,24,"24,59","23,9","24,5","38592,97"
2013-08-06,"24,5","24,79","24,2","24,44","18530,31"
2013-08-07,"24,22","25,2","24,22","25,2","14906,72"
2013-08-08,"25,2","25,83","25,19","25,42","43429,46"
2013-08-09,"25,68",26,"25,28","25,99","17630,83"
2013-08-12,"25,9","26,38","25,83","26,2","46273,66"
2013-08-13,26,"26,01","25,46","25,74","13174,22"
2013-08-14,"25,47","26,34","25,47","26,34","98407,89"
