Date,Open,High,Low,Close/Last,Volume
2013-04-15,"2,3","2,4","2,26","2,31",797120
2013-04-17,"2,3","2,31","2,26","2,3",121350
2013-04-18,"2,32","2,32","2,25","2,25",115240
2013-04-19,"2,22","2,25","2,17","2,25",50780
2013-04-22,"2,27","2,27","2,18","2,25",42880
2013-04-23,"2,18","2,19","2,15","2,15",27050
2013-04-24,"2,15","2,23","2,02","2,14",52910
2013-04-25,"2,07","2,12","1,96","2,12",472400
2013-04-26,"2,04","2,14",2,"2,12",182500
2013-04-29,"2,1","2,15","2,04","2,15",93870
2013-04-30,"2,15","2,15","2,06","2,1",116830
2013-05-02,"2,1","2,13","2,07","2,08",38810
2013-05-06,"2,08","2,11","2,05","2,05",57590
2013-05-07,"2,05","2,06","2,01","2,05",95580
2013-05-08,"2,07","2,23","2,06","2,22",83520
2013-05-09,"2,22","2,25","2,19","2,25",81490
2013-05-10,"2,29","2,34","2,07","2,11",327000
2013-05-13,"2,12","2,12","1,81","1,95",596180
2013-05-14,"1,9","1,91","1,82","1,91",143900
2013-05-15,"1,91","1,91","1,83","1,85",69030
2013-05-16,"1,84","1,85","1,78","1,79",308020
2013-05-17,"1,78","1,82","1,73","1,73",165560
2013-05-20,"1,74","1,78","1,74","1,75",194160
2013-05-21,"1,77","1,79","1,74","1,77",42440
2013-05-22,"1,78","1,84","1,77","1,82",77000
2013-05-23,"1,8","1,8","1,75","1,75",55070
2013-05-24,"1,75","1,79","1,75","1,77",115500
2013-05-27,"1,77","1,78","1,76","1,76",1149330
2013-05-28,"1,8","1,8","1,76","1,77",339150
2013-05-29,"1,77","1,77","1,59","1,7",1339360
2013-05-31,"1,65","1,69","1,65","1,66",123610
2013-06-03,"1,69","1,69","1,65","1,67",92030
2013-06-04,"1,67","1,67","1,61","1,66",229390
2013-06-05,"1,66","1,67","1,63","1,65",162240
2013-06-06,"1,65","1,67","1,61","1,65",1206620
2013-06-07,"1,67","1,73","1,67","1,69",429790
2013-06-10,"1,71","1,71","1,66","1,68",164650
2013-06-11,"1,67","1,68","1,61","1,61",185340
2013-06-12,"1,62","1,64","1,6","1,64",200770
2013-06-13,"1,66","1,66","1,61","1,65",197360
2013-06-14,"1,69","1,79","1,67","1,68",2690360
2013-06-17,"1,71","1,72","1,67","1,69",245060
2013-06-18,"1,71","1,71","1,64","1,69",593610
2013-06-19,"1,69","1,69","1,6","1,6",164150
2013-06-20,"1,6","1,6","1,5","1,56",436680
2013-06-21,"1,52","1,58","1,52","1,57",81040
2013-06-24,"1,57","1,58","1,52","1,57",143640
2013-06-25,"1,53","1,59","1,53","1,59",155410
2013-06-26,"1,59","1,65","1,56","1,6",50480
2013-06-27,"1,6","1,6","1,56","1,56",114120
2013-06-28,"1,59","1,59","1,53","1,54",85370
2013-07-01,"1,57","1,57","1,53","1,55",13050
2013-07-02,"1,55","1,59","1,52","1,59",65780
2013-07-03,"1,59","1,59","1,53","1,59",48010
2013-07-04,"1,56","1,64","1,56","1,59",25160
2013-07-05,"1,6","1,63","1,6","1,62",44520
2013-07-08,"1,62","1,65","1,62","1,62",29040
2013-07-09,"1,6","1,66","1,6","1,65",77060
2013-07-10,"1,65","1,72","1,62","1,64",261610
2013-07-11,"1,65","1,65","1,55","1,59",195020
2013-07-12,"1,57","1,58","1,56","1,58",69090
2013-07-15,"1,6","1,62","1,58","1,58",17640
2013-07-16,"1,58","1,58","1,55","1,58",60480
2013-07-17,"1,58","1,59","1,56","1,59",43210
2013-07-18,"1,58","1,61","1,57","1,6",93630
2013-07-19,"1,61","1,62","1,59","1,62",126860
2013-07-22,"1,62","1,62","1,6","1,6",10360
2013-07-23,"1,6","1,62","1,59","1,61",52870
2013-07-24,"1,59","1,62","1,56","1,62",57800
2013-07-25,"1,62","1,62","1,59","1,61",58300
2013-07-26,"1,61","1,61","1,55","1,6",93180
2013-07-29,"1,58","1,6","1,53","1,6",193310
2013-07-30,"1,61","1,62","1,57","1,59",12770
2013-07-31,"1,56","1,59","1,5","1,59",76130
2013-08-01,"1,61","1,61","1,59","1,6",31860
2013-08-02,"1,59","1,65","1,59","1,6",94540
2013-08-05,"1,59","1,61","1,56","1,61",9550
2013-08-06,"1,59","1,67","1,57","1,67",480530
2013-08-07,"1,68","1,72","1,64","1,68",401820
2013-08-08,"1,7","1,7","1,66","1,67",122820
2013-08-09,"1,67","1,71","1,63","1,71",348390
2013-08-12,"1,73","1,76","1,72","1,74",555870
2013-08-13,"1,76","1,76","1,7","1,72",149790
2013-08-14,"1,73","1,75","1,7","1,72",134330
2013-08-16,"1,7","1,7","1,65","1,7",68570
2013-08-19,"1,67","1,7","1,6","1,63",106770
2013-08-20,"1,6","1,64","1,57","1,64",202550
2013-08-21,"1,64","1,76","1,63","1,72",513250
2013-08-22,"1,71","1,8","1,71","1,78",691570
2013-08-23,"1,82","1,82","1,74","1,77",174550
2013-08-26,"1,74","1,76","1,69","1,74",327960
2013-08-27,"1,82","1,85","1,69","1,7",699790
2013-08-28,"1,74","1,74","1,66","1,73",667770
2013-08-29,"1,75","1,77","1,72","1,75",183610
2013-08-30,"1,76","1,76","1,71","1,75",186250
2013-09-02,"1,77","1,79","1,74","1,77",289740
2013-09-03,"1,77","1,78","1,75","1,75",175300
2013-09-04,"1,75","1,75","1,64","1,67",221800
2013-09-05,"1,68","1,68","1,52","1,62",242970
2013-09-06,"1,63","1,68","1,59","1,66",152860
2013-09-09,"1,69","1,69","1,64","1,65",40780
2013-09-10,"1,67","1,68","1,63","1,65",67950
2013-09-11,"1,64","1,64","1,59","1,59",339650
2013-09-12,"1,58","1,63","1,56","1,61",137650
2013-09-13,"1,61","1,64","1,61","1,64",43520
2013-09-16,"1,65","1,69","1,61","1,69",498110
2013-09-17,"1,7","1,76","1,68","1,76",222810
2013-09-18,"1,76","1,76","1,72","1,74",329890
2013-09-19,"1,78","1,79","1,7","1,7",314050
2013-09-20,"1,71","1,73","1,7","1,71",48760
2013-09-23,"1,71","1,73","1,71","1,71",15620
2013-09-24,"1,73","1,73","1,67","1,71",54500
2013-09-25,"1,71","1,76","1,71","1,75",181020
2013-09-26,"1,71","1,73","1,66","1,7",175690
2013-09-27,"1,66","1,69","1,65","1,65",82450
2013-09-30,"1,65","1,66","1,52","1,65",119380
2013-10-01,"1,65","1,65","1,6","1,63",34300
2013-10-02,"1,68","1,68","1,58","1,62",91160
2013-10-03,"1,62","1,63","1,54","1,6",105700
2013-10-04,"1,59","1,61","1,57","1,61",22060
