Date,Open,High,Low,Close/Last,Volume
2013-04-15,"81,2","84,35","81,2","84,35","89,67"
2013-04-17,"83,9","84,3","81,66","82,98","623,97"
2013-04-18,"80,2","82,5","80,11","81,9","4409,41"
2013-04-19,81,"83,6","80,41",81,"77454,88"
2013-04-22,"82,89","82,89",81,"82,01","4680,26"
2013-04-23,"81,13","82,2",81,81,"385,48"
2013-04-24,"81,01","81,4","81,01","81,26","225,55"
2013-04-25,"81,79","81,8","81,26","81,26","1345,01"
2013-04-26,"81,05","81,8","81,05","81,5","354,97"
2013-04-29,"81,5","81,5",81,81,"355,9"
2013-04-30,82,"83,7",82,"83,7","330,94"
2013-05-02,"83,69","83,7",83,83,"35,13"
2013-05-06,83,"84,42","81,91","84,42","112,78"
2013-05-07,"84,42","89,9","84,2",89,"1309,88"
2013-05-08,"86,35",89,"86,35","86,45","641,54"
2013-05-09,"86,6",87,"86,45","86,45","186,73"
2013-05-10,"86,45","86,45",86,"86,41","12096,75"
2013-05-13,87,87,85,"86,01","1540,98"
2013-05-14,"85,99","85,99",85,"85,49","164,54"
2013-05-15,"85,47",86,"85,11",86,"367,91"
2013-05-16,"84,75","92,5",82,90,"13220,82"
2013-05-17,"88,1","89,5",87,"88,27","9954,91"
2013-05-20,"87,3","88,39","87,25",88,"810,7"
2013-05-21,"87,5",88,"84,6","85,35","2167,73"
2013-05-22,"85,1","85,88",84,84,"689,61"
2013-05-23,"84,01","84,88","82,1","82,1","12287,18"
2013-05-24,"82,1","83,3","82,1","83,1","666,5"
2013-05-27,"83,15",85,"83,15","84,4","237,57"
2013-05-28,"84,4","84,4","82,85","82,85","1519,72"
2013-05-29,83,"83,89","82,15","82,15","668,34"
2013-05-31,83,"83,4","82,2","83,2","229,25"
2013-06-03,"83,2","83,2","82,3","82,45","286,57"
2013-06-04,"83,01","83,5",83,83,"350,35"
2013-06-05,"83,3","83,3","81,11","82,6","7764,07"
2013-06-06,"83,3","83,3","82,1","83,1","715,49"
2013-06-07,"83,5","85,5","83,5",85,"762,63"
2013-06-10,85,"85,97","84,7","85,97","772,8"
2013-06-11,"85,98","85,98",85,"85,7","616,58"
2013-06-12,85,"85,95",85,"85,95","340,18"
2013-06-13,"85,95","85,95","85,2","85,9","417,83"
2013-06-14,"85,9","86,6","85,9","86,6","3965,69"
2013-06-17,87,"87,55","86,5","87,5","2315,63"
2013-06-18,"87,5","87,5","86,5","87,5","332,79"
2013-06-19,84,"86,8",84,"85,5","698,85"
2013-06-20,"84,01","84,7","82,1","82,1","652,63"
2013-06-21,"81,9","82,25","81,8",82,"901,29"
2013-06-24,82,"82,8","81,9","82,8","1137,02"
2013-06-25,"82,5","82,5","80,01","80,66","1696,28"
2013-06-26,81,81,"79,05","79,72","603,64"
2013-06-27,"79,8","81,5","79,73","80,72","23614,82"
2013-06-28,"80,7",81,"80,21","80,9","728,43"
2013-07-01,"81,83","82,1","81,4","82,02","2186,22"
2013-07-02,83,"84,96","82,02","84,2","2536,56"
