Date,Open,High,Low,Close/Last,Volume
2013-04-15,"17,59","17,69",17,"17,06","525218,5"
2013-04-17,"17,1","17,4","16,31","16,5","163212,48"
2013-04-18,"17,4","17,4","16,64",17,"177769,89"
2013-04-19,"16,72","17,39","16,5","16,5","206377,97"
2013-04-22,"16,57","16,74","16,24","16,24","134892,95"
2013-04-23,"16,24","16,6","16,06","16,6","305193,67"
2013-04-24,"16,58","16,85","16,43","16,67","445060,79"
2013-04-25,"16,7","16,85","16,6","16,6","225719,53"
2013-04-26,"16,8","16,8","16,51","16,65","77678,54"
2013-04-29,"16,95","16,98","16,65","16,7","31599,27"
2013-04-30,"16,79","16,83","16,57","16,72","435642,06"
2013-05-02,"16,87","16,87","16,51","16,51","155584,06"
2013-05-06,"16,55","16,9","16,55","16,58","114893,33"
2013-05-07,"16,7","16,96","16,65","16,91","92091,68"
2013-05-08,"16,97","16,99","16,71","16,85","314980,13"
2013-05-09,"16,95","17,1","16,81","17,1","222604,29"
2013-05-10,"17,11","17,78","16,93","17,75","618500,49"
2013-05-13,"17,5","17,98","17,5","17,98","66568,91"
2013-05-14,"17,85","18,6","17,75","18,35","448027,35"
2013-05-15,"18,45","19,48","18,05","19,2","516438,48"
2013-05-16,19,"19,4","18,02","18,39","341748,64"
2013-05-17,"18,5","19,2","18,5","19,13","176520,63"
2013-05-20,"19,11","19,11","18,81",19,"205760,38"
2013-05-21,19,19,"18,11","18,36","420874,39"
2013-05-22,"18,6","18,95","18,13","18,23","794610,27"
2013-05-23,"18,09","18,48","17,74","17,92","620283,77"
2013-05-24,"17,81","18,24","17,81","18,15","113775,16"
2013-05-27,"18,5","19,15","18,24","19,15","152277,04"
2013-05-28,"19,41","19,41","18,33","18,49","307665,8"
2013-05-29,"18,7","18,8","18,11","18,41","1063869,2"
2013-05-31,"18,42","18,7","17,94","18,14","1376494,21"
2013-06-03,"18,39","18,68","18,19","18,21","171000,12"
2013-06-04,"18,45","18,47","18,16","18,35","209022,54"
2013-06-05,"18,39","18,8","18,39","18,66","386459,88"
2013-06-06,"18,5","19,19","18,46","18,67","589983,02"
2013-06-07,"18,74","19,07","18,74",19,"129573,03"
2013-06-10,19,"19,2","18,83","18,89","93128,91"
2013-06-11,"18,76","19,68","18,68","19,4","360213,07"
2013-06-12,"19,4","19,67","19,39","19,53","210506,69"
2013-06-13,"19,49","19,65",19,"19,05","170003,35"
2013-06-14,"18,8","19,45","18,8","19,45","186843,75"
2013-06-17,"19,5","19,79","19,3","19,64","108511,54"
2013-06-18,"19,65","20,29","19,5","20,12","115711,51"
2013-06-19,"20,12","20,39","19,7","19,86","90640,95"
2013-06-20,"19,7","20,14","19,41","19,7","243539,1"
2013-06-21,"19,65","19,75","18,81",19,"570215,66"
2013-06-24,"19,05","19,35","18,71",19,"213502,28"
2013-06-25,19,"19,3","18,92",19,"236336,49"
2013-06-26,"18,9",19,"18,35","18,8","361235,35"
2013-06-27,"18,46","19,28","18,32","18,59","162401,34"
2013-06-28,"18,5","19,25","18,15","18,55","921734,93"
2013-07-01,"18,63","20,49","18,63","19,6","157832,73"
2013-07-02,"19,41",20,"19,41",20,"138701,44"
2013-07-03,"19,8","20,6","19,8","19,9","541045,41"
2013-07-04,"20,36","20,4","19,9",20,"75631,34"
2013-07-05,"20,09","20,2","19,95","20,1","160962,05"
2013-07-08,"20,1","20,3","19,55","19,55","183802,41"
2013-07-09,"19,77","19,77",19,19,"184266,93"
2013-07-10,"19,19","20,4","19,13","20,4","146014,9"
2013-07-11,"20,3","21,12","20,21","21,12","127244,31"
2013-07-12,"20,85","21,5","20,85","21,25","467347,79"
2013-07-15,"21,1","21,2","20,81","21,2","84026,02"
2013-07-16,"21,19","21,19","20,81","20,9","477020,77"
2013-07-17,"20,75","21,7","20,7","21,6","340095,56"
2013-07-18,"21,68","22,1","21,41",22,"345100,53"
2013-07-19,22,"22,15","21,7","21,9","467887,96"
2013-07-22,"21,74","21,87","21,18","21,6","69844,27"
2013-07-23,"21,59","22,32","21,59","22,32","188669,25"
2013-07-24,"22,4","22,4","21,92","22,4","347391,43"
2013-07-25,"22,35","22,35","21,7","21,9","81537,18"
2013-07-26,"21,53","21,9","21,17","21,28","79911,38"
2013-07-29,"21,2","21,98","21,07","21,46","86528,06"
2013-07-30,"21,41","21,71","21,2","21,4","82481,16"
2013-07-31,"21,1","21,55","21,06","21,2","217385,55"
2013-08-01,"21,2","21,47","21,11","21,2","159725,1"
2013-08-02,"21,35","22,25","21,35","22,14","245083,96"
2013-08-05,22,"22,48",22,"22,3","38799,24"
2013-08-06,"22,3","22,4","22,03","22,3","66526,69"
2013-08-07,"22,3","22,3",22,"22,1","277075,61"
2013-08-08,22,"22,1","21,53","21,98","117776,31"
2013-08-09,22,"22,24","21,45","21,45","537271,23"
2013-08-12,"21,55",22,"21,55","21,67","81022,52"
2013-08-13,"21,77","21,97","21,71","21,8","230263,5"
2013-08-14,"21,85","22,22","21,62","21,95","584261,05"
2013-08-16,"21,9","21,9","21,45","21,65","125250,77"
2013-08-19,"21,7","21,7","20,2","20,6","348304,62"
2013-08-20,"20,59","20,8",20,"20,35","143043,94"
2013-08-21,"20,2","21,02","20,2","20,9","589802,67"
2013-08-22,"20,8","21,15","20,66","21,1","123190,36"
2013-08-23,"21,15","21,42","20,91","21,42","69021,69"
2013-08-26,"21,14","21,5","21,1","21,1","150784,08"
2013-08-27,"21,22","21,4","20,61","21,4","78465,93"
2013-08-28,"20,7","21,2","20,61","20,8","206454,51"
2013-08-29,"20,79",21,"20,02","20,4","135489,43"
2013-08-30,"20,45","20,6","20,02","20,12","432832,98"
2013-09-02,"20,4","20,51","20,02","20,2","76211,1"
2013-09-03,"20,55","20,88","20,21","20,31","105585,46"
2013-09-04,"20,51","20,65","20,1","20,1","219262,08"
2013-09-05,"20,21","20,21","19,04","19,63","639553,19"
2013-09-06,"19,72","20,1","19,72","20,06","1036139,12"
2013-09-09,"20,28",21,"20,16","20,98","314726,76"
2013-09-10,21,"21,45",21,"21,3","273011,11"
2013-09-11,"21,3","21,43","20,61","21,3","172037,36"
2013-09-12,"21,23",22,"21,2",22,"374503,04"
2013-09-13,"21,95",22,"21,69","21,88","107829,73"
2013-09-16,"21,93","21,93","20,8","21,05","161339,46"
2013-09-17,"21,05","21,41","20,8","21,06","233286,36"
2013-09-18,21,"21,29","20,8","21,29","156853,56"
2013-09-19,"21,58","21,96","21,3","21,96","117471,04"
2013-09-20,"21,72","21,75","21,33","21,59","118025,28"
2013-09-23,"21,6","21,72","21,01","21,34","227362,92"
2013-09-24,"21,15","21,65","21,01","21,1","266190,32"
2013-09-25,"21,2","21,43",21,"21,16","179144,08"
2013-09-26,"21,4","21,7","21,12","21,7","490789,03"
2013-09-27,"21,71","21,85","21,3","21,85","132396,19"
2013-09-30,"21,49","21,79","21,12","21,26","293991,66"
2013-10-01,"21,16","21,58","21,12","21,16","133583,87"
2013-10-02,"21,2","21,44","21,15","21,4","69213,48"
2013-10-03,"21,21","21,58","21,21","21,42","92298,42"
2013-10-04,"21,5","21,57","21,15","21,25","120033,78"
2013-10-07,"21,45","21,58","21,17","21,39","117467,52"
2013-10-08,"21,33","21,38","21,25","21,25","43020,34"
2013-10-09,"21,2","21,39","21,11","21,11","107242,05"
2013-10-10,"21,28","21,84","21,28","21,84","159752,37"
2013-10-11,"21,82","22,46","21,61","22,15","160397,24"
2013-10-14,"22,15","22,8","22,15","22,7","32542,38"
2013-10-15,"22,8","23,56","22,79","23,16","410184,4"
2013-10-16,"23,27","24,2","22,99","24,2","207873,57"
2013-10-17,"23,95","24,7","23,9","24,5","184136,72"
2013-10-18,"24,4","24,49","23,43","23,8","443380,45"
2013-10-21,"23,68","24,3","23,68",24,"753433,91"
2013-10-22,24,24,"23,41","23,5","195682,71"
2013-10-23,"23,51","23,8","22,76","23,17","297486,08"
2013-10-24,"23,2","24,2","23,1","24,2","70897,34"
2013-10-25,"23,8","24,2","23,5","23,5","119957,24"
2013-10-28,"23,5","24,4",23,23,"132116,42"
2013-10-29,23,"23,5","22,25","22,65","493047,38"
2013-10-30,"22,55","22,65","22,4","22,5","206768,59"
2013-10-31,"22,5","22,89","22,37","22,4","242511,54"
2013-11-04,"22,99",23,"21,87","22,4","103604,23"
2013-11-05,"22,79","22,79","22,2","22,32","98516,57"
2013-11-06,"22,57","22,9","22,44","22,48","210973,85"
2013-11-07,"22,68","22,8","22,32","22,4","158838,3"
2013-11-08,"22,3","22,46","21,85","22,18","419080,55"
2013-11-12,"22,15","22,75",22,"22,7","250218,25"
2013-11-13,"22,87","22,9","22,31","22,37","243613,88"
2013-11-14,"22,3","22,35","20,13","20,4","5497784,5"
2013-11-15,"20,7","20,9","20,4","20,4","1626981,67"
2013-11-18,"20,7","20,76",20,"20,35","686382,01"
2013-11-19,"20,34","20,5","19,5","19,7","1090035,07"
2013-11-20,"19,6",20,"19,5","19,9","497727,71"
2013-11-21,"19,9","20,2","19,65","19,82","485056,51"
2013-11-22,"19,82","20,1","19,7","20,08","760316,29"
2013-11-25,"20,08","20,54","19,92",20,"2222016,28"
2013-11-26,"20,2","20,2","19,35","19,35","1206871,79"
2013-11-27,"19,31","19,9","19,15","19,76","858872,45"
2013-11-28,"19,88","20,11","19,71","19,9","806200,25"
2013-11-29,20,"20,1","19,83","19,95",590949
2013-12-02,20,20,"19,7","19,8","605951,57"
2013-12-03,"19,91","19,91","19,33","19,55","259765,42"
2013-12-04,"19,59","19,88","19,17","19,25","630763,49"
2013-12-05,"19,28","19,58","19,2","19,3","119767,21"
2013-12-06,"19,4","19,94","19,25","19,31","282547,73"
2013-12-09,"19,4","19,96","19,4","19,81","438558,47"
2013-12-10,"19,83","20,1","19,75","19,75","2475909,29"
2013-12-11,"19,98",20,"19,78","19,93","477897,01"
2013-12-12,"19,9","19,9","19,6","19,6","484958,85"
2013-12-13,"19,81","19,83","19,6","19,8","440797,47"
2013-12-16,"19,85","19,99","19,32","19,6","212342,76"
2013-12-17,"19,63","19,92","19,3","19,4","1145130,13"
2013-12-18,"19,4","19,6","18,7",19,"665646,03"
2013-12-19,"19,45","19,45","18,72","18,9","401837,23"
2013-12-20,"18,83","19,39","18,83","19,39","444357,86"
2013-12-23,"19,3",20,"19,3","19,84","223907,22"
2013-12-27,"19,89","19,97","19,75","19,89","76087,05"
2013-12-30,"19,75",20,"19,1","19,8","506052,02"
2014-01-02,"19,92","19,94","19,6","19,8","353427,47"
2014-01-03,"19,61","19,9","19,6","19,78","202342,51"
2014-01-07,"19,51","19,51","19,25","19,33","539261,25"
2014-01-08,"19,4","19,4","18,72","18,83","233335,63"
2014-01-09,"18,9","19,02","18,53","18,73","876431,61"
2014-01-10,"18,55","19,01","18,43",19,"245675,16"
2014-01-13,"19,32","19,45","18,91","19,2","415481,45"
2014-01-14,"19,16","19,33","18,85",19,"404579,44"
2014-01-15,"19,1","19,1","18,56",19,"363505,14"
2014-01-16,19,"19,52","18,9","19,48","1464143,97"
2014-01-17,"19,38","19,85","19,25","19,4","326315,86"
2014-01-20,"19,5","19,5","19,1","19,1","168686,35"
2014-01-21,"19,35","19,59","19,15","19,4","395085,06"
2014-01-22,"19,42","19,82","19,42","19,82","1066348,37"
2014-01-23,"19,87","20,5","19,62","20,25","4486933,25"
2014-01-24,"20,45","20,45","19,65","19,9","665307,32"
2014-01-27,"19,9","19,9","19,35","19,6","547784,38"
2014-01-28,"19,6","19,7","19,34","19,51","1605437,19"
2014-01-29,"19,45","19,74","19,37","19,55","908376,63"
2014-01-30,"19,35","19,55","19,2","19,35","499644,71"
2014-01-31,"19,4","19,77","19,3","19,7","767575,2"
2014-02-03,"19,71","20,09","19,71","19,76","282961,21"
2014-02-04,"19,7","19,88","19,51","19,77","782761,64"
2014-02-05,19,"20,08","18,91","19,85","1422991,37"
2014-02-06,"19,82","20,2","19,82","20,12","761058,81"
2014-02-07,"20,12","20,12","19,91","19,98","418210,47"
2014-02-10,20,20,"19,8","19,8","163287,25"
2014-02-11,"19,8","20,35","19,8","20,32","2490047,94"
2014-02-12,"20,35","20,9","20,35","20,8","1656919,95"
2014-02-13,"20,8","20,89","20,6","20,79","542195,26"
2014-02-14,"20,79","21,09","20,61","20,95","344692,32"
2014-02-17,"21,12","21,15","20,73","20,75","171981,94"
2014-02-18,"20,75",21,"20,75","20,78","371558,48"
2014-02-19,"20,77","20,77","20,25","20,56","231992,23"
2014-02-20,"20,33","20,7","20,22","20,49","656655,75"
2014-02-21,"20,55","20,64","20,29","20,44","541358,6"
2014-02-24,"20,44","20,5","20,18","20,39","254209,73"
2014-02-25,"20,28","20,39","20,26","20,39","92631,85"
2014-02-26,"20,22","20,36","19,79","19,79","446844,95"
2014-02-27,"20,02","20,38","19,81","19,95","726761,3"
2014-02-28,20,"20,25","19,98","20,25","389398,28"
2014-03-03,"19,62","19,94","18,96","19,5","285337,45"
2014-03-04,"19,5","20,5","19,49","20,5","270370,07"
2014-03-05,"20,39","20,92","20,3","20,92","478543,63"
2014-03-06,"20,9","21,8","20,9","21,8","993537,55"
2014-03-07,"21,6","21,6","20,7","20,9","325081,55"
2014-03-10,"20,9","20,9","20,01","20,49","165980,2"
2014-03-11,"20,48","21,19","20,26","21,19","411346,57"
2014-03-12,"20,9","21,37","20,35","20,72","312221,2"
2014-03-13,"20,72","20,79","20,3","20,5","476448,04"
2014-03-14,"20,1","20,18","19,54","20,15","1106095,99"
2014-03-17,"20,11","20,84","20,11","20,7","410743,93"
2014-03-18,"20,78","20,78","20,23","20,6","420652,69"
2014-03-19,"20,5","20,72","20,42","20,55","569924,46"
2014-03-20,"20,55","20,99","20,55","20,88","569386,05"
2014-03-21,"20,88","22,5","20,45","20,98","4590814,61"
2014-03-24,"21,19","21,19","20,61","20,9","240016,53"
2014-03-25,"20,75","21,2","20,62","20,62","307622,69"
2014-03-26,"20,62","20,94","20,61","20,85","225046,51"
2014-03-27,"20,85","20,99","20,67","20,83","204108,19"
2014-03-28,"21,1","21,4","20,95","21,18","376873,99"
2014-03-31,"21,6","21,61","20,9","21,38","474026,06"
2014-04-01,"21,3","21,6","21,19","21,57","208799,08"
2014-04-02,"21,7","21,7","21,2","21,5","172720,94"
2014-04-03,"21,24","21,49","20,5","20,59","347784,68"
2014-04-04,"20,59","20,8","20,56","20,62","335721,39"
2014-04-07,"20,62",21,"20,6","20,9","158308,68"
2014-04-08,21,21,"20,85","20,88","51596,25"
2014-04-09,"20,95","21,18","20,7","20,73","218937,45"
2014-04-10,"20,82","21,09","20,4","20,4","225240,94"
2014-04-11,"20,4","20,63","20,22","20,63","150499,04"
2014-04-14,"20,44","20,45","20,31","20,39","208340,72"
2014-04-15,"20,4","20,78","20,31","20,45","206297,04"
2014-04-16,"20,56","20,64",20,20,"256969,54"
2014-04-17,20,"20,22",20,"20,16","126260,73"
2014-04-22,"20,12","20,47","20,12","20,47","174894,83"
2014-04-23,"20,54","20,54","20,2","20,2","369432,09"
2014-04-24,"20,19","20,3","19,81","19,85","208642,48"
2014-04-25,"19,8","20,11","19,8","20,1","339144,54"
2014-04-28,"20,1","20,2","19,83","20,05","91181,12"
2014-04-29,"20,15","20,15","19,8","19,81","285649,76"
2014-04-30,"20,1","20,65",20,"20,55","279361,23"
2014-05-02,"20,6","20,8","20,55","20,8","101098,67"
2014-05-05,"20,8","20,8","20,1","20,5","123718,22"
2014-05-06,"20,7","20,74","20,58","20,73","202236,94"
2014-05-07,"20,63","20,63","20,35","20,46","317675,72"
2014-05-08,"20,59","20,82","20,59","20,62","158391,38"
2014-05-09,"20,8","20,8","20,57","20,6","225481,99"
2014-05-12,"20,75","20,75","20,42","20,67","106264,63"
2014-05-13,"20,7","20,81","20,57","20,81","131139,01"
2014-05-14,"20,8","20,91","20,6","20,91","205360,09"
2014-05-15,"20,95","21,4","20,86","21,35","646587,76"
2014-05-16,"21,39","21,39","20,99","21,15","160073,49"
2014-05-19,"21,39","21,39",21,21,"203118,46"
2014-05-20,"20,7","20,98","20,46","20,68","137924,63"
2014-05-21,"20,84","20,92","20,45","20,75","280996,25"
2014-05-22,"20,92","21,5","20,79","21,48","472752,23"
2014-05-23,"21,22","21,54","21,22","21,51","249352,7"
2014-05-26,"21,55","21,89","21,55","21,65","53857,18"
2014-05-27,"21,7","21,87","21,54","21,64","129777,46"
2014-05-28,"21,64","21,7","21,39","21,45","88850,99"
2014-05-29,"21,45","21,93","21,45","21,93","145716,37"
2014-05-30,"21,99","22,33","21,78","21,78","416701,92"
2014-06-02,22,"22,44","21,93","22,42","242943,47"
2014-06-03,"22,48","22,48",22,"22,08","544139,28"
2014-06-04,"22,1","22,24","21,42","21,8","220565,03"
2014-06-05,"22,13","22,15","21,81","22,1","184812,27"
2014-06-06,"22,3","22,45","22,06","22,43","143630,14"
2014-06-09,"22,18","22,52","22,18","22,5","121102,06"
2014-06-10,"22,32","22,77","22,32","22,77","238567,91"
2014-06-11,"22,77","22,8","22,5","22,78","270010,13"
2014-06-12,"22,62","22,98","22,53","22,98","119237,63"
2014-06-13,"22,8","22,98","21,53","22,6","211175,21"
2014-06-16,"22,36","22,36","21,92","22,05","296828,27"
2014-06-17,22,"22,29","21,94",22,"447751,31"
2014-06-18,22,"22,29",22,"22,2","306622,51"
2014-06-20,"22,2","23,41","22,2","22,89","1486660,49"
2014-06-23,"22,8","22,86","22,39","22,59","167915,76"
2014-06-24,"22,43","22,62","21,88","21,88","82703,65"
2014-06-25,"21,89","22,68","21,88","21,99","386314,39"
2014-06-26,"22,25","22,5","22,1","22,2","311259,96"
2014-06-27,"22,17","22,68",22,"22,48","388117,35"
2014-06-30,"22,17","22,5","22,17","22,35","235536,55"
