Date,Open,High,Low,Close/Last,Volume
2013-04-15,33,"33,3","31,5","31,99","1329,49"
2013-04-17,32,32,"31,75",32,"108159,73"
2013-04-18,32,32,"31,5","31,95","4452,16"
2013-04-19,"31,99",32,"31,5","31,98","510,36"
2013-04-22,32,32,"31,55","31,99","5161,01"
2013-04-23,"32,3","35,5","31,9","33,5","7427,61"
2013-04-24,35,35,"32,9","33,5","7257,84"
2013-04-25,"34,15","34,15","32,8","33,5","2647,7"
2013-04-26,"33,5","33,5","32,77","33,5","880,17"
2013-04-29,"33,5","33,5","32,77","33,5","3820,75"
2013-04-30,"33,5","33,5","32,8",33,"2820,55"
2013-05-02,33,33,"32,61","32,9","540,62"
2013-05-06,"32,9","34,1","32,9","34,1","365,2"
2013-05-07,"33,89","33,89","33,31","33,7","2432,27"
2013-05-08,"33,7","34,01","33,7","33,98","2333,28"
2013-05-09,"33,6","34,1","33,31","34,01","56812,71"
2013-05-10,"33,9","35,8","33,9","35,48","28708,72"
2013-05-13,"35,48","35,48",35,"35,4","974,04"
2013-05-14,"35,51","35,51","35,2","35,4","430,85"
2013-05-15,"35,51",39,"35,4","36,66","3045,73"
2013-05-16,"37,34","37,45",37,"37,3","4517,3"
2013-05-17,"37,29","38,47","37,19","38,33","3177,55"
2013-05-20,"38,35","38,35","37,6","38,1","2078,36"
2013-05-21,"38,4",40,"38,1",40,"36416,9"
2013-05-22,"40,9",42,"39,7","41,8","30268,52"
2013-05-23,41,"41,9",41,"41,9","5298,99"
2013-05-24,"41,9","42,4","41,2","41,9","147851,13"
2013-05-27,"41,9","42,8","41,9","42,8","54795,9"
2013-05-28,"43,88","43,9","43,65","43,85","13098,47"
2013-05-29,"43,85","43,85","43,11","43,51","77394,71"
2013-05-31,"43,51","43,51",43,"43,3","1530,04"
2013-06-03,"43,69","44,4","43,1","43,1","106757,4"
2013-06-04,"43,51","43,9",43,"43,3","22828,59"
2013-06-05,"43,3","43,7","43,2","43,25","6866,48"
2013-06-06,"43,26","43,3","43,25","43,3","3982,83"
2013-06-07,"43,35","43,63","42,66","43,23","10132,76"
2013-06-10,"39,11","42,1","39,1","40,4","2841,92"
2013-06-11,"39,5","41,7","39,2","40,5","4343,89"
2013-06-12,"40,55","41,9","40,55","41,89","2008,8"
2013-06-13,"41,89","41,89","40,61","41,8","2246,51"
2013-06-14,"41,8","41,8","41,3","41,8","7251,41"
