Date,Open,High,Low,Close/Last,Volume
2013-04-15,"1,24","1,24","1,19","1,22","54122,11"
2013-04-17,"1,19","1,21","1,17","1,21","29349,87"
2013-04-18,"1,17","1,21","1,17","1,18","122673,45"
2013-04-19,"1,17","1,22","1,14","1,22","75248,83"
2013-04-22,"1,22","1,29","1,19","1,25","147096,24"
2013-04-23,"1,25","1,25","1,2","1,23",23941
2013-04-24,"1,23","1,25","1,18","1,18","38643,88"
2013-04-25,"1,18","1,2","1,17","1,19","46435,99"
2013-04-26,"1,21","1,22","1,19","1,19","35039,46"
2013-04-29,"1,21","1,22","1,2","1,22","50268,45"
2013-04-30,"1,2","1,21","1,19","1,21","4154,94"
2013-05-02,"1,18","1,18","1,17","1,17","102825,08"
2013-05-06,"1,15","1,17","1,14","1,14","54060,45"
2013-05-07,"1,12","1,14","1,1","1,11","121585,9"
2013-05-08,"1,1","1,13","1,08","1,08","218596,12"
2013-05-09,"1,08","1,1","1,06","1,09","568438,3"
2013-05-10,"1,1","1,18","1,1","1,17","181790,1"
2013-05-13,"1,17","1,18","1,16","1,18","265582,63"
2013-05-14,"1,18","1,23","1,18","1,2","171635,3"
2013-05-15,"1,23","1,29","1,22","1,26","542211,7"
2013-05-16,"1,26","1,26","1,23","1,25","115433,14"
2013-05-17,"1,25","1,26","1,24","1,25","100269,03"
2013-05-20,"1,24","1,29","1,24","1,29","686195,59"
2013-05-21,"1,29","1,35","1,29","1,31","1292172,22"
2013-05-22,"1,31","1,32","1,29","1,31","35787,2"
2013-05-23,"1,29","1,3","1,25","1,29","122740,26"
2013-05-24,"1,3","1,33","1,28","1,31","115457,56"
2013-05-27,"1,32","1,4","1,32","1,39","971098,55"
2013-05-28,"1,39","1,4","1,38","1,39","208857,58"
2013-05-29,"1,39","1,39","1,35","1,38","229609,14"
2013-05-31,"1,4","1,4","1,33","1,39","168878,83"
2013-06-03,"1,39","1,4","1,38","1,4","54826,81"
2013-06-04,"1,4","1,47","1,39","1,47","200042,79"
2013-06-05,"1,43","1,47","1,4","1,4","174458,57"
2013-06-06,"1,4","1,43","1,39","1,42","67271,07"
2013-06-07,"1,39","1,42","1,39","1,41","32111,48"
2013-06-10,"1,42","1,44","1,41","1,44","121606,45"
2013-06-11,"1,44","1,55","1,43","1,48","571366,28"
2013-06-12,"1,47","1,58","1,47","1,56","179896,35"
