Date,Open,High,Low,Close/Last,Volume
2013-04-15,"8,8","8,8","8,8","8,8",450
2013-04-17,"8,78","8,8","8,49","8,8",36080
2013-04-18,"8,71","8,8","8,56","8,56",134320
2013-04-19,"8,51","8,8","8,51","8,8",7310
2013-04-22,"8,89","8,89","8,69","8,69",1160
2013-04-23,"8,8","8,8","8,51","8,7",8310
2013-04-24,"8,79","8,79","8,56","8,7",4790
2013-04-25,"8,8","8,81","8,62","8,65",9100
2013-04-26,"8,56","8,78","8,56","8,74",10920
2013-04-29,"8,77","8,77","8,6","8,75",4000
2013-04-30,"8,5","8,5","7,7","8,1",158410
2013-05-02,"7,71","8,1","7,71","7,99",15290
2013-05-06,"8,15","8,15","7,9","7,95",12940
2013-05-07,"7,99","7,99","7,85","7,9",161690
2013-05-08,"8,14","8,15","7,82","7,85",599960
2013-05-09,8,8,"7,81",8,627900
2013-05-10,"8,05","8,1","7,9","7,95",132360
2013-05-13,8,"8,1","7,9","7,9",175500
2013-05-14,"7,99","8,09","7,99",8,25160
2013-05-15,"8,08","8,15","8,02","8,15",5100
2013-05-16,"8,19","8,19",8,"8,16",36040
2013-05-17,"8,15","8,15",8,"8,09",6830
2013-05-20,"8,01","8,09","7,85",8,20670
2013-05-21,"8,09","8,09","7,85","7,85",164320
2013-05-22,"7,92","7,99","7,9","7,9",103090
2013-05-23,"7,8","7,99","7,8","7,99",136990
2013-05-24,"7,99","7,99","7,91","7,99",12930
2013-05-27,"7,83","8,07","7,83","8,07",31170
2013-05-28,"8,07","8,07",8,"8,05",7260
2013-05-29,8,"8,09",8,"8,09",11730
2013-05-31,"8,01","8,09",8,"8,09",12500
2013-06-03,"8,09","8,09","7,96","8,09",10250
2013-06-04,"8,09","8,18",8,"8,18",6730
2013-06-05,"8,2","8,2","8,01","8,19",425140
2013-06-06,"8,2","8,2","8,08","8,09",687170
2013-06-07,"8,09","8,3",8,"8,3",43460
2013-06-10,"8,3","8,39","8,25","8,39",7580
2013-06-11,"8,39","8,49","8,37","8,39",172460
2013-06-12,"8,37","8,46","8,35","8,46",46180
2013-06-13,"8,4","8,48","8,4","8,48",1070
2013-06-14,"8,31","8,47","8,11","8,47",64030
2013-06-17,"8,38","8,43","8,38","8,41",40090
2013-06-18,"8,4","8,49","8,36","8,37",45010
2013-06-19,"8,38","8,45","8,38","8,45",11110
2013-06-20,"8,37","8,44","8,37","8,4",83490
2013-06-21,"8,32","8,4","8,01","8,02",346940
2013-06-24,"8,02","8,15","8,02","8,15",120930
2013-06-25,"8,09","8,15","8,09","8,1",209480
2013-06-26,"8,02","8,2",8,"8,1",2380
2013-06-27,"8,1","8,1","7,76","7,8",217560
2013-06-28,8,"8,01",8,8,158700
2013-07-01,8,"8,1",8,"8,05",55480
2013-07-02,"8,1","8,3","8,07","8,3",2320
2013-07-03,"8,23","8,66","8,23","8,66",8380
2013-07-04,"8,6","8,6","8,25","8,31",245350
2013-07-05,"8,4","8,58","8,31","8,55",86070
2013-07-08,"8,4","8,59","8,36","8,57",104280
2013-07-09,"8,5","8,6","8,46","8,6",18320
2013-07-10,"8,7","8,95","8,7","8,9",32830
2013-07-11,"8,85",9,"8,85","8,86",54570
2013-07-12,"8,9","8,9","8,9","8,9",10180
2013-07-15,"8,95","8,96","8,92","8,96",3720
2013-07-16,"8,91","8,95","8,91","8,95",1790
2013-07-17,"8,9","8,99","8,9","8,9",27290
2013-07-18,"8,91","8,94","8,73","8,94",43450
2013-07-19,"8,84","8,9","8,8","8,9",144420
2013-07-22,"8,81","8,9","8,81","8,9",3940
2013-07-23,"8,8","8,9","8,8","8,9",58730
2013-07-24,"8,8","8,89","8,8","8,89",4880
2013-07-25,"8,8","8,8","8,8","8,8",300
2013-07-26,"8,8","8,89","8,8","8,88",193930
2013-07-29,"8,88","8,9","8,78","8,89",186900
2013-07-30,"8,8","8,88","8,8","8,88",327210
2013-07-31,"8,8","8,88","8,8","8,8",35540
2013-08-01,"8,88","8,89","8,82","8,88",17350
2013-08-02,"8,81","8,9","8,81","8,82",110960
2013-08-05,"8,91","8,91","8,8","8,86",65600
2013-08-06,"8,86","8,89","8,8","8,8",3550
2013-08-07,"8,9","8,9","8,8","8,9",310
2013-08-08,"8,84","8,95","8,8","8,9",11080
2013-08-09,"8,97","9,25","8,97","9,25",10290
2013-08-12,"9,25","9,25","9,01","9,24",24790
2013-08-13,"9,22","9,39","9,22","9,38",4550
2013-08-14,"9,4","9,9","9,4","9,55",18340
2013-08-16,"9,5","9,5","9,5","9,5",1950
