Date,Open,High,Low,Close/Last,Volume
2013-04-15,"13,52","13,56","13,11","13,11","90201,71"
2013-04-17,"13,33","13,33","12,14","12,5","668865,37"
2013-04-18,"12,75","12,75","12,2","12,27","600515,57"
2013-04-19,"12,21","12,32",12,"12,31","298137,22"
2013-04-22,"12,3","12,68","12,25","12,68","213624,62"
2013-04-23,"12,67","12,94","12,6","12,75","239360,15"
2013-04-24,"12,75","12,82","12,49","12,65","285690,89"
2013-04-25,"12,65",13,"12,65",13,"133889,45"
2013-04-26,13,13,"12,66","12,79","455215,72"
2013-04-29,"12,88","12,95","12,67","12,75","85514,56"
2013-04-30,"12,75",13,"12,62",13,"216628,72"
2013-05-02,"12,77","13,28","12,77","13,28","122925,95"
2013-05-06,"13,38","13,73","13,18","13,7","201425,88"
2013-05-07,"13,74","13,74","13,41","13,5","151596,76"
2013-05-08,"13,58","13,6","13,34","13,57","205973,59"
2013-05-09,"13,5","13,98","13,5","13,85","275317,31"
2013-05-10,"13,94",14,"13,65",14,"144356,88"
2013-05-13,"14,02","14,03","13,81","13,9","79925,55"
2013-05-14,"13,9","13,9","13,75","13,8","185488,32"
2013-05-15,"13,86","14,14","13,47","13,75","413232,48"
2013-05-16,"13,75","14,2","13,62",14,"501852,15"
2013-05-17,"13,87","14,04","13,87","13,95","57102,07"
2013-05-20,"13,9",14,"13,88","13,88","100287,48"
2013-05-21,"13,8","13,85","13,31","13,36","76204,62"
2013-05-22,"13,55","13,7","13,49","13,68","179783,11"
2013-05-23,"13,6","13,99","13,47","13,92","277672,5"
2013-05-24,"13,86","14,2","13,86","14,05","266887,77"
2013-05-27,14,"14,04","13,85","13,99","111122,27"
2013-05-28,"14,04","14,04","13,76","13,9","57392,56"
2013-05-29,"13,85","14,15","13,74","14,15","133434,5"
2013-05-31,"13,91","14,81","13,9","14,81","1254211,17"
2013-06-03,"14,75","14,75","14,12","14,35","96821,28"
2013-06-04,"14,35","14,53","14,25","14,5","280855,36"
2013-06-05,"14,5",15,"14,39",15,"134729,63"
2013-06-06,"14,74","14,8","14,51","14,61","141727,28"
2013-06-07,"14,5","14,51","14,12","14,2","85527,07"
2013-06-10,"14,22","14,38","14,06","14,06","62276,34"
2013-06-11,"14,29","14,38","13,81","14,38","181570,74"
2013-06-12,"14,2","14,59","14,2","14,5","172400,23"
2013-06-13,"14,32","14,55","14,23","14,45","70149,04"
2013-06-14,"14,58","14,58","14,3","14,4","42620,53"
2013-06-17,"14,26","14,4","14,24","14,24","31880,48"
2013-06-18,"14,24","14,3","14,2","14,25","39926,58"
2013-06-19,"14,39","14,4","14,17","14,32","118422,03"
2013-06-20,"14,21","14,21","13,81","14,13","169679,46"
2013-06-21,"13,9","13,9","13,36","13,9","440322,13"
2013-06-24,"13,54","13,67","13,47","13,54","61468,34"
2013-06-25,"13,58","13,73","13,04","13,04","86605,01"
2013-06-26,"13,05","13,62","12,84","13,2","290184,97"
2013-06-27,"13,4","13,4","12,75","13,09","169611,54"
2013-06-28,"13,08","13,24","12,98","13,24","902962,75"
2013-07-01,13,"13,58",13,"13,58","285217,17"
2013-07-02,"13,67","13,7","13,34","13,7","85087,32"
2013-07-03,"13,6",14,"13,45","13,99","216128,19"
2013-07-04,"13,78","13,85","13,51","13,51","51067,05"
2013-07-05,"13,52","13,69","13,48","13,5","15157,26"
2013-07-08,"13,59","13,59","13,19","13,19","85855,1"
2013-07-09,"13,2","13,29","13,12","13,14","27549,07"
2013-07-10,"13,14","13,48","13,14","13,48","62530,19"
2013-07-11,"13,5","13,59","13,42","13,59","88660,78"
2013-07-12,"13,59",14,"13,5","13,9","164415,81"
2013-07-15,"13,9","13,9","13,7","13,89","75346,56"
2013-07-16,"13,9","14,05","13,76","14,03","124229,13"
2013-07-17,"14,03","14,24","13,91","14,24","94008,45"
2013-07-18,"14,3","14,45","14,12","14,45","76257,35"
2013-07-19,"14,37","14,37","14,14","14,3","69595,65"
2013-07-22,"14,11","14,13","13,9","13,98","31771,97"
2013-07-23,"13,95","14,1","13,7","14,1","60535,49"
2013-07-24,"14,09","14,2","13,96","14,2","70403,21"
2013-07-25,"14,15","14,15","13,9","14,03","26824,81"
2013-07-26,"13,9","13,95","13,78","13,78","33646,51"
2013-07-29,"13,77","14,09","13,7","14,08","39456,23"
2013-07-30,"14,01","14,15","13,82","13,85","43098,08"
2013-07-31,"13,85","14,05","13,52","13,52","175308,17"
2013-08-01,"13,79","13,93","13,65","13,85","121630,13"
2013-08-02,"13,9","14,38","13,9","14,36","146236,65"
2013-08-05,"14,3","14,3","14,16","14,28","26273,91"
2013-08-06,"14,29","14,48","14,2","14,35","115301,59"
2013-08-07,"14,41","14,49","14,25","14,4","65242,48"
2013-08-08,"14,32","14,5","14,32","14,38","43158,58"
2013-08-09,"14,5","14,65","14,49","14,65","72847,92"
2013-08-12,"14,65","14,7","14,48","14,55","44071,56"
2013-08-13,"14,55","14,7","14,45","14,47","46056,1"
2013-08-14,"14,47","15,39","14,47","15,39","261963,57"
2013-08-16,"15,3","15,3","14,86","15,15","87481,3"
2013-08-19,"15,1","15,5","14,92","15,5","174448,36"
2013-08-20,"15,45","15,45","15,09","15,09","190090,05"
2013-08-21,"15,09","15,15","14,91",15,"41969,68"
2013-08-22,"14,92","15,05","14,8","15,05","145027,6"
2013-08-23,"15,04","15,04","14,8","14,8","43704,9"
2013-08-26,"14,75","14,8","14,5","14,5","43956,06"
2013-08-27,"14,5","14,5","13,85","14,18","114336,36"
2013-08-28,"14,01","14,1","13,61","13,8","102105,51"
2013-08-29,"13,85","14,11","13,61","13,76","79932,69"
2013-08-30,"13,8","14,4","13,8","14,4","230211,77"
2013-09-02,"14,2","14,4","14,1","14,13","38436,92"
2013-09-03,"14,1","14,1","13,8","13,8","80258,11"
2013-09-04,"13,81",14,"13,7",14,"121374,39"
2013-09-05,14,14,"13,2","13,62","132114,76"
2013-09-06,"13,56","13,99","13,56","13,73","271040,23"
2013-09-09,"13,9","13,9","13,67","13,9","110009,78"
2013-09-10,"13,95","14,5","13,85","14,37","158565,58"
2013-09-11,"14,37","14,37","14,22","14,3","92166,29"
2013-09-12,"14,3","14,49","14,16","14,46","139298,54"
2013-09-13,"14,46","14,46","14,31","14,33","40547,96"
2013-09-16,"14,32","14,4","13,91","14,02","80290,19"
2013-09-17,"14,02","14,39","14,02","14,3","120251,49"
2013-09-18,"14,35","14,35","14,01","14,01","75814,19"
2013-09-19,"14,25","14,29","14,03","14,2","100476,63"
2013-09-20,"14,19","14,46","14,09","14,25","82106,07"
2013-09-23,"14,4","14,4","14,17","14,36","128171,34"
2013-09-24,"14,35","14,44","14,25","14,35","87243,89"
2013-09-25,"14,35","14,5","14,25","14,5","168577,22"
2013-09-26,"14,5","14,6","14,37","14,5","108538,55"
2013-09-27,"14,6","14,67","14,39","14,67",94424
2013-09-30,"14,5","14,6","14,15","14,15","118625,36"
2013-10-01,"14,14","14,3","14,1","14,21","58786,52"
2013-10-02,"14,24","14,33","14,06","14,32","50114,11"
2013-10-03,"14,2","14,39","14,11","14,27","89057,93"
2013-10-04,"14,25","14,25","14,02","14,02","43029,33"
2013-10-07,"14,01","14,1","13,95","14,03","65059,15"
2013-10-08,"14,01","14,07","13,81","13,85","108401,06"
2013-10-09,"13,95","14,18","13,93","14,15","136412,01"
