Date,Open,High,Low,Close/Last,Volume
2013-04-15,"53,5","55,99","53,5","55,53","1267128,23"
2013-04-17,56,56,"53,45","54,45","378134,23"
2013-04-18,"54,58","54,58","51,41","52,5","324907,43"
2013-04-19,52,"52,7","50,7",52,"305611,01"
2013-04-22,"52,2","52,8","50,6","50,6","346518,52"
2013-04-23,"51,2","51,2","50,2","50,4","838784,18"
2013-04-24,51,54,"50,6","53,5","381437,32"
2013-04-25,53,54,"52,8","53,4","733411,14"
2013-04-26,53,"55,5",53,"55,5","339432,28"
2013-04-29,"55,5","57,5","55,15",57,"481762,39"
2013-04-30,57,57,"54,3","56,9","235622,28"
2013-05-02,58,"58,5","56,72","57,64","436500,33"
2013-05-06,"57,8","57,8","55,13","55,5","158978,08"
2013-05-07,"55,7","57,99","55,2","55,51","258681,65"
2013-05-08,"55,51",57,"55,51","56,99","630751,2"
2013-05-09,"57,4","58,5","56,7","57,5","164937,7"
2013-05-10,56,56,"52,1",53,"2132498,74"
2013-05-13,"52,7","54,2","50,72","54,2","534993,23"
2013-05-14,"54,01","56,76","54,01","56,06","569161,21"
2013-05-15,"57,4","57,5","55,35","57,25","417489,2"
2013-05-16,"57,6","60,69","57,5","57,5","1482565,88"
2013-05-17,57,"60,99",57,60,"487519,96"
2013-05-20,60,"63,2",60,61,"255607,28"
2013-05-21,61,"62,99",60,"60,5","280254,75"
2013-05-22,"61,44","62,2","59,17","59,17","253053,39"
2013-05-23,"58,9","61,2","58,9","60,5","393819,64"
2013-05-24,60,"62,2",60,"61,8","232173,72"
2013-05-27,"62,2","64,5","62,05","62,95","257340,86"
2013-05-28,"62,95","64,3","62,95","63,8","258983,91"
2013-05-29,"63,8",64,"62,12","63,5","216303,23"
2013-05-31,"64,5","65,64","62,55","65,64","950576,71"
2013-06-03,"65,18","67,5","62,72","64,5","296370,13"
2013-06-04,"63,5","66,09","63,5",65,"367310,91"
2013-06-05,"63,7","66,17","63,7","64,7","206102,21"
2013-06-06,"65,02","65,7",64,"64,5","346406,99"
2013-06-07,"63,53",64,"62,5","63,1","287299,97"
2013-06-10,63,"63,4",62,"62,3","426119,06"
2013-06-11,"62,5","63,74","61,8",63,"133479,2"
2013-06-12,"63,95","63,95","61,05","61,65","381741,01"
2013-06-13,"61,05","61,05","57,5",58,"1007223,58"
2013-06-14,"58,25",59,58,"58,3","914104,6"
2013-06-17,"58,2","59,45","58,02","58,65","325252,12"
2013-06-18,"59,65","59,75","56,01","57,6","685296,71"
2013-06-19,"58,2","58,2","56,57","57,15","293669,32"
2013-06-20,"56,05","56,48",52,52,"378031,37"
2013-06-21,53,"54,07","52,02","52,35","861945,81"
2013-06-24,"52,1","56,97","52,06",56,"458721,48"
2013-06-25,"55,5",56,"53,6",54,"383881,89"
2013-06-26,"53,1","56,9","53,05","56,85","781584,37"
2013-06-27,"56,5","57,4","55,5","56,6","487505,24"
2013-06-28,"56,62","58,75","56,4","58,7","625438,31"
2013-07-01,59,"60,93",58,58,"384685,94"
2013-07-02,"58,21",61,"57,6",61,"181825,07"
2013-07-03,"61,99","61,99","60,11",61,"473404,33"
2013-07-04,"61,4","61,8","60,12","60,92","637291,8"
2013-07-05,"61,2","61,2","59,22","59,8","116706,29"
2013-07-08,60,"60,49",59,59,"371398,92"
2013-07-09,"59,5","59,5","57,1","58,1","522023,96"
2013-07-10,"58,5","58,82","57,2","58,5","251242,81"
2013-07-11,60,60,"58,98","58,98","61869,77"
2013-07-12,59,"60,79","58,85",60,"526299,97"
2013-07-15,"60,3","60,59","58,7",59,"371494,82"
2013-07-16,"58,85","59,66","57,58",58,542627
2013-07-17,"56,93","57,32","55,6","56,65","491687,82"
2013-07-18,"56,86",57,"55,24","56,8","166433,24"
2013-07-19,"56,45","57,06","54,82",56,"308990,66"
2013-07-22,"55,63","57,37","55,2",57,"118594,72"
2013-07-23,"57,5","59,7","57,5","59,5","336413,02"
2013-07-24,"59,38",60,"58,15",60,"154973,17"
2013-07-25,"59,55","60,5","57,53","59,41","181639,83"
2013-07-26,"59,05",60,"58,62","59,6","149442,31"
2013-07-29,"59,98","61,84","58,75","61,84","445714,77"
2013-07-30,"61,5","61,84","59,9",61,"471463,45"
2013-07-31,"60,4","60,7","56,96","59,5","682326,37"
2013-08-01,"59,49","59,6","58,45",59,"238256,59"
2013-08-02,59,59,"57,5","58,5","362592,82"
2013-08-05,"59,19","60,48","59,15",60,"233839,61"
2013-08-06,"59,71",61,"59,71","60,8","298376,45"
2013-08-07,"60,65","61,19","60,21","61,13","613443,03"
2013-08-08,"60,6",62,"60,25",62,"538431,31"
2013-08-09,"62,25","62,4","60,5",62,"251193,63"
2013-08-12,"61,5","61,5","60,5","60,85","238821,32"
2013-08-13,"61,5","62,5","60,9","62,5","323162,06"
2013-08-14,"62,7",63,"62,1","62,9","301514,81"
2013-08-16,"62,38","63,28","61,11","61,7","152591,33"
2013-08-19,"61,8","61,8","59,35",60,"155144,48"
2013-08-20,"59,35","60,6","58,1","58,5","235540,34"
2013-08-21,"58,81","59,35",57,58,"241634,29"
2013-08-22,59,59,"57,03","57,5","311820,02"
2013-08-23,"57,55","57,92","55,65","56,2","343008,58"
2013-08-26,"56,5","56,8","54,1","54,12","237487,78"
2013-08-27,54,"54,5","50,01","51,1","430251,63"
2013-08-28,"52,24","55,89","46,5",47,"1942297,6"
2013-08-29,"48,5","49,5","45,02",49,"3459727,72"
2013-08-30,"49,5","51,9","49,22","51,9","1014322,4"
2013-09-02,52,"52,99","51,96",52,"996546,26"
2013-09-03,52,52,"48,55","51,5","452262,79"
2013-09-04,"49,65",51,47,47,"441823,17"
2013-09-05,"47,5","49,59","45,43","46,6","1064328,02"
2013-09-06,"46,4","46,97","44,65","45,49","948405,3"
2013-09-09,"45,75","45,79","43,35","44,5","876699,97"
2013-09-10,"44,56","49,01","44,56","47,75","875766,41"
2013-09-11,"47,75","50,2","47,1","49,5","987305,76"
2013-09-12,"49,45","51,5","48,02","51,23","625460,44"
2013-09-13,"51,18","52,2","50,02","50,95","166520,12"
2013-09-16,52,"52,08","49,5","50,5","340966,88"
2013-09-17,"50,1","53,49",50,"51,9","363204,26"
2013-09-18,"51,88","51,95","49,65",50,"207422,93"
2013-09-19,"51,5","51,5","49,28",51,"541130,35"
2013-09-20,"50,95","51,44","50,32",51,"1595371,19"
2013-09-23,"51,05","51,89","49,85","49,95","210518,68"
2013-09-24,"50,93","51,74","49,8","51,5","250076,48"
2013-09-25,"50,4","51,49","50,2",51,"234825,62"
2013-09-26,"50,99","50,99","48,56","48,7","332505,02"
2013-09-27,"49,68","49,89","48,5",49,"505643,65"
2013-09-30,"48,5","49,39","48,12","48,12","307081,74"
2013-10-01,48,"48,25","46,64","47,79",734036
2013-10-02,"47,2","47,95","46,02","46,02","707139,02"
2013-10-03,46,"46,02","42,97",43,"1025919,34"
2013-10-04,"43,5","44,98","41,82","44,9","1365378,11"
2013-10-07,"45,09","46,46","44,1","46,2","565284,85"
2013-10-08,"46,48","47,5","45,3",47,"587032,09"
2013-10-09,"46,94","46,94","45,5",46,"791360,92"
2013-10-10,46,"46,5","45,68","45,91","300044,4"
2013-10-11,"46,79","49,2","46,53",48,"416903,96"
2013-10-14,"47,6","49,4","47,4",49,"307153,87"
2013-10-15,"49,9","50,3","48,8","49,5","264042,15"
2013-10-16,"49,5","49,5","47,2","47,95","147159,64"
2013-10-17,"48,4","49,2","48,02","48,06","174077,93"
2013-10-18,"48,1","49,2","48,1","48,8","177501,52"
2013-10-21,"49,2",50,"48,94",50,"142419,72"
2013-10-22,50,"50,8","49,4","50,31","232811,79"
2013-10-23,"49,41","50,27","48,75",50,"146467,87"
2013-10-24,50,"50,9","49,29","50,12","217238,82"
2013-10-25,"49,98","50,5","49,96","50,3","244107,11"
2013-10-28,"50,5","50,7","49,1","49,1","263438,9"
2013-10-29,"49,16","50,23","48,46","48,88","870531,44"
2013-10-30,"48,7","49,5","47,91",49,"228808,72"
2013-10-31,"48,7","48,72","47,01","47,35","327002,85"
2013-11-04,"47,79","47,79","46,93","47,34","645400,4"
2013-11-05,"47,01","47,5","46,21","46,4","556194,33"
2013-11-06,"46,98","46,98","45,46","46,54","810435,35"
2013-11-07,"46,7","47,5","46,5","46,89","192463,05"
2013-11-08,46,"46,82","45,03","45,5","399371,25"
2013-11-12,"46,82","48,49","46,55","47,88","1442997,06"
2013-11-13,"48,25","49,16","47,55","49,16","1697754,45"
2013-11-14,"49,16","51,19","48,16",50,"937696,83"
2013-11-15,50,"52,8",50,"52,51","1208722,23"
2013-11-18,"52,9","56,09","52,67","54,48","536990,4"
2013-11-19,"54,4","54,98","53,7","54,9","231365,14"
2013-11-20,"55,09","55,09","53,56","54,5","235105,12"
2013-11-21,"53,6","54,28","53,16","53,5","190538,56"
2013-11-22,"53,5","53,89","50,53","51,89","1458776,58"
2013-11-25,"51,86","52,48","51,5",52,"288233,53"
2013-11-26,"51,6",52,51,"51,75","281415,85"
2013-11-27,"51,12","51,5","51,12","51,3","158266,45"
2013-11-28,"51,19","51,35","50,05","50,05","291926,78"
2013-11-29,"50,88","50,88",50,"50,28","410113,32"
2013-12-02,"50,45","50,45","49,1","49,83","356845,57"
2013-12-03,"49,83","50,7","49,35",50,"246816,81"
2013-12-04,50,"50,5","49,37",50,"174434,47"
2013-12-05,50,50,"48,93",49,"118622,58"
2013-12-06,"49,52","50,07","46,8","46,95","878199,08"
2013-12-09,"47,61","47,61","45,25","45,85","963752,05"
2013-12-10,"45,86","46,25","44,13","45,5","794355,03"
2013-12-11,"45,5","46,88","44,5","44,5","483389,06"
2013-12-12,"44,14","45,98","43,43","45,4","1471863,61"
2013-12-13,46,"46,4","45,6","46,4","259249,78"
2013-12-16,"46,35","46,98","45,46","45,5","338687,49"
2013-12-17,46,46,"45,03","45,5","304679,4"
2013-12-18,"45,05","46,35","44,58","46,35","352490,88"
2013-12-19,"46,35","46,35","45,41","45,95","204533,74"
2013-12-20,46,"46,37","45,42","46,37","585457,58"
2013-12-23,"46,5","47,5","46,03","46,97","192585,99"
2013-12-27,"46,97","48,05","46,93",48,"228077,61"
2013-12-30,48,"48,94","47,69","47,69","180129,26"
2014-01-02,"48,25",50,"47,5",50,"289036,77"
2014-01-03,"49,95","49,95","48,36",49,"269599,24"
2014-01-07,"48,27","48,27","45,66","46,55","553995,27"
2014-01-08,"46,74",47,"44,9","46,8","584587,95"
2014-01-09,"46,2","46,79","45,1","45,1","345517,47"
2014-01-10,"45,69","45,69","44,61","45,24","254995,9"
2014-01-13,"45,5",46,"43,07","43,2","1646312,83"
2014-01-14,43,43,"41,53","41,85","1143427,23"
2014-01-15,"42,19","42,43","39,79","41,1","2086457,4"
2014-01-16,"41,5","41,5","40,4","40,8","370984,19"
2014-01-17,"41,2","41,3","39,9","40,3","1696680,73"
2014-01-20,"40,38","40,38","39,23","40,1","543487,61"
2014-01-21,"40,5","40,74","40,21","40,6","868406,96"
2014-01-22,"41,11","41,98","40,66","41,3","1031218,25"
2014-01-23,"41,48","41,48","40,92","41,4","1005077,79"
2014-01-24,"41,4","41,4","40,2","40,6","1106805,35"
2014-01-27,40,40,39,"39,5","688099,84"
2014-01-28,"39,5","40,5","39,16","40,5","592399,03"
2014-01-29,"40,7","41,7","40,05","40,5","961585,77"
2014-01-30,"39,91","41,09","39,5","39,9","288151,57"
2014-01-31,"39,9",41,"39,65",41,"883510,28"
2014-02-03,"41,39","45,09","41,09",44,"864379,29"
2014-02-04,43,"44,29","41,51","43,55","382127,88"
2014-02-05,44,"44,64","43,5","44,58","663569,14"
2014-02-06,"44,65","44,89","44,02","44,45","426403,47"
2014-02-07,"44,45","44,63","43,07",44,"627392,31"
2014-02-10,"44,39","44,42","43,03","43,5","1025989,01"
2014-02-11,"43,5","43,5","42,15","43,25","376393,75"
2014-02-12,"43,3","43,75","42,5","42,7","973967,92"
2014-02-13,"42,83","43,5","42,8","43,49","489214,17"
2014-02-14,"43,5","43,5","42,75",43,"369117,07"
2014-02-17,"43,2","43,38","42,73",43,"107087,11"
2014-02-18,43,"43,25","42,73","43,1","490785,4"
2014-02-19,"42,42","43,39","42,31","43,1","770902,96"
2014-02-20,"43,06","43,81","42,74","43,81","472935,5"
2014-02-21,"44,1","44,9","44,05","44,55","615164,25"
2014-02-24,"44,8","45,5","44,23","44,39","415704,02"
2014-02-25,"44,62",45,"44,1",45,"440018,34"
2014-02-26,"44,5","44,5","42,6",43,"776610,04"
2014-02-27,"43,3","43,4","42,45","42,59","613752,85"
2014-02-28,40,40,"37,3","39,75","1927620,49"
2014-03-03,"39,7","39,75","37,9","38,46","712719,07"
2014-03-04,"39,1","39,5","38,6","39,4","508182,05"
2014-03-05,"39,64",40,"38,72","39,22","484341,47"
2014-03-06,"39,74","39,74","38,12","38,8","1509250,21"
2014-03-07,"38,8","39,5","38,23","39,07","582690,51"
2014-03-10,"39,2","39,2","37,05","38,25","819697,99"
2014-03-11,"38,49","39,6","37,5",39,"749775,36"
2014-03-12,"38,99","39,22","38,25",39,"802391,5"
2014-03-13,"38,1","38,6","38,1","38,35","680456,79"
2014-03-14,38,"38,99","37,2","38,5","544878,52"
2014-03-17,"38,5","40,16","37,51","39,41","377133,05"
2014-03-18,"39,51","40,47","38,61","40,2","805894,6"
2014-03-19,40,"40,07","38,82",39,"686293,38"
2014-03-20,"38,76","40,13","38,06","39,82","779191,87"
2014-03-21,"39,29","40,9","39,05","39,44","3127030,08"
2014-03-24,"39,8","39,81","38,5",39,"374948,74"
2014-03-25,"38,65","39,39","38,62","38,85","269797,59"
2014-03-26,"38,85","39,45","38,62",39,"318130,35"
2014-03-27,39,"39,3","38,79","39,2","147890,75"
2014-03-28,"39,4","39,4","38,58","38,84","461628,71"
2014-03-31,39,40,"38,6","39,99","358097,15"
2014-04-01,"39,07","40,9","39,04","40,3","601873,95"
2014-04-02,"40,15","40,19","39,3","39,5","311306,11"
2014-04-03,"39,51","39,7","38,8","38,9","765282,75"
2014-04-04,"38,9","39,15","38,02","38,7","1157242,91"
2014-04-07,"38,5","38,5","37,98","38,36","617969,02"
2014-04-08,"38,47","38,47","37,6",38,"500298,85"
2014-04-09,"38,18","38,45","37,77","38,2","683959,89"
2014-04-10,"38,4","39,2","38,29","38,8","311729,04"
2014-04-11,"38,46","38,7",38,"38,7","306735,86"
2014-04-14,"38,66","39,48","38,27","39,18","209546,59"
2014-04-15,"39,14","39,51","38,56","39,51","248015,11"
2014-04-16,"39,45","40,19","39,3","39,5","281985,49"
2014-04-17,"39,55",40,"39,14","39,95","220006,71"
2014-04-22,"39,56","40,06","39,5","40,05","256750,72"
2014-04-23,"40,1","40,35","39,92","40,13","303303,25"
2014-04-24,"40,3","40,9","39,51","39,6","309514,4"
2014-04-25,"39,23","40,75","39,23","40,27","226744,07"
2014-04-28,"40,27","40,69","39,65","40,04","144860,58"
2014-04-29,"40,5","40,9","40,06","40,4","233602,73"
2014-04-30,"40,4","40,88","39,91","39,95","159943,41"
2014-05-02,"40,2","40,2","39,85","40,13","269238,61"
2014-05-05,"40,1","40,1","39,39","40,06","42794,52"
2014-05-06,"40,18","40,39","38,82","39,1","263739,71"
2014-05-07,39,"39,6","38,6","39,6","490334,61"
2014-05-08,"39,73","40,28","39,4","40,12","151232,38"
2014-05-09,"40,07","40,11","38,99","39,29","224439,27"
2014-05-12,"39,46","39,95","39,21","39,75","803314,4"
2014-05-13,40,"40,16","39,51","40,04","780660,65"
2014-05-14,"39,4","39,55","39,03","39,4","391848,4"
2014-05-15,"39,55","39,55","39,15","39,4","602026,47"
2014-05-16,"39,49","40,48","39,16","39,8","157099,9"
2014-05-19,"39,8","40,45","39,41","40,4","123368,03"
2014-05-20,"40,2","41,5","40,2","41,5","356692,6"
2014-05-21,"41,5","41,8",41,"41,1","364405,04"
2014-05-22,"41,5","43,1","41,26","43,1","583334,01"
2014-05-23,43,"43,35","42,21","42,91","545822,85"
2014-05-26,43,"44,8",43,"44,56","283875,98"
2014-05-27,"44,13","44,15","42,25","42,72","216185,64"
2014-05-28,"42,42","43,44","42,4",43,"126638,12"
2014-05-29,"43,35","44,5","43,32","44,5","344980,97"
2014-05-30,"44,49","44,5","43,07","43,5","365881,64"
2014-06-02,"43,49","43,49","42,64","43,33","189784,94"
2014-06-03,"42,56","43,28","42,01","42,32","412261,6"
2014-06-04,"42,32","42,6","42,06","42,16","148238,62"
2014-06-05,"42,3","43,2","41,81","42,95","426778,44"
2014-06-06,"43,22","43,22","42,55","42,9","71628,49"
2014-06-09,"43,1","43,67","42,67","43,25","117846,24"
2014-06-10,"43,39","43,79","42,67","43,48","202512,46"
2014-06-11,"43,6","43,85","42,2","42,52","197882,83"
2014-06-12,"42,91","43,06","41,86","42,45","185057,47"
2014-06-13,"42,39","43,18","42,3","42,73","134362,26"
2014-06-16,"42,44","43,16","42,05","42,75","152948,53"
2014-06-17,"42,75","42,99","41,02","42,7","550907,34"
2014-06-18,"42,93","42,95","42,15","42,89","339249,32"
2014-06-20,"42,4","43,89","42,4","42,8","396316,66"
2014-06-23,"42,97","43,55","42,3","42,63","222819,48"
2014-06-24,"42,63","42,73","41,7","41,8","423490,78"
2014-06-25,"42,1","42,4","41,26","41,91","110588,66"
2014-06-26,"41,8","41,95","40,55",41,"153959,4"
2014-06-27,"41,1","41,1","39,51",40,"510820,9"
2014-06-30,40,"40,5","39,67","40,21","271510,49"
2014-07-01,"40,55","40,62","39,66",40,"323674,78"
2014-07-02,"39,88","40,26","39,23","39,6","475408,42"
2014-07-03,"39,5",41,"39,5",41,"382045,64"
2014-07-04,"40,3","40,44","39,7","39,71","82492,29"
2014-07-07,"39,74","39,74","38,65","39,1","126704,17"
2014-07-08,"39,49","39,51",39,"39,21","382587,45"
2014-07-09,"39,39","39,88","38,5","39,3","174294,01"
2014-07-10,"39,74","39,74","38,37",39,"219982,5"
2014-07-11,"39,25","39,98","39,25","39,5","147794,64"
2014-07-14,"39,7","39,9","39,13","39,59","70467,94"
2014-07-15,"39,36","40,42","39,36","40,1","289538,23"
2014-07-16,"40,1","40,59","40,01","40,3","482286,4"
2014-07-17,"40,05","41,98","40,05","41,6","97808,46"
2014-07-18,"41,2",42,"40,68","41,96","137084,69"
2014-07-21,42,42,"40,86","41,3","443072,88"
2014-07-22,"41,04",42,"41,04",42,"113858,75"
2014-07-23,"41,99","41,99","41,53","41,99","81927,9"
2014-07-24,42,"42,2","41,63","41,95","301271,6"
2014-07-25,"41,74","42,09","40,5",42,"175301,54"
2014-07-28,42,42,"41,32","41,72","133034,49"
2014-07-29,"41,68","42,97","41,5","41,99","263501,23"
2014-07-30,"41,6","41,6","39,45","39,75","1845278,71"
2014-07-31,"39,7","39,95","37,57","38,55","2607501,25"
2014-08-01,"38,5","38,55","36,81","37,1","1080939,09"
2014-08-04,"37,1","38,42","37,1","38,25","568175,87"
2014-08-05,"38,4","38,5","37,55","37,9","412190,53"
2014-08-06,"37,99",38,"37,11","37,9","281882,65"
2014-08-07,"37,9","37,99","36,96","37,15","601795,7"
2014-08-08,37,37,"36,06","36,4","472033,81"
2014-08-11,"37,35","38,38","36,8",37,"458507,78"
2014-08-12,37,"37,38","36,64",37,"361663,38"
2014-08-13,37,"37,34","35,65","36,02","349234,35"
2014-08-14,"36,02","36,48","35,8",36,"193732,29"
2014-08-18,"36,34","37,16","36,28","37,15","269456,13"
2014-08-19,"36,9",37,"35,9","36,13","489105,85"
2014-08-20,"36,26","36,39","35,16","35,2","545322,84"
2014-08-21,"35,25","35,39","34,76",35,"495399,38"
2014-08-22,35,35,"34,32","34,8","344786,99"
2014-08-25,"35,2","35,44","34,82","35,11","140399,93"
2014-08-26,"35,5","36,14","34,46","36,08","563416,63"
2014-08-27,"36,05","36,34","35,24","35,55","594826,58"
2014-08-28,"35,82","35,82","34,35","34,45","1450562,4"
2014-08-29,"34,45","34,76","34,07","34,5","402121,89"
2014-09-01,"34,65","34,87","34,16","34,3","320898,01"
2014-09-02,"34,52","34,93","34,23","34,41","984240,17"
2014-09-03,"34,5","35,94","34,39","35,86","283776,48"
2014-09-04,"35,87","35,89","35,17","35,89","108126,27"
2014-09-05,"35,51","35,92","35,46","35,7","93024,14"
2014-09-08,"35,84",36,"35,3","35,95","123577,89"
2014-09-09,"35,52","36,1","35,52",36,"110709,06"
2014-09-10,"35,52","35,75","34,8","35,15","258663,4"
2014-09-11,"35,1","35,29","34,82","35,12","240282,82"
2014-09-12,"35,1","35,15","34,81","35,07","157404,25"
2014-09-15,"34,96","35,07","34,4","34,44","101062,67"
2014-09-16,"34,5","34,5","33,74","33,74","262065,6"
2014-09-17,"33,74","33,97","32,85",33,"390368,45"
2014-09-18,33,33,"32,07","32,07",823366
2014-09-19,"32,25","32,48","31,66",32,"957228,25"
2014-09-22,32,"32,68",32,"32,4","150843,99"
2014-09-23,"32,71","32,71","32,1","32,15","98815,16"
2014-09-24,"32,05","32,3","31,2","32,17","355857,31"
2014-09-25,"32,2","32,2","30,56","30,8","307130,34"
2014-09-26,"30,85","31,15","30,45","31,1","530049,31"
2014-09-29,"31,11","32,09","31,11","32,06","232313,7"
2014-09-30,"32,09","32,39","31,62","32,31","172010,55"
2014-10-01,"32,3","32,3","31,8","32,27","148683,44"
2014-10-02,"31,92","32,16","31,78",32,"136156,59"
2014-10-03,32,"32,17","31,83",32,"125772,73"
2014-10-06,"32,13","33,15","31,84","32,95","203813,47"
2014-10-07,33,"33,2","32,47","32,9","157788,03"
2014-10-08,"32,8","33,19","32,15","32,15","211477,41"
2014-10-09,"32,84","32,84","31,93","32,36","145292,95"
2014-10-10,32,"32,34","31,97","32,19","165390,09"
2014-10-13,"32,16","33,11","32,1","32,94","173501,36"
2014-10-14,"32,8","33,96","32,53","33,64","265516,3"
2014-10-15,"33,8","35,59","33,8","34,35","779956,79"
2014-10-16,"34,34",35,"33,93","34,49","522467,31"
2014-10-17,"34,49",35,"34,01","34,04","418099,44"
2014-10-20,"34,59","35,04",34,35,"640887,14"
2014-10-21,"34,85",35,"34,55","34,9","151294,67"
2014-10-22,"34,9","35,27","34,6","35,27","487813,2"
2014-10-23,"34,99","35,35","34,76",35,806207
2014-10-24,"35,04","35,04","34,4","34,9","69804,06"
2014-10-27,"34,87","34,95","34,15","34,8","79812,5"
2014-10-28,"34,86","34,99","34,51","34,9","102831,91"
2014-10-29,35,"35,2","34,38","35,02","335360,49"
2014-10-30,"33,75","34,37","32,61","33,33","851340,3"
2014-10-31,"33,42","33,49","32,9","33,19","216563,57"
2014-11-03,"33,29","33,33","32,73","33,08","213387,13"
2014-11-04,"32,89","33,3","32,21","32,21","439578,7"
2014-11-05,"32,39","33,12","31,98","32,02","1039417,86"
2014-11-06,32,"32,47","31,73","32,15","727541,67"
2014-11-07,"32,48","32,48","31,1","31,5","357157,49"
2014-11-10,"31,68","31,8","31,21","31,5","540203,24"
2014-11-12,"31,52","31,84","31,11","31,5","280835,82"
2014-11-13,"31,7","33,07","31,5","32,7","890879,91"
2014-11-14,"33,2","34,8","33,19","34,8","841687,21"
2014-11-17,"34,82","36,2","34,8","36,2","242708,43"
2014-11-18,"36,1","38,05","35,91",38,"925898,58"
2014-11-19,"38,1","38,69","36,41","37,87","379416,02"
2014-11-20,"37,99","38,1","36,76","37,25","308667,14"
2014-11-21,"37,03","37,87","36,87","37,2","148905,85"
2014-11-24,"37,63",38,"37,22","37,8","193691,32"
2014-11-25,"37,34",38,"36,59",38,"366874,12"
2014-11-26,"37,54","38,3","37,28","37,5","304215,6"
2014-11-27,"37,2","37,84","37,2","37,5","173147,68"
2014-11-28,"37,79","37,8","37,1","37,2","94749,91"
2014-12-01,"36,78","37,5","36,02","37,06","263159,26"
2014-12-02,"37,3","38,87","36,51","37,67","269206,96"
2014-12-03,"38,3","38,94","37,56","38,94","242144,88"
2014-12-04,"38,96","39,64","38,65","38,7","282881,82"
2014-12-05,39,"41,8","38,8",41,"478531,35"
2014-12-08,"41,48","41,55","40,39","41,35","253009,51"
2014-12-09,"41,69","41,69","38,86","39,37","601461,25"
2014-12-10,"39,37","39,84","38,39","38,87","229028,55"
2014-12-11,"38,77","39,5","38,37",39,"200284,18"
2014-12-12,"38,68","39,4","38,52","39,01","307737,37"
2014-12-15,"38,7","40,32","38,59","39,42","317576,91"
2014-12-16,"39,4","39,4","36,6","37,25","485380,9"
2014-12-17,"36,8","37,76","36,38","37,11","312295,93"
2014-12-18,"37,16","37,42","35,8","36,74","227400,62"
2014-12-19,"36,6","38,48","36,4","38,11","473438,5"
2014-12-22,"38,15","39,1","37,6","38,02","131281,13"
2014-12-23,"39,38","39,7","38,19","39,24","304196,37"
2014-12-29,"39,1","39,1","37,7","38,18","210580,25"
