Date,Open,High,Low,Close/Last,Volume
2013-04-15,"4,69","4,7","4,65","4,7","12714,47"
2013-04-17,"4,55","4,68","4,55","4,68","158597,07"
2013-04-18,"4,62","4,68","4,55","4,68","23937,42"
2013-04-19,"4,68","4,68","4,58","4,6","31829,86"
2013-04-22,"4,57","4,72","4,57","4,72","111196,66"
2013-04-23,"4,7","4,7","4,65","4,69","58605,61"
2013-04-24,"4,53","4,66","4,42","4,66","1030022,91"
2013-04-25,"4,56","4,65","4,56","4,65","30500,12"
2013-04-26,"4,62","4,62","4,52","4,55","1011612,66"
2013-04-29,"4,55","4,65","4,5","4,64","11379,95"
2013-04-30,"4,69","4,69","4,51","4,6","117138,86"
2013-05-02,"4,59","4,6","4,56","4,6","25710,18"
2013-05-06,"4,59","4,59","4,53","4,57","124357,56"
2013-05-07,"4,55","4,59","4,53","4,53","204495,04"
2013-05-08,"4,53","4,6","4,45","4,6","25407,78"
2013-05-09,"4,62","4,68","4,56","4,59","218113,29"
2013-05-10,"4,6","4,65","4,59","4,65","34302,99"
2013-05-13,"4,61","4,65","4,51","4,65","54926,97"
2013-05-14,"4,65","4,7","4,61","4,65","26762,1"
2013-05-15,"4,64","4,68","4,64","4,68","21234,24"
2013-05-16,"4,68","4,68","4,62","4,64","203626,74"
2013-05-17,"4,64","4,65","4,6","4,65","30027,06"
2013-05-20,"4,65","4,65","4,53","4,6","1137485,64"
2013-05-21,"4,53","4,59","4,53","4,59","652852,46"
2013-05-22,"4,57","4,57","4,52","4,54","1921635,16"
2013-05-23,"4,51","4,55","4,51","4,55","1564564,44"
2013-05-24,"4,55","4,71","4,52","4,66","2812066,49"
2013-05-27,"4,66","4,91","4,66","4,9","694450,6"
2013-05-28,"4,99","5,09","4,95","5,01","314661,62"
2013-05-29,5,"5,21",5,"5,1","1440037,59"
2013-05-31,"5,11","5,45","5,1","5,45","2234533,58"
2013-06-03,"5,44","5,44","5,26","5,3","43200,25"
2013-06-04,"5,21","5,45","5,15","5,4","337547,81"
2013-06-05,"5,32","5,4","5,28","5,4","122785,49"
2013-06-06,"5,39","5,39","5,35","5,35","8851,53"
2013-06-07,"5,38","5,6","5,38","5,45","1621578,18"
2013-06-10,"5,6","5,6","5,4","5,5","110124,26"
2013-06-11,"5,5","5,55","5,42","5,5","1541825,02"
2013-06-12,"5,45","5,5","5,43","5,5","76059,51"
2013-06-13,"5,47","5,5","5,46","5,49","66776,56"
2013-06-14,"5,49","5,55","5,45","5,55","236944,03"
2013-06-17,"5,6","5,6","5,45","5,54","115688,3"
2013-06-18,"5,43","5,54","5,43","5,45","57101,12"
2013-06-19,"5,49","5,53","5,49","5,52","193094,61"
2013-06-20,"5,52","5,59","5,42","5,58","295825,42"
2013-06-21,"5,5","5,55","5,44","5,55","93834,92"
2013-06-24,"5,5","5,52","5,44","5,44","24480,1"
2013-06-25,"5,4","5,54","5,4","5,54","41028,16"
2013-06-26,"5,5","5,5","5,42","5,45","82259,74"
2013-06-27,"5,48","5,5","5,43","5,5","65543,75"
2013-06-28,"5,5","5,54","5,45","5,5","99134,09"
2013-07-01,"5,33","5,49","5,2","5,48","83007,89"
2013-07-02,"5,45","5,47","5,35","5,47","4738,74"
2013-07-03,"5,41","5,45","5,4","5,45","9053,58"
2013-07-04,"5,41","5,45","5,35","5,45","37141,32"
2013-07-05,"5,45","5,45","5,35","5,43","1007303,97"
2013-07-08,"5,43","5,43","5,39","5,39","5075,96"
2013-07-09,"5,39","5,39","5,26","5,39","31692,66"
2013-07-10,"5,3","5,31","5,17","5,26","103586,82"
2013-07-11,"5,07","5,29","5,01","5,29","188373,61"
2013-07-12,"5,21","5,3","5,21","5,3","73796,62"
2013-07-15,"5,21","5,28","5,21","5,28","19281,95"
2013-07-16,"5,1","5,3","5,1","5,23","46020,84"
2013-07-17,"5,18","5,19","5,1","5,19","35029,98"
2013-07-18,"5,19","5,3","5,09","5,18","35526,25"
2013-07-19,"5,06","5,24","5,05","5,19","45394,88"
2013-07-22,"5,19","5,27","5,13","5,27","5817,28"
2013-07-23,"5,27","5,49","5,26","5,46","33068,82"
2013-07-24,"5,33","5,5","5,33","5,5","10817,47"
2013-07-25,"5,48","5,48","5,41","5,43","30919,25"
2013-07-26,"5,4","5,4","5,36","5,39","10166,25"
2013-07-29,"5,39","5,39","5,3","5,35","6344,27"
2013-07-30,"5,35","5,5","5,32","5,48","9185,33"
2013-07-31,"5,45","5,48","5,44","5,48","14157,53"
2013-08-01,"5,55","5,58","5,33","5,5","62252,85"
2013-08-02,"5,5","5,5","5,49","5,49","1699,72"
2013-08-05,"5,45","5,5","5,45","5,49","5609,77"
