Date,Open,High,Low,Close/Last,Volume
2013-04-15,"39,59","39,59","38,7","38,86","10615,94"
2013-04-17,"38,81","38,82","38,16","38,45","162669,52"
2013-04-18,"38,28","38,98","38,1","38,98","47605,05"
2013-04-19,"38,4","39,4","38,4","39,4","28317,58"
2013-04-22,"39,08","39,29","38,95","39,25","31314,36"
2013-04-23,"39,05","39,15","38,1","38,2","69255,47"
2013-04-24,"38,21","38,43",38,"38,2","4301,68"
2013-04-25,"38,1","38,35","37,01","37,01","84091,65"
2013-04-26,"37,1","37,4","37,01","37,24","14249,07"
2013-04-29,"37,24","37,45","37,06","37,2","48227,51"
2013-04-30,"38,05","38,31","37,55","37,8","54195,82"
2013-05-02,"37,9","39,5","37,9","39,5","28255,71"
2013-05-06,"39,4","39,5",39,"39,49","16616,44"
2013-05-07,"39,17","39,79","39,17","39,74","19640,37"
2013-05-08,"39,6","40,29","39,6","40,29","37751,72"
2013-05-09,"40,29","40,29","38,86","39,06","137678,26"
2013-05-10,39,"39,5",39,"39,44","7945,54"
2013-05-13,"39,16","39,62","39,16","39,62","18142,29"
2013-05-14,"39,75","40,35","39,55","40,35","33345,88"
2013-05-15,"40,35",41,"40,35","40,9","75024,92"
2013-05-16,"40,77","40,9","40,41","40,75","6922,83"
2013-05-17,"40,4","40,8","40,08","40,5","59784,71"
2013-05-20,"40,4","40,6","40,25","40,5","10400,03"
2013-05-21,"40,5","40,59","40,16","40,59","25674,33"
2013-05-22,"40,25","42,5","40,25","42,5","43189,11"
2013-05-23,"40,56","41,5","40,56","41,1","46490,8"
2013-05-24,"40,65","40,8","40,05","40,09","25866,24"
2013-05-27,"40,09","40,5",40,"40,5","88625,64"
2013-05-28,"40,8","40,84","40,5","40,72","7915,87"
2013-05-29,"40,76",41,"40,5",41,"51201,56"
2013-05-31,"40,31","41,5","40,31","41,35","33154,6"
2013-06-03,"41,05","41,26","40,8","41,24","28780,32"
2013-06-04,"40,85","41,23","40,85","41,23","26197,68"
2013-06-05,"40,91","41,79","40,91","41,78","52633,98"
2013-06-06,"41,16","41,7","41,16","41,7","30123,73"
2013-06-07,"41,51","41,78","41,5","41,7","55303,75"
2013-06-10,"41,38","41,85","41,38","41,8","40802,16"
2013-06-11,"41,51","41,77","41,3","41,3","222084,93"
2013-06-12,"41,2","41,6","41,15","41,6","90827,61"
2013-06-13,"41,18","41,4","39,8","40,2","168845,53"
2013-06-14,"40,29","41,08","40,16","40,95","139248,93"
2013-06-17,41,"41,08","40,76","40,76","12600,74"
2013-06-18,41,"41,6","40,76","41,55","37947,43"
2013-06-19,"41,55","41,7","41,5","41,5","98226,45"
2013-06-20,"41,3","41,48","39,2","39,2","161812,85"
2013-06-21,"39,2","41,9","39,2","41,82","354845,36"
2013-06-24,41,"42,75","40,85","42,6","76819,71"
2013-06-25,"41,6","42,78","41,6","42,3","57384,51"
2013-06-26,"42,3","42,47","40,5","40,8","91790,98"
2013-06-27,"40,9",41,39,39,"42883,56"
2013-06-28,"39,6","39,79","38,06","38,06","61393,27"
2013-07-01,"38,25","39,4","38,25","38,7","71791,4"
2013-07-02,39,"39,2","38,56","38,9","38227,09"
2013-07-03,"38,99","39,31","38,7","38,9","262269,05"
2013-07-04,"38,9","39,2","38,4","38,5","41977,01"
2013-07-05,"38,5","38,67","38,25","38,5","106977,52"
2013-07-08,"38,51","38,55","38,14","38,25","15740,2"
2013-07-09,39,"39,2","38,2","38,35","35676,01"
2013-07-10,"38,18","38,92","38,1","38,49","24031,2"
2013-07-11,"38,8","38,8","38,25","38,45","11432,41"
2013-07-12,"38,43","38,47","38,19","38,19","65973,67"
2013-07-15,"38,16","38,44",38,"38,18","33511,06"
2013-07-16,"38,18","38,37","38,04","38,2","58323,92"
2013-07-17,"38,15","38,2",38,38,"64614,62"
2013-07-18,38,"38,47",38,"38,3","40120,74"
2013-07-19,"38,36","39,44","38,36","39,44","68103,43"
2013-07-22,"39,44","39,77","39,35","39,6","20220,18"
2013-07-23,"39,83","39,83","39,66","39,8","11449,81"
2013-07-24,"39,8","39,8","39,5","39,5","42503,11"
2013-07-25,"39,2","39,6","39,2","39,3","88432,52"
2013-07-26,"39,3","39,3","39,12","39,18","78702,63"
2013-07-29,"39,11","39,18","38,8","38,99","47782,73"
2013-07-30,"38,8",39,"38,65","38,99","47231,11"
2013-07-31,"38,6","38,6","36,42","36,8","152409,82"
2013-08-01,"36,8","36,8","35,43","36,01","284769,58"
2013-08-02,"36,25","37,5","36,16","36,73","123960,57"
2013-08-05,"36,95","37,37","36,95","37,11","55463,4"
2013-08-06,"37,2","37,4","36,86","37,1","73847,67"
2013-08-07,"36,71","36,87","36,64","36,85","23249,53"
2013-08-08,"36,76","37,17","36,76","36,91","30889,62"
