Date,Open,High,Low,Close/Last,Volume
2013-04-15,"7,7","7,94","7,7","7,77","248554,68"
2013-04-17,"7,77","7,82","7,42","7,47","662264,33"
2013-04-18,"7,43","7,67","7,37","7,39","650521,52"
2013-04-19,"7,37","7,48","7,37","7,42","305305,04"
2013-04-22,"7,55","7,66","7,49","7,52","156794,97"
2013-04-23,"7,64","7,72","7,55","7,55","207642,63"
2013-04-24,"7,58","7,74","7,47","7,74","119339,94"
2013-04-25,"7,77","7,8","7,67","7,68","215366,84"
2013-04-26,"7,67","7,8","7,63","7,67","292814,67"
2013-04-29,"7,67","7,83","7,61","7,82","178989,34"
2013-04-30,"7,79","8,01","7,7","7,7","426081,09"
2013-05-02,"7,69","7,77","7,27","7,37","464895,32"
2013-05-06,"7,46","7,52","7,37","7,37","60138,54"
2013-05-07,"7,37","7,7","7,37","7,62","1945262,13"
2013-05-08,"7,68","7,68","7,54","7,54","324708,58"
2013-05-09,"7,67","7,72","7,57","7,67","335765,53"
2013-05-10,"7,73","7,77","7,54","7,66","132289,05"
2013-05-13,"7,66","7,72","7,56","7,67","79388,27"
2013-05-14,"7,47","7,56","7,35","7,45","507746,92"
2013-05-15,"7,47","7,52","7,22","7,35","756432,16"
2013-05-16,"7,47","7,47","7,35","7,37","315894,32"
2013-05-17,"7,45","7,45","7,23","7,27","1364680,63"
2013-05-20,"7,42","7,46","7,2","7,23","1039965,79"
2013-05-21,"7,34","7,34","7,16","7,16","440841,87"
2013-05-22,"7,24","7,24","7,04","7,18","602922,53"
2013-05-23,"7,07","7,24","7,03","7,09","327037,11"
2013-05-24,"7,11","7,67","7,11","7,67","471077,91"
2013-05-27,"7,66","7,98","7,66","7,86","621765,4"
2013-05-28,"7,95","7,98","7,76","7,96","698903,83"
2013-05-29,"7,96","8,4","7,92","8,4","368039,48"
2013-05-31,"8,31","8,44","8,08","8,36","795982,33"
2013-06-03,"8,34","8,34","8,11","8,24","313146,4"
2013-06-04,"8,32","8,34","8,21","8,23","171236,51"
2013-06-05,"8,31","8,41","8,19","8,36","164141,82"
2013-06-06,"8,21","8,41","8,13","8,13","148516,34"
2013-06-07,"8,15","8,83","8,15","8,83","614516,9"
2013-06-10,"8,8","8,94","8,75","8,84","295372,12"
2013-06-11,"8,66","9,22","8,66","8,99","731463,93"
2013-06-12,"8,96","9,03","8,92","9,02","485541,81"
2013-06-13,"8,86","8,99","8,69","8,97","507765,7"
2013-06-14,"8,95","8,95","8,78","8,89","202372,13"
2013-06-17,"8,85","8,95","8,6","8,95","918869,61"
2013-06-18,"8,95","8,96","8,85","8,93","321089,7"
2013-06-19,"8,93","8,98","8,78","8,95","688995,94"
2013-06-20,"8,77","8,89","8,43","8,6","879780,86"
2013-06-21,"8,61","8,61","8,13","8,26","1695020,96"
2013-06-24,"8,26","8,62","7,81","8,49","565728,62"
2013-06-25,"8,65","8,65","8,25","8,45","296031,16"
2013-06-26,"8,06","8,58","7,9","8,26","349895,89"
2013-06-27,"8,26","8,31","7,88","7,96","586776,61"
2013-06-28,"8,11","8,15","7,64","8,06","1073915,49"
2013-07-01,"8,06","8,11","7,86","7,99","154535,29"
2013-07-02,"7,95","8,2","7,95","8,04","225048,49"
2013-07-03,"8,04","8,2","7,98","8,09","73590,19"
2013-07-04,"8,1","8,5","8,1","8,18","159119,92"
2013-07-05,"8,29","8,29","7,85","7,9","289706,38"
2013-07-08,"8,02","8,02","7,6","7,75","172786,18"
2013-07-09,"7,78","7,79","7,42","7,63","273848,4"
