Date,Open,High,Low,Close/Last,Volume
2013-04-15,92,92,"85,89","85,89","61578,14"
2013-04-17,88,91,88,"90,8","116330,87"
2013-04-18,"89,99","90,98",89,89,"5255,8"
2013-04-19,91,91,"89,22","90,6","6585,92"
2013-04-22,91,"91,01","89,33","90,43","4423,11"
2013-04-23,"90,98","90,98","89,44",90,"15854,78"
2013-04-24,"90,85","90,85","88,55","88,55","20706,42"
2013-04-25,"88,99","89,71","85,7","87,8","38571,94"
2013-04-26,88,"90,5","87,71","90,5","3056,85"
2013-04-29,"90,6",91,"89,35","89,85","3379,51"
2013-04-30,92,92,"89,7","90,1","5802,81"
2013-05-02,"91,44","91,44","89,65","89,75","3184,57"
2013-05-06,"90,85","90,85","89,22","89,5","7428,7"
2013-05-07,"89,8","90,63","89,02","89,5","32591,84"
2013-05-08,"89,5","90,68","89,5","90,2","31968,37"
2013-05-09,"90,9",92,"90,9",92,"4160,95"
2013-05-10,91,"91,8",91,91,"19504,85"
2013-05-13,91,"91,99",91,"91,3","6798,51"
2013-05-14,"91,99",94,"90,3",94,"70939,42"
2013-05-15,"93,5","93,5","91,36","91,36","21813,88"
2013-05-16,"91,8","91,8","91,15","91,5","40294,46"
2013-05-17,"91,02","91,79",91,"91,05","62328,48"
2013-05-20,"91,44","91,56","90,8","91,56","25609,31"
2013-05-21,"90,9","91,93","90,01","90,99","14409,54"
2013-05-22,"90,03","90,59","90,03","90,2","7227,04"
2013-05-23,90,93,"88,98",93,"5682,65"
2013-05-24,"92,5","92,5","90,7","91,7","22329,79"
2013-05-27,"91,05","95,01","91,05","94,5","47888,69"
2013-05-28,94,"94,5","93,8","93,98","37202,32"
2013-05-29,"93,3","93,33","91,5","91,5","11468,65"
2013-05-31,"92,19",94,"91,51",94,"61393,28"
2013-06-03,94,94,"92,05","93,98","377912,54"
2013-06-04,"94,2","94,5","93,52",94,"508591,62"
2013-06-05,"93,62",96,"93,62",96,"188294,57"
2013-06-06,96,96,"95,52","95,99","7025,38"
2013-06-07,"96,56","97,44","96,56",97,"223638,24"
2013-06-10,"97,44",99,"96,32","98,5","21821,44"
2013-06-11,"98,8","99,23","98,5","99,1","58497,76"
2013-06-12,"99,05","99,9","98,31","99,9","22370,97"
2013-06-13,"99,9","99,9","98,5",99,"37283,82"
2013-06-14,99,"99,8",99,99,"8557,16"
2013-06-17,"99,9",102,"99,01","101,8","81055,26"
2013-06-18,"100,6","102,9","100,6","100,8","17031,98"
2013-06-19,101,"101,5","99,15","100,65","50445,59"
2013-06-20,"100,5","100,5","97,75","99,35","51401,8"
2013-06-21,"99,9","99,9",93,"93,65","16889,98"
2013-06-24,"94,89","94,89","93,56","94,88","31244,91"
2013-06-25,95,"97,48","94,88",95,"8025,28"
2013-06-26,"94,6","94,98","89,8","93,62","144663,45"
2013-06-27,"93,62","94,97",90,"90,5","186710,69"
2013-06-28,91,"94,66",91,"94,66","36365,42"
2013-07-01,"94,66","94,66","93,5","94,4","93760,77"
2013-07-02,"95,95","95,95",95,"95,01","43894,12"
2013-07-03,"95,1","95,2","92,3","92,3","35208,39"
2013-07-04,"92,01","93,88","92,01","93,2","14070,08"
2013-07-05,"93,93","94,89","93,32","93,32","2187,19"
2013-07-08,"94,49",95,"92,55","92,58","6679,19"
2013-07-09,"94,59","94,59","92,56",93,"40985,15"
2013-07-10,"94,99",96,"92,81",95,"40804,5"
2013-07-11,96,"96,35","93,35","94,5","15158,21"
2013-07-12,"95,5","95,5",94,"94,8","40843,15"
2013-07-15,"94,95",95,"93,65","94,5","73120,73"
2013-07-16,"93,69",96,"93,68","95,95","25747,95"
2013-07-17,"95,95","96,8","95,95","96,2","69866,42"
2013-07-18,"96,5","98,58","96,5","97,5","145875,94"
2013-07-19,97,"97,6",97,"97,5","179,81"
2013-07-22,98,98,"96,5",97,"5995,22"
2013-07-23,"97,32",98,96,"97,9","102433,89"
2013-07-24,"98,4","98,4","96,44","97,4","32243,97"
2013-07-25,97,"97,76",97,"97,56","201403,4"
2013-07-26,"97,5","98,5","97,05","98,01","150731,78"
2013-07-29,"98,01","98,89","97,21","97,73","9561,27"
2013-07-30,"97,58","98,5","97,58","98,5","599,1"
2013-07-31,"98,9","99,05","98,19","99,05","49315,44"
2013-08-01,"99,01","101,5","97,61","97,61","92628,1"
2013-08-02,100,102,100,"101,9","86427,86"
2013-08-05,102,"102,2","101,2",102,"28377,95"
2013-08-06,"102,2","103,5","102,2","102,3","5490,23"
2013-08-07,"102,9",109,102,108,"813858,18"
2013-08-08,108,"112,94","107,05","110,25","90249,34"
2013-08-09,"111,5","113,05","109,26","111,91","11247,66"
2013-08-12,"111,91","111,91","109,5","111,01","9979,72"
2013-08-13,"110,5","113,9","109,6","113,19","7219,48"
2013-08-14,"114,4","116,63","113,49","115,49","10488,07"
2013-08-16,"116,91","116,91","115,36",116,"14119,66"
2013-08-19,"116,46","116,91","115,01","115,81","3602,18"
2013-08-20,"114,6","114,71",113,113,"20720,7"
2013-08-21,113,113,"110,74","110,74","21886,98"
2013-08-22,"110,54","112,89","110,1","110,91","22439,03"
2013-08-23,"111,64","113,3","111,26","111,5","35725,99"
2013-08-26,"112,51","112,51","110,15","111,2","15216,19"
2013-08-27,"111,01","111,5","109,55","111,01","13624,75"
