Date,Open,High,Low,Close/Last,Volume
2013-04-15,"88,6","89,35","86,2","88,4","86492,25"
2013-04-17,88,"88,9","85,1","87,45","118465,04"
2013-04-18,"83,7",87,"82,7",83,"157526,12"
2013-04-19,83,84,80,"82,75","92104,78"
2013-04-22,"82,9","84,9","82,6","82,6","66218,83"
2013-04-23,84,"86,9","83,1","86,9","159918,62"
2013-04-24,"86,1","86,7","83,2",84,"103992,62"
2013-04-25,"84,78","84,98","83,51","84,41","51248,43"
2013-04-26,"84,8","84,9","83,23","83,46","47512,2"
2013-04-29,"83,6","83,9",82,82,"34305,21"
2013-04-30,82,"83,5","80,43","83,5","97944,92"
2013-05-02,"82,6","83,89",81,81,"74826,54"
2013-05-06,"82,3","82,98","81,22","81,7","95475,95"
2013-05-07,"81,7","81,9","79,65",81,"284581,58"
2013-05-08,"81,3","81,32","78,53","79,2","184457,19"
2013-05-09,"79,48","79,9","78,61","79,3","116210,93"
2013-05-10,"79,8","79,8","78,6","78,8","60712,81"
2013-05-13,"78,8","78,8","76,3","77,8","87001,15"
2013-05-14,"76,5","80,4","76,1","80,39","115742,99"
2013-05-15,"80,79",81,"79,2",80,"110681,23"
2013-05-16,80,"80,9","77,51","79,85","178278,39"
2013-05-17,79,"81,5",79,"81,37","79163,63"
2013-05-20,"81,2","81,36","80,12","80,75","81122,78"
2013-05-21,"80,74","81,2","77,11",78,"113512,54"
2013-05-22,"78,45","78,45","72,55","72,6","424647,38"
2013-05-23,"71,9","73,09","67,15","73,09","472401,74"
2013-05-24,"73,48","73,95","71,5","73,6","242135,68"
2013-05-27,"73,94","76,3","73,9",76,"177136,77"
2013-05-28,"76,5","78,35","76,02","76,9","181410,13"
2013-05-29,"76,4","77,39","76,21","76,6","147227,82"
2013-05-31,"76,99","80,23","76,1","80,23","447504,47"
2013-06-03,79,"79,35","75,58","75,58","167976,45"
2013-06-04,"76,2","77,15","76,2","76,52","125914,74"
2013-06-05,76,"78,99","75,24","78,2","337753,65"
2013-06-06,"78,1","79,49",78,"78,45","135867,1"
2013-06-07,"78,5","79,72","77,87",79,"150273,06"
2013-06-10,"79,75","79,9","78,4","79,9","273927,31"
2013-06-11,"78,72","79,34","78,56",79,"166637,27"
2013-06-12,"79,05","79,09","78,25","78,65","135137,88"
2013-06-13,78,79,"77,1","78,2","173004,52"
2013-06-14,"77,86",79,"77,6","77,91","321065,34"
2013-06-17,"78,5","79,7","77,6","78,9","106183,01"
2013-06-18,"78,1","79,66","78,1","78,4","104769,18"
2013-06-19,"78,4","79,5","78,2","78,2","131711,18"
