Date,Open,High,Low,Close/Last,Volume
2013-04-15,59,"59,6","56,9","57,5","83387,36"
2013-04-17,"57,05","57,1","52,99","52,99","133813,95"
2013-04-18,"51,98","54,4","50,95","53,5","316542,17"
2013-04-19,"52,5","52,5","47,25","49,37","452417,83"
2013-04-22,"49,89","51,49","48,61","49,48","86136,04"
2013-04-23,"50,78","50,78","47,81","49,88","173431,74"
2013-04-24,50,"50,52",48,"50,52","162002,68"
2013-04-25,"50,7","50,7",49,50,"75831,63"
2013-04-26,"49,52","52,29","49,38","50,8","207357,09"
2013-04-29,"51,1","53,5","51,1","52,57","118233,94"
2013-04-30,"53,2","57,3",52,"57,3","237836,81"
2013-05-02,"56,5","58,3","55,33","57,2","286483,47"
2013-05-06,57,"57,26","54,34","55,56","54955,19"
2013-05-07,"56,49","57,14","55,56",57,"102457,19"
2013-05-08,"57,2","57,2","56,16","56,7","200134,84"
2013-05-09,57,"57,89","55,2","57,04","260909,18"
2013-05-10,"56,5","57,79","55,7","57,05","74129,23"
2013-05-13,57,58,"56,48",58,"175288,37"
2013-05-14,"58,34",59,58,"58,55","119276,89"
2013-05-15,59,"60,8","57,29","60,7","234277,78"
2013-05-16,60,"60,75",59,59,"100620,57"
2013-05-17,"58,6",61,"58,6",61,"124944,32"
2013-05-20,"60,3",62,"60,3","61,99","27014,06"
2013-05-21,62,62,"59,26","59,52","272126,49"
2013-05-22,"59,6","59,6",58,"58,11","275303,68"
2013-05-23,"57,01",58,"54,18",56,"446081,78"
2013-05-24,56,"56,6","55,35","55,9","214325,08"
2013-05-27,"55,95",58,"54,55","57,5","299694,95"
2013-05-28,"58,12","59,18","57,52","58,7","163599,2"
2013-05-29,"57,8","59,84",57,"59,8","232081,01"
2013-05-31,"57,5","57,5","55,55","57,4","458718,03"
2013-06-03,56,"56,6","54,53","54,7","250833,21"
2013-06-04,"55,29","55,43","54,5","54,75","78931,29"
2013-06-05,"55,2","55,39","54,51",55,"341933,87"
2013-06-06,55,"55,89","53,84","54,48","101549,3"
2013-06-07,"54,1","55,15","53,85","54,9","193899,67"
2013-06-10,"54,95","56,4","54,45","55,4","112283,9"
2013-06-11,56,56,"54,25","54,25","138395,07"
2013-06-12,"54,12","54,5","52,75","54,5","102655,61"
2013-06-13,"53,52","54,87","53,05","53,49","180276,34"
2013-06-14,"54,13","54,47",52,52,"169993,6"
2013-06-17,"52,09","52,3","50,35","51,2","125565,42"
2013-06-18,"51,6",52,"50,8","51,81","73716,56"
2013-06-19,"51,85","52,19","51,65","52,05","78082,59"
2013-06-20,"51,56",52,"49,2","49,35","247413,41"
2013-06-21,"49,94","51,4","45,1","46,5","363162,12"
2013-06-24,"46,5","48,87","46,5","48,35","89079,8"
2013-06-25,"48,93","49,19","47,51","48,5","94873,95"
2013-06-26,"48,5","49,29","47,6","48,01","274269,07"
2013-06-27,"48,4","48,56","46,1","46,62","141633,13"
2013-06-28,"46,2","48,76","45,1",48,"223691,59"
2013-07-01,"47,5",48,"46,33","47,88","108703,2"
2013-07-02,"48,2","49,6","46,88","47,91","297779,97"
2013-07-03,48,"48,3","47,05","48,19","68495,99"
2013-07-04,"48,19","48,33","47,5","48,2","43916,3"
2013-07-05,"48,54","49,5","48,2",49,"41717,02"
2013-07-08,"49,45","50,25","48,95","49,52","229408,2"
2013-07-09,"49,7","50,5","49,4","50,5","97931,92"
2013-07-10,"49,62","52,49","49,62","52,48","53137,75"
2013-07-11,"52,67","52,9","52,4","52,65","151316,44"
2013-07-12,"52,9","54,45","52,65","54,35","108330,54"
2013-07-15,"54,5","54,5","52,64","53,3","49346,96"
2013-07-16,54,"54,45","52,6","53,52","63478,84"
2013-07-17,"53,93","54,85","53,17","53,57","63662,25"
2013-07-18,"53,45",55,"52,94",55,"83936,76"
2013-07-19,"54,34","54,5","52,5","53,43","113492,75"
2013-07-22,"53,61","54,5","52,5","52,5","34912,44"
2013-07-23,"53,13","53,4","50,25","52,7","91562,53"
2013-07-24,"52,65","53,65","52,08","53,49","46930,09"
2013-07-25,"52,99",53,"51,9","52,5","39200,95"
2013-07-26,"51,91","52,5","51,12","51,3","64067,42"
2013-07-29,"51,32","52,9","51,3","51,78","50278,19"
2013-07-30,"52,3","53,5","51,2","51,75","40674,91"
2013-07-31,"51,35","52,37","49,54","50,12","329426,01"
2013-08-01,"50,46","51,25","48,65","49,05","59658,87"
2013-08-02,"49,5","51,68","49,11","51,68","132153,24"
2013-08-05,"51,32",53,"51,32",53,"59222,02"
2013-08-06,53,"54,2","52,42","52,42","54889,33"
2013-08-07,"53,2","54,18","52,23","52,43","59758,91"
2013-08-08,"52,51",54,"52,21",54,"77121,35"
2013-08-09,"53,5","53,55",51,51,"106260,49"
2013-08-12,"51,59","51,59","50,18","50,7","101666,85"
2013-08-13,51,"51,38","50,5","50,75","47707,92"
2013-08-14,"50,53",51,"49,6","49,9","101944,47"
2013-08-16,"49,6","49,7","47,8","47,9","167475,86"
2013-08-19,48,"48,4","46,3","46,5","126830,12"
2013-08-20,"46,01","47,7","45,23","46,2","278438,36"
2013-08-21,"46,5","48,05",46,"47,39","73691,54"
2013-08-22,"47,5","48,4","47,5",48,"149454,81"
2013-08-23,"48,2","48,48",48,48,"143173,79"
2013-08-26,"48,2","48,6","48,11","48,5","111349,33"
