Date,Open,High,Low,Close/Last,Volume
2013-04-15,"160,01","160,59","151,09","151,94","1375626,36"
2013-04-17,"152,2","152,2","139,99","140,8","2292143,56"
2013-04-18,"139,99","142,95","135,5","140,19","1669960,04"
2013-04-19,141,"142,98","139,7","142,71","774487,91"
2013-04-22,"143,71","147,39","143,54","145,69","988193,44"
2013-04-23,144,144,"139,21",141,"1629684,67"
2013-04-24,"143,49",145,"141,31","143,49","896973,18"
2013-04-25,"144,1","145,99",141,"145,99","1388209,43"
2013-04-26,"146,5","148,2","144,55","147,09","1034773,53"
2013-04-29,"147,8","149,6","144,59","144,59","632538,49"
2013-04-30,"145,99",148,"142,62",148,"1108571,65"
2013-05-02,"145,9","145,9",142,"143,3","771579,69"
2013-05-06,"146,5","148,5","145,09","146,35","976846,28"
2013-05-07,"146,35","147,85","144,22","147,09","1123681,7"
2013-05-08,"147,95","151,16","146,9","149,01","1033511,27"
2013-05-09,"149,9","150,39",147,147,"607460,45"
2013-05-10,"148,9","149,41","144,69","146,04","518643,67"
2013-05-13,"145,99","147,15","145,09","145,99","471227,02"
2013-05-14,"145,2","146,84","144,31","145,51","899385,71"
2013-05-15,"146,5","147,49","142,19","143,81","1009511,87"
2013-05-16,144,"144,31","140,48","140,48","747245,18"
2013-05-17,"141,05","143,49","140,7",141,"636425,72"
2013-05-20,"142,5","142,5","137,99","137,99","649205,58"
2013-05-21,"138,61","143,86","138,61","141,42","853797,81"
2013-05-22,144,"145,2","141,69","144,49","832784,86"
2013-05-23,"140,91","140,91","138,11","140,19","1080621,62"
2013-05-24,"141,51","145,09","140,7","141,79","721503,48"
2013-05-27,"143,15","145,8","142,3","145,8","431579,06"
2013-05-28,"146,5","149,41","145,31","149,25","560851,55"
2013-05-29,"148,9","149,6","146,72","149,6","612191,66"
2013-05-31,"148,59","150,44","144,8","148,3","1307558,22"
2013-06-03,148,148,"145,2","145,51","543276,25"
2013-06-04,"146,5","148,25","146,3",147,"789792,29"
2013-06-05,"146,5","148,41","145,41",148,"706054,19"
2013-06-06,148,"150,44","146,6","147,26","906305,5"
2013-06-07,148,"153,24",148,"152,01","952589,99"
2013-06-10,"152,7","156,79","152,01","153,01","911877,39"
2013-06-11,"153,01","153,01","148,7","149,94","1191645,27"
2013-06-12,"149,75","152,65","149,52","151,5","894249,4"
2013-06-13,"149,9","153,71","148,2","151,09","1198205,23"
2013-06-14,"152,55","155,01","152,55","154,7","914592,93"
2013-06-17,"155,5","155,7","151,56","152,26","1193049,15"
2013-06-18,"152,26","154,19",151,"152,01","702773,79"
2013-06-19,"152,09","152,32","141,51","141,51","2540297,32"
2013-06-20,"138,51","138,51","127,59","129,5","3875142,75"
2013-06-21,"128,29","130,84","120,04","122,99","4028606,48"
2013-06-24,120,"125,29","118,5","121,9","955532,79"
2013-06-25,"123,5","124,5","120,3","122,99","1497736,16"
2013-06-26,"119,49","124,4","116,5","121,5","1459627,95"
2013-06-27,"122,99","125,41","118,5","118,81","1807412,1"
2013-06-28,120,"121,9","117,5","121,01","2158129,17"
2013-07-01,"123,5","126,2","121,59","125,78","1009343,9"
2013-07-02,"126,25","127,92","125,15",127,"1452065,92"
2013-07-03,126,"127,92","123,39","126,51","1258509,61"
2013-07-04,127,"130,01","126,7","130,01","1088259,4"
2013-07-05,"129,91","130,45","124,91","125,01","990905,69"
2013-07-08,126,"127,75","124,5","124,5","675920,52"
2013-07-09,"126,51","126,85",122,122,"1038235,06"
2013-07-10,"114,91","115,16","112,99","113,49","1305592,89"
2013-07-11,"116,5","118,4",116,"117,2","1397293,23"
2013-07-12,"117,99","119,51","115,79","119,51","833244,38"
2013-07-15,"118,99","120,81","118,91","120,51","763062,82"
2013-07-16,"120,51","120,9","117,1","117,1","629106,55"
2013-07-17,"116,91","116,91","113,49","113,99","1045627,12"
2013-07-18,"114,5","114,95","106,9","112,99","1772927,68"
2013-07-19,"112,61","114,91","110,76","114,91","723537,57"
2013-07-22,"115,4","116,74","115,2","115,68","428971,65"
2013-07-23,116,"117,5","115,56","117,5","551662,24"
2013-07-24,"117,4","119,21","116,31","117,5","884888,54"
2013-07-25,"116,95","117,1","114,05","114,91","842169,72"
2013-07-26,"114,35","114,91","111,69","111,99","527370,69"
2013-07-29,"112,91","113,6","109,5","113,55","477480,43"
2013-07-30,"114,2","114,2","110,89","111,88","503882,23"
2013-07-31,"112,5","113,6",111,111,"881130,03"
2013-08-01,"111,99","114,44","111,79","113,8","737680,78"
2013-08-02,"113,8","117,96","113,8","117,34","967128,13"
2013-08-05,"118,25","118,45","116,74","118,21","602582,09"
2013-08-06,"118,21","118,21","115,3","115,68","736788,16"
2013-08-07,"114,8","115,9","113,99","114,91","405712,39"
2013-08-08,"116,31","120,85","116,31","118,99","1539465,76"
2013-08-09,"120,05","126,4","120,05","125,96","1739117,19"
2013-08-12,125,"129,5","124,35","128,13","1497133,71"
2013-08-13,"128,61","130,39","126,06","127,45","982814,86"
2013-08-14,"126,06","127,41","123,76",125,"1946925,79"
2013-08-16,"125,3","126,3","123,99","123,99","598831,64"
2013-08-19,"124,5","124,9","122,25",123,"776738,68"
2013-08-20,"121,8","125,45","120,59","122,9","888818,95"
2013-08-21,123,"125,1",123,123,"611030,24"
2013-08-22,"123,41","128,36","123,41","128,3","1160484,64"
2013-08-23,"128,99","130,6","127,64","129,1","936333,05"
2013-08-26,"130,01","131,84","129,18","129,24","735150,64"
2013-08-27,"128,75","128,8","124,55","125,1","1076919,09"
2013-08-28,"125,3","125,7",123,"124,5","858556,58"
2013-08-29,"125,5","126,85","123,59","123,59","500762,97"
2013-08-30,"123,76",125,122,"122,59","1033695,32"
2013-09-02,"125,3","128,5","125,15","128,4","694643,23"
2013-09-03,"128,99","129,44","125,4","125,5","557941,04"
2013-09-04,"125,1","127,25","121,76","123,31","1004419,58"
2013-09-05,"122,5","124,19","116,25","116,45","1628839,18"
2013-09-06,"117,5","123,25","116,74",120,"1399300,51"
2013-09-09,"122,81","126,01","121,54","125,4","1130699,47"
2013-09-10,"126,69","127,2","124,05","124,05","1231719,08"
2013-09-11,"124,82","125,9","122,59","125,5","697196,66"
2013-09-12,"124,5","126,95","123,64","126,95","1164231,51"
2013-09-13,"126,01","126,64","123,99","123,99","669410,71"
2013-09-16,"125,9","126,64","122,5","122,5","908145,11"
2013-09-17,"122,45","124,4","121,76","123,81",480255
2013-09-18,"124,35","125,24",123,"123,81","414879,47"
2013-09-19,"129,1","129,85","127,51","127,51","1979378,99"
2013-09-20,"127,69","127,79","125,1","126,45","1004431,22"
2013-09-23,"125,5","126,36","123,99","123,99","630811,22"
2013-09-24,"124,09","124,15","122,59","123,81","811602,05"
2013-09-25,"123,99","125,3","122,81","124,09","428301,06"
2013-09-26,"124,85","127,01","124,71","126,49","1508378,81"
2013-09-27,"127,11","127,11","123,7","123,99","859410,71"
2013-09-30,123,"124,59","122,69","123,31","532275,19"
2013-10-01,"123,2","123,41","120,85","121,1","1552751,26"
2013-10-02,"121,59","121,95","118,5","119,51","2183871,36"
2013-10-03,120,"121,1","118,99",120,"788623,92"
2013-10-04,"119,9","120,9","118,61","120,81","1170152,2"
2013-10-07,"119,79",120,"117,04","118,29","1179137,53"
2013-10-08,"118,21","119,6","117,79","119,29","518485,63"
2013-10-09,"118,29","120,59","117,79",120,"567973,89"
2013-10-10,"120,51","124,4","120,05","124,4","994448,51"
2013-10-11,"124,76","125,4","121,3",123,"1375352,76"
2013-10-14,"122,1","123,54","121,5",122,"671955,18"
2013-10-15,"123,54",125,"122,65","123,2","1070044,91"
2013-10-16,123,"124,82","121,65","123,9","785611,2"
2013-10-17,"122,69","123,9","121,86","121,95","612057,16"
2013-10-18,"122,85","122,85","120,71","121,34","913115,87"
2013-10-21,122,"123,7","121,8","123,7","1108036,49"
2013-10-22,"123,99","124,35","122,1","123,76","1349824,79"
2013-10-23,"122,9","123,35","121,25","121,4","1066672,27"
2013-10-24,"122,45","123,2","121,54","123,2","659864,02"
2013-10-25,"122,59","122,59","121,21","121,8","561568,84"
2013-10-28,"122,5","123,25","122,1","123,1","563137,42"
2013-10-29,"122,69","124,46","122,69","124,09","728477,89"
2013-10-30,"124,59","124,9","122,9","124,35","1048458,98"
2013-10-31,"123,51","124,59","123,25","124,55","1541796,25"
2013-11-04,"124,71","125,19","123,81","124,95","864143,31"
2013-11-05,"125,19","125,81","123,05","123,41","921880,96"
2013-11-06,"123,59",125,"123,15",125,"515055,7"
2013-11-07,"124,82","125,3","123,35","124,3","992492,26"
2013-11-08,"123,35","123,81","122,25","123,51","568634,63"
2013-11-12,"123,99","123,99",120,120,"1097621,35"
2013-11-13,"117,9","118,71","113,09","114,15","1781886,15"
2013-11-14,"116,25","117,2","115,5","115,9","1199080,56"
2013-11-15,"116,61","119,51","116,61","119,51","675515,83"
2013-11-18,"120,51",122,"119,34","121,89","964608,73"
2013-11-19,"121,44","121,44","119,6","120,51","653705,19"
2013-11-20,120,"121,8",120,"121,7","449602,27"
2013-11-21,"120,51",121,"120,26","120,45","349951,59"
2013-11-22,"121,65","121,89","120,34","121,4","426739,64"
2013-11-25,122,"122,85","121,54","122,85","799817,98"
2013-11-26,"122,05","122,39","120,71","121,89","1089122,17"
2013-11-27,"121,8","122,3","120,05",121,"759896,11"
2013-11-28,"121,5","121,8","115,04","116,99","1539176,57"
2013-11-29,"117,4","118,45","116,05","118,45","920099,29"
2013-12-02,"118,4","118,4","115,56",116,"898938,64"
2013-12-03,116,"116,21","111,6","113,49","1033918,25"
2013-12-04,"112,94","114,6","110,3","113,7","1446454,69"
2013-12-05,"114,15","114,74","111,99","111,99","840166,02"
2013-12-06,"112,41","113,7","111,49","112,8","980711,77"
2013-12-09,"114,05","115,16","112,94","115,01","686824,49"
2013-12-10,"115,79","116,8","114,15","116,8","608464,28"
2013-12-11,116,"118,05","115,01",116,"1054770,02"
