Date,Open,High,Low,Close/Last,Volume
2013-04-15,62,"62,3","61,65","61,85","11404,92"
2013-04-17,"61,85",62,"61,6","61,68","11061,8"
2013-04-18,"61,81","62,5","61,61","62,4","11526,97"
2013-04-19,"62,01","62,5","61,81","62,01","10986,69"
2013-04-22,"61,81","61,99","61,8","61,98","1433,94"
2013-04-23,"61,8","62,3","61,8",62,"67194,45"
2013-04-24,"62,5","62,5","61,8",62,"5929,5"
2013-04-25,62,62,"60,85","61,02","1792,42"
2013-04-26,"62,05","62,05","61,15","61,8","1369,92"
2013-04-29,"61,3","61,8","61,3","61,3","2582,79"
2013-04-30,"61,33","61,7","61,32","61,5","1471,49"
2013-05-02,"61,37","61,8","61,37","61,5","17360,02"
2013-05-06,"61,69","62,5","61,5","61,96","7992,49"
2013-05-07,"62,01","62,49",62,"62,33","1910,21"
2013-05-08,"62,9","66,5","62,8",65,"9976,1"
2013-05-09,66,"67,95","65,5","67,1","18179,42"
2013-05-10,"66,7","67,79",66,"66,6","13678,73"
2013-05-13,"66,35","68,95","66,35","68,39","35561,63"
2013-05-14,"68,3","68,3","66,36","67,7","12703,14"
2013-05-15,"67,89","68,07","67,55","67,7","16484,3"
2013-05-16,"67,7","67,97",67,"67,7","3917,72"
2013-05-17,"67,8","67,8",62,"66,31","71971,68"
2013-05-20,66,67,"65,4","66,5","5120,35"
2013-05-21,"66,45",68,"66,01","67,5","8791,4"
2013-05-22,"67,1","69,65","67,1",69,"17166,27"
2013-05-23,68,69,"67,5",69,"17565,73"
2013-05-24,"68,51","70,98",66,"66,35","421944,43"
2013-05-27,68,68,"66,55",67,"12079,21"
2013-05-28,67,67,"66,21","66,6","35136,57"
2013-05-29,"65,13","66,1","63,51","64,3","34102,94"
2013-05-31,64,64,"62,11","62,7","115641,03"
2013-06-03,"62,5","64,9","62,5","64,9","5349,1"
2013-06-04,"64,9","66,44","64,7","65,1","8091,5"
2013-06-05,"65,11","66,15","64,5","64,8","11622,57"
2013-06-06,65,"66,05","64,51","64,91","10755,38"
2013-06-07,65,"66,2","64,91","65,2","13134,18"
2013-06-10,66,"66,16","65,31",66,"108818,73"
2013-06-11,"66,2",67,"64,02","66,4","4259,99"
2013-06-12,"66,82","66,82","65,1","65,9","2039,95"
2013-06-13,"65,4","66,82",65,"66,2","1718,16"
2013-06-14,66,"66,8","65,5","66,5","10308,98"
2013-06-17,"66,5","66,82","65,01","65,3","57286,63"
2013-06-18,"65,3","66,5","64,41","66,49","5030,73"
2013-06-19,66,"66,45","64,8","65,05","47863,61"
2013-06-20,65,65,"63,22","63,31","8127,35"
2013-06-21,63,65,"62,81",64,"13869,07"
2013-06-24,"62,85",64,"62,5","62,5","15092,18"
2013-06-25,"62,25","63,5","62,25","62,53","13964,67"
2013-06-26,"62,32","63,98","62,01","63,98","5373,85"
2013-06-27,"64,9","64,9",61,"61,25","11913,62"
2013-06-28,"61,5","62,5","61,5","61,83","13804,2"
2013-07-01,"63,49","63,49","62,1",63,"12739,85"
2013-07-02,"63,7","63,7","62,83","62,83","15045,24"
2013-07-03,"63,7","63,7","61,9",63,"2940,42"
2013-07-04,"63,5","63,5","62,11","62,81","2808,98"
2013-07-05,"63,2","63,2","62,15",63,"738,31"
2013-07-08,63,63,"62,4",63,"10688,8"
2013-07-09,63,63,"62,6","62,75","2964,32"
2013-07-10,"62,5","62,5","62,3","62,5","454,08"
2013-07-11,"62,45","64,5","62,45","64,5","7171,39"
2013-07-12,"63,6",65,"63,6","63,71","46231,66"
2013-07-15,"64,5","64,81",64,"64,8","86409,2"
2013-07-16,66,66,"64,2",65,"3553,26"
2013-07-17,"64,5",66,"64,5",66,"13776,04"
2013-07-18,"66,45","66,45","64,55","65,9","389,21"
2013-07-19,"66,39","66,39","65,45","65,45","343,12"
2013-07-22,"65,49",66,"65,2",66,"313,25"
2013-07-23,66,66,"65,2",66,"33629,23"
2013-07-24,"65,85",66,65,"65,94","1215,43"
2013-07-25,65,65,64,65,"2009,22"
2013-07-26,"63,9",65,"63,9",65,"2458,18"
2013-07-29,65,"65,93","64,7","65,5","2856,78"
2013-07-30,"65,31","65,48","64,71","64,91","43116,26"
2013-07-31,"64,85","65,3","64,85","65,3","6526,97"
2013-08-01,"64,65","65,38","64,65","65,01","583,82"
2013-08-02,"65,38","65,5","65,02","65,25","37646,81"
2013-08-05,"65,75","66,89","65,55","66,5","3708,6"
2013-08-06,"66,5","66,65","66,15","66,55","4270,23"
2013-08-07,"66,56",68,"66,56","67,85","4478,49"
2013-08-08,"67,91","69,3","67,5","68,8","14854,9"
2013-08-09,"68,99","68,99","68,2","68,5","1576,48"
2013-08-12,"68,5","68,5","67,15","68,5","5657,22"
2013-08-13,"68,5","69,38",68,"68,9","7512,8"
2013-08-14,"68,7",69,"68,49","68,85","4652,61"
2013-08-16,"68,2",69,"67,5","68,74","946,57"
2013-08-19,"68,74",69,"66,11","66,98","6516,73"
2013-08-20,"66,5","66,99","64,5",66,"13252,82"
2013-08-21,66,"66,68","65,99","65,99","17113,35"
2013-08-22,66,"66,3",65,"66,3","11491,98"
2013-08-23,"68,45","68,49","66,51","66,51","2354,05"
2013-08-26,"66,17","66,5",66,66,"1550,87"
2013-08-27,67,67,"65,11","65,6","3003,59"
2013-08-28,"65,59","65,99","65,2","65,23","21887,17"
2013-08-29,65,"66,55",65,"65,62","1324,68"
2013-08-30,65,66,65,66,"1845,34"
2013-09-02,"68,03","69,79","68,03","69,56","10046,95"
2013-09-03,70,"71,8","68,5","68,5","10323,49"
2013-09-04,"68,51","68,79","67,5","67,8","1787,3"
2013-09-05,"67,1","68,2",61,"65,99",12669
2013-09-06,"64,9","67,9","64,9","67,23","12219,19"
2013-09-09,"68,9","68,9",67,"67,51","3065,04"
2013-09-10,"67,6","68,79","67,6","68,79","1584,16"
2013-09-11,69,"70,45",69,"69,6","34766,99"
2013-09-12,"69,61","70,99","69,61","70,13","6441,62"
2013-09-13,"70,6","70,8","70,4","70,51","3310,86"
2013-09-16,70,"71,1",70,71,"21128,38"
2013-09-17,71,"71,8",71,"71,8","1927,28"
2013-09-18,"71,79",72,"71,79","71,96","26696,83"
2013-09-19,"72,6","73,98","72,5","72,5","6094,23"
2013-09-20,73,"73,8",71,"71,05","6865,83"
2013-09-23,"71,05","72,99","71,05","72,17","45280,82"
2013-09-24,"72,99","72,99",71,71,5507
2013-09-25,71,"71,99",71,"71,99","1466,37"
2013-09-26,"71,99",73,"71,8",73,"5488,22"
2013-09-27,"74,6","75,1","73,92","73,99","3956,98"
2013-09-30,"73,99","73,99","73,1","73,5","6779,62"
2013-10-01,"73,55","73,8","73,4","73,6","10407,99"
2013-10-02,"73,9","73,9","72,8",73,"1597,82"
2013-10-03,"72,9","73,5","72,83","73,5","3557,53"
2013-10-04,74,74,"72,8","73,35","1765,11"
2013-10-07,73,"73,4",73,"73,4","1172,76"
2013-10-08,"73,7","73,8",73,"73,4","1608,91"
2013-10-09,"73,2","73,2",72,"72,22","934,62"
2013-10-10,"72,22","73,4","72,22","73,2","25721,24"
2013-10-11,"73,64","73,64","73,1","73,6","2331,85"
2013-10-14,"73,6","73,65","73,5","73,6","1597,82"
2013-10-15,"73,4","74,38","73,4","73,9","16616,6"
2013-10-16,74,"74,5",74,"74,3","7297,71"
2013-10-17,74,"75,8","73,6","75,79","44543,37"
2013-10-18,"76,2","82,5","75,97",81,"46856,44"
2013-10-21,"81,1","81,47","80,23",81,"16241,04"
2013-10-22,"80,5","82,5","80,25","82,3","20744,29"
2013-10-23,83,"83,02","81,5",83,"3239,16"
2013-10-24,83,"85,99",82,"85,99","10571,87"
2013-10-25,86,"88,3",86,"87,5","23415,85"
2013-10-28,"87,7","88,75","87,7","88,5","3686,41"
2013-10-29,"88,52","89,46","88,2","88,5","9132,81"
2013-10-30,"88,6","88,6","82,5",84,"8517,41"
2013-10-31,"83,12","84,97","81,6","82,31","3653,98"
2013-11-04,"82,5","87,9","80,5","86,52","58739,34"
2013-11-05,"86,56","87,48",83,84,"6740,36"
2013-11-06,"84,25","84,95","83,5","84,95","21742,92"
2013-11-07,85,"85,95","84,6","85,4","12410,38"
2013-11-08,"85,3","85,94","84,8","85,5","1971,66"
2013-11-12,86,86,"84,2","84,2","901,33"
2013-11-13,85,"86,2","83,9",84,"4597,99"
2013-11-14,86,"87,15",86,86,"3216,97"
2013-11-15,86,"88,48",86,"88,4","15632,47"
2013-11-18,"88,4",90,"88,4","89,55","36368,22"
2013-11-19,92,92,"89,75","89,75","10384,09"
2013-11-20,"89,75","91,84","89,75","91,6","6305,91"
2013-11-21,"91,6","94,01","90,81","91,2","27648,52"
2013-11-22,"91,2",92,"89,5","90,5","10740,02"
2013-11-25,91,91,"89,01","89,5","22441,11"
2013-11-26,89,"89,6","88,66","89,6","1351,14"
2013-11-27,"89,6","89,6",89,"89,5","1736,09"
2013-11-28,"89,5","89,5","84,1","87,5","8061,63"
2013-11-29,"85,41","88,2","84,25","88,19","1310,17"
2013-12-02,"87,76","90,98","87,76","89,75","5773,3"
2013-12-03,90,90,85,"88,95","2984,81"
2013-12-04,"88,88","88,88","86,75",88,"1744,62"
2013-12-05,"87,9","89,9","86,75",87,"1413,45"
2013-12-06,87,"88,78",87,"88,4","1515,88"
2013-12-09,90,90,"87,25",88,"2115,06"
2013-12-10,"87,21","88,66","85,22",86,"4807,1"
2013-12-11,"86,49","86,49",82,82,"29524,59"
2013-12-12,"81,12",82,"80,2","80,23","4892,46"
2013-12-13,80,81,"78,2","79,9","30633,33"
2013-12-16,"79,9","79,9","78,5","79,3","28770,92"
2013-12-17,"79,99","83,26","78,3","78,6","21588,43"
2013-12-18,"78,8","81,2","78,5","80,56","5029,02"
2013-12-19,"83,49",85,81,81,"21590,14"
2013-12-20,83,"83,99","80,2","80,2","16681,46"
2013-12-23,"83,79","83,79","80,2","80,2","11363,95"
2013-12-27,"80,2","83,35","80,2","80,4","6540,63"
2013-12-30,81,"82,8","78,45","82,76","90717,84"
2014-01-02,"82,05","83,98","80,21","82,7","4725,16"
2014-01-03,"82,5","82,82","82,4","82,82","1064,36"
2014-01-07,"82,82","82,82","82,02","82,7","2820,08"
2014-01-08,"83,95","83,95","79,6","79,6","88079,57"
2014-01-09,"79,6","81,9","75,6",78,"177124,48"
2014-01-10,"77,95","77,95","77,04","77,5","2390,75"
2014-01-13,"77,1",80,"77,06","78,57","5788,67"
2014-01-14,"79,95","80,5","79,14","80,09","84857,48"
2014-01-15,"80,2","81,45","80,2","81,45","31675,49"
2014-01-16,"82,55",83,81,83,"56197,52"
2014-01-17,83,"83,53","82,62","82,72","1372,48"
2014-01-20,"82,5","82,72","81,57","82,72","46037,05"
2014-01-21,"81,41","84,5","81,41","84,05","5359,34"
2014-01-22,"84,01","85,31","84,01","84,99","22303,69"
2014-01-23,"84,99","85,25","84,5","84,99","3125,64"
2014-01-24,"84,95","84,99","84,5","84,8","3391,09"
2014-01-27,"84,79","84,8","84,05","84,49","49523,74"
2014-01-28,"84,4","84,89","83,11","84,16","5188,63"
2014-01-29,"84,16","84,69","83,7","83,74","3423,52"
2014-01-30,84,"84,04","80,8","81,65","5560,77"
2014-01-31,"81,66","82,4","81,15","82,4","9603,11"
2014-02-03,"81,51","82,4","81,2","82,4","2027,14"
2014-02-04,"82,4","82,4","80,8","80,99","7526,46"
2014-02-05,81,"83,83","80,41","81,5","42514,52"
2014-02-06,83,"83,69","82,5","82,68","2447,93"
2014-02-07,"82,68",83,"81,26","81,27","9237,8"
2014-02-10,"81,25",83,"80,95","81,31","19858,32"
2014-02-11,"81,3",82,"80,8",81,"46076,31"
2014-02-12,82,"82,65","81,81","82,54","7030,56"
2014-02-13,"82,7","83,5","82,7",83,"47340,4"
