Date,Open,High,Low,Close/Last,Volume
2013-04-15,"138,2","139,9",138,"139,49","340,39"
2013-04-17,138,"140,01","134,49","134,49","12062,56"
2013-04-18,"134,49","135,51",130,130,"3462,08"
2013-04-19,130,"132,4","127,6",130,"1375,25"
2013-04-22,130,"137,51",130,"137,51","67,85"
2013-04-23,130,137,130,136,"386,58"
2013-04-24,132,"132,3",132,"132,3","1315,39"
2013-04-25,"133,49","141,52","132,54","141,52","259,43"
2013-04-26,"141,52","141,52","135,2","140,01","123,73"
2013-04-29,139,"140,01",139,"140,01","29,65"
2013-04-30,"137,51","141,01",137,"141,01","179,6"
2013-05-02,"140,01","140,4",136,136,"156,23"
2013-05-06,136,"140,11",136,"140,11","2601,12"
2013-05-07,"140,5","140,5",138,"140,01","638,59"
2013-05-08,"139,29","140,01","137,51",139,"2219,68"
2013-05-09,"139,39","139,39","137,51","137,51","124,3"
2013-05-10,"137,51","138,56","137,51","137,51","489,78"
2013-05-13,137,"140,01",137,"140,01","868,94"
2013-05-14,"140,01","142,8","140,01","142,01","3229,45"
2013-05-15,"141,1","142,06","140,01","142,01","2646,74"
2013-05-16,"141,52","142,01","141,52","141,52","237,76"
2013-05-17,"142,01","143,99","141,66","143,99","7050,75"
2013-05-20,"145,01","148,39","145,01","146,51","1123,24"
2013-05-21,"146,51","147,09","146,51","147,09","906,57"
2013-05-22,"147,01","147,97","145,95","147,97","1844,51"
2013-05-23,"147,78",153,"146,9",151,"3259,67"
2013-05-24,"155,99","156,7",155,155,"6470,88"
2013-05-27,"155,99","155,99","154,5","155,58","5675,49"
2013-05-28,"155,58","155,99","155,39","155,7","917,98"
2013-05-29,"155,7","155,7","153,14",154,"757,76"
2013-05-31,"153,89","154,5","152,25","153,53","3734,63"
2013-06-03,153,153,"149,51","149,55","535,39"
2013-06-04,"149,01","152,81","149,01","151,95","1907,23"
2013-06-05,"153,5","155,51",153,"155,51","11516,33"
2013-06-06,"155,51","155,55",155,155,"155,66"
2013-06-07,155,155,"153,09",154,"328,99"
2013-06-10,"154,5","154,5",154,154,"678,5"
2013-06-11,154,154,"153,61",154,"793,68"
2013-06-12,154,154,"153,61",154,"1942,01"
2013-06-13,"156,11","164,01","156,11","163,7","6676,14"
2013-06-14,"167,99","169,02","163,41","163,5","4220,41"
2013-06-17,"165,3","165,3","163,41","164,95","1173,41"
2013-06-18,"165,02","166,9","164,5","166,8","10732,35"
2013-06-19,"166,99","166,99","163,5","164,95","1392,36"
