Date,Open,High,Low,Close/Last,Volume
2013-04-15,6100,6149,"5999,99",6100,"566,9"
2013-04-17,6100,"6140,01","6053,01","6090,51","2639,7"
2013-04-18,"6089,98","6110,11","6001,99","6005,11","236,13"
2013-04-19,"5999,99",6040,"5950,5","5999,99","275,64"
2013-04-22,"5999,99","5999,99","5953,01",5993,"209,49"
2013-04-23,"5954,01","5954,01","5851,1","5855,01","251,75"
2013-04-24,"5855,01","5855,01",5820,5820,"393,24"
2013-04-25,"5800,01",5820,"5749,99","5800,01","384,98"
2013-04-26,"5869,99",6150,"5850,3",6150,"1654,75"
2013-04-29,"6200,01",6500,6160,6350,"149,76"
2013-04-30,"6479,99","6479,99",6400,6400,"279,31"
2013-05-02,6400,"6450,01",6400,"6450,01","297,69"
2013-05-06,"6479,99","6549,97","6469,99","6549,97","618,35"
2013-05-07,6600,"6699,99","6599,01","6637,99","198,46"
2013-05-08,6650,6685,6650,6650,"491,56"
2013-05-09,"6699,99","6879,99","6699,99","6800,02","2139,87"
2013-05-10,"6800,05","7129,99","6800,02",7011,"1082,34"
2013-05-13,"7198,99",7357,"7012,5",7100,"3037,54"
2013-05-14,"7150,01","7249,3","7109,99",7129,"614,67"
2013-05-15,"7180,04","7220,98","6899,01","6899,01","670,72"
2013-05-16,"6849,94","6849,99",6600,"6800,02","1167,79"
2013-05-17,"6800,02","6800,02","6634,99",6685,"2047,99"
2013-05-20,6685,7025,6685,6920,"258,18"
2013-05-21,"6985,01","7015,01","6942,55","6985,01","187,43"
2013-05-22,7000,7000,"6701,11","6794,99","631,21"
2013-05-23,6848,6848,6600,6600,"1720,9"
2013-05-24,"6701,99","6832,95","6549,97","6549,97","1282,64"
2013-05-27,6559,"6749,99",6559,"6749,99","293,1"
2013-05-28,"6805,01",7000,"6720,98","6829,98","454,8"
2013-05-29,"6849,99","6849,99",6763,6763,"362,92"
2013-05-31,6760,"6849,94","6729,99","6729,99","116,69"
2013-06-03,"6735,05","6849,99","6735,05","6800,02","89,12"
2013-06-04,"6800,02",7000,"6749,99",7000,"777,3"
2013-06-05,"6920,49","7259,99","6912,51","7122,99","615,59"
2013-06-06,7230,7230,"7002,27","7037,19","341,79"
2013-06-07,7038,"7120,02",7038,7100,"1275,29"
2013-06-10,"7048,01",7100,"7001,55","7089,99","246,24"
2013-06-11,"7148,79","7180,01","7030,01","7156,01","678,07"
2013-06-12,"7200,02","7200,02","7150,01","7190,01","213,16"
2013-06-13,"7109,99","7160,01","7004,99","7030,25","817,73"
2013-06-14,"7200,02","7200,02","7012,21","7094,98","661,53"
2013-06-17,"7079,99",7138,"7079,99","7137,95","537,5"
2013-06-18,"7139,01","7169,99","7100,24","7120,02","729,52"
2013-06-19,7131,7168,"7100,05","7100,05","974,84"
2013-06-20,7100,7100,"6840,49","6900,99","885,72"
2013-06-21,"6807,99",7040,"6807,99","6902,01","1555,52"
2013-06-24,"6905,04","6999,94","6837,95","6905,04","486,96"
2013-06-25,"6840,02","6999,9","6840,02","6999,9","385,89"
2013-06-26,6900,"6916,5","6809,98","6879,99","211,32"
2013-06-27,"6879,01",6900,"6337,01","6520,01","1614,32"
2013-06-28,6500,"6679,94","6359,98","6549,97","1964,38"
2013-07-01,"6649,9","6749,99","6644,99","6695,01","792,92"
2013-07-02,"6749,89",7100,"6749,89",7045,"260,94"
2013-07-03,7045,7045,"6819,98","6949,99","152,52"
2013-07-04,"7038,99","7038,99",6900,"7029,9","90,04"
2013-07-05,"7031,01","7031,01",6877,"6949,99","4719,85"
2013-07-08,6900,6900,"6830,03","6830,03","224,19"
2013-07-09,"6819,98","6819,98","6581,01",6582,"609,16"
2013-07-10,"6609,99","6609,99",6270,6500,"3699,99"
2013-07-11,"6590,05","6800,02","6590,05","6666,02","546,68"
2013-07-12,"6819,98","6819,98",6711,6711,"145,17"
2013-07-15,"6749,99","6829,98","6699,99","6699,99","29,4"
2013-07-16,"6749,99","6749,99",6671,"6699,99","800,27"
2013-07-17,6675,6675,"6500,16","6500,16","459,4"
2013-07-18,6600,6617,"6556,99",6590,"852,64"
2013-07-19,6590,6600,"6501,01","6520,01","1154,93"
2013-07-22,"6501,01",6600,6500,6560,"1210,05"
2013-07-23,6570,"6845,01",6570,"6822,49","1166,87"
2013-07-24,6751,"6849,99","6749,99","6800,02","360,17"
2013-07-25,6900,6900,6801,"6849,99","712,07"
2013-07-26,"6844,96","6849,99",6715,"6800,02","1167,79"
2013-07-29,"6819,98",6999,"6819,98","6916,05","282,99"
2013-07-30,6999,"7089,99",6999,7040,"201,22"
2013-07-31,"7002,99","7002,99",6900,"6975,01","194,78"
2013-08-01,"6975,01","7200,02","6900,06","7200,02","550,36"
2013-08-02,7198,7300,"7195,02",7300,"570,57"
