Date,Open,High,Low,Close/Last,Volume
2013-04-15,"119,1","120,8","115,54","118,99","30463,67"
2013-04-17,"117,5","118,84","116,89",118,"49749,79"
2013-04-18,"117,2","119,45","117,14","118,3","76830,46"
2013-04-19,117,"118,9",117,"118,3","32739,22"
2013-04-22,"118,3","120,91","117,3",118,"29219,97"
2013-04-23,"119,4","119,4","117,1","117,4","25560,3"
2013-04-24,"117,4","118,5","116,75","117,5","65704,42"
2013-04-25,"117,8","118,4","116,75","117,5","27395,53"
2013-04-26,"117,05","117,86",117,"117,86",11465
2013-04-29,118,118,"116,55","117,75","22262,04"
2013-04-30,"117,75","117,75","116,19",117,"26106,97"
2013-05-02,117,"117,7","116,55",117,"10473,03"
2013-05-06,"117,5","117,5","116,81","117,14","28316,89"
2013-05-07,"117,1","117,95",117,"117,3","84380,74"
2013-05-08,"117,75","117,75","117,1","117,45","21903,97"
2013-05-09,"117,55","118,4","114,61","115,99","204106,91"
2013-05-10,"115,51","116,69",115,"115,9","137511,05"
2013-05-13,"115,9","116,05","115,75","115,8","95559,11"
2013-05-14,"115,99","117,45","115,3","117,45","197275,27"
2013-05-15,118,118,"115,51","116,35","104266,7"
2013-05-16,"116,3","118,95","115,99","118,5","77348,87"
2013-05-17,"117,14","121,5","117,14","120,09","216440,09"
2013-05-20,"120,09","120,75","119,63","120,6","16406,58"
2013-05-21,"120,6","121,69","118,9","118,9","90222,9"
2013-05-22,"118,79","119,85","117,45","119,85","41784,94"
2013-05-23,"117,34","118,4","117,25",118,"23047,97"
2013-05-24,118,"119,5",118,"118,99","21287,51"
2013-05-27,"119,63","123,86","119,63","123,59","59380,39"
2013-05-28,"123,59","126,01","122,5","126,01","41368,71"
2013-05-29,127,127,"123,15",127,"112783,2"
2013-05-31,"125,95","128,8","124,49","128,8","52391,73"
2013-06-03,"127,8","128,76","126,49","126,49","38870,5"
2013-06-04,"126,84","126,84","123,27","123,51","118638,66"
2013-06-05,"123,4",125,"122,5","122,89","68215,92"
2013-06-06,"122,89","123,51","121,4","121,4","27055,74"
2013-06-07,"121,4","121,91","120,4",121,"75199,6"
2013-06-10,"120,5","122,5","119,5","121,5","118675,21"
2013-06-11,"122,45","122,45","119,6","120,85","41913,71"
2013-06-12,"120,85","120,85","120,01","120,09","10867,66"
2013-06-13,"119,5","119,5","118,5","119,19","49352,67"
2013-06-14,"119,3","120,26","116,49","117,5","207469,15"
2013-06-17,118,"121,15","116,49","119,3","59456,83"
2013-06-18,"119,5","119,96","118,14","118,46","75085,78"
2013-06-19,"118,95","119,04","117,91","119,04","53328,87"
2013-06-20,"118,5","119,69",115,115,"144538,76"
2013-06-21,115,"115,26",110,115,"255968,59"
2013-06-24,112,"114,85",107,114,"63172,98"
2013-06-25,114,114,"112,1","112,9","52348,53"
2013-06-26,111,"111,55","105,1","105,8","142366,22"
2013-06-27,108,108,"97,2",100,"149454,58"
2013-06-28,98,"104,3",98,101,"107221,01"
2013-07-01,101,"102,95","99,2",102,"78078,31"
2013-07-02,"102,85",107,"100,05","105,01","178256,66"
2013-07-03,"104,5","107,6","102,5","106,15","52893,53"
2013-07-04,"106,5",107,"104,15","105,9","38571,42"
2013-07-05,"105,95","106,8","103,7","105,01","30171,23"
2013-07-08,"105,01","105,9","103,85","105,01","33368,14"
2013-07-09,"105,1","106,15","102,9",103,"33992,89"
2013-07-10,103,"106,5",103,"105,01","47529,9"
2013-07-11,"106,5","107,9","105,1","106,95","43220,56"
2013-07-12,"107,8","109,1","105,9","106,3","63839,28"
2013-07-15,"108,5","109,4","105,7","108,9","80982,78"
2013-07-16,"109,51","109,8","105,45","105,5","72862,57"
2013-07-17,"105,5","107,74","105,01","105,4","61834,57"
2013-07-18,"105,01","107,2",103,"105,01","43817,07"
2013-07-19,"105,25","106,5","100,35","102,15","119681,31"
2013-07-22,"103,35","103,35","100,5",101,"109427,61"
2013-07-23,"102,25","102,9","101,05","101,6","34304,44"
2013-07-24,103,"103,9",102,"103,35","46758,92"
2013-07-25,104,104,"101,9",104,"17726,72"
2013-07-26,"103,35",104,"101,9","101,9","12136,28"
2013-07-29,103,"104,2","101,95","104,2","20411,85"
2013-07-30,"104,2","105,35","102,4",103,"32667,77"
2013-07-31,"102,3","106,5","102,1","105,6","50515,79"
2013-08-01,"105,75","106,45","102,2","102,2","102443,1"
2013-08-02,"102,2","105,85","102,2","105,3","110554,17"
2013-08-05,"105,3","107,51","105,01","107,45","38438,49"
2013-08-06,108,108,"105,01",106,"60156,36"
2013-08-07,106,"108,8","105,01","108,8","27484,43"
2013-08-08,"108,5","109,4","107,15","107,2","47995,98"
2013-08-09,"107,2","108,35","105,4","105,4","28951,62"
2013-08-12,"105,95","107,9","105,5","107,9","52428,28"
2013-08-13,108,"108,45","107,15","107,25","25503,81"
2013-08-14,"107,25","109,2","107,1","109,2","44198,41"
