Date,Open,High,Low,Close/Last,Volume
2013-04-15,"346,2","351,81","345,1","345,2","11098,55"
2013-04-17,"351,2","352,3","340,11","340,11","39752,8"
2013-04-18,339,346,339,"341,01","39640,48"
2013-04-19,340,"351,4","339,25","342,99","18540,6"
2013-04-22,"348,16","349,8","340,11",345,"21813,73"
2013-04-23,348,348,339,345,"36269,88"
2013-04-24,347,347,"339,1",342,"20363,75"
2013-04-25,"342,5","345,06","339,36","339,36","14480,29"
2013-04-26,339,"342,99",339,339,"6651,15"
2013-04-29,"343,81","349,01","342,05","349,01","5338,56"
2013-04-30,"351,7","351,99","333,61","345,61","25712,52"
2013-05-02,"345,61","345,61","336,15",339,"8035,22"
2013-05-06,"341,95","345,8","339,06","345,8","10876,69"
2013-05-07,339,345,339,"344,79","11716,79"
2013-05-08,348,"350,8",345,"348,3","15983,18"
2013-05-09,"345,65","359,39","345,65",357,"30887,69"
2013-05-10,357,357,353,"354,5","10044,02"
2013-05-13,348,"352,9","344,05",350,"11917,44"
2013-05-14,352,366,"347,01","361,35","20224,11"
2013-05-15,"364,95","366,1","355,1",365,"52442,07"
2013-05-16,"365,8","365,8","350,99",360,"10104,41"
2013-05-17,"363,5",379,"354,2","370,1","20409,42"
2013-05-20,"374,1","377,99",367,371,"3822,83"
2013-05-21,"372,05","374,8","355,24",358,"19740,76"
2013-05-22,359,"366,55","355,1",361,"20567,03"
2013-05-23,"350,99","368,01",350,361,"33740,6"
2013-05-24,361,"365,5","356,09",365,"12218,33"
2013-05-27,367,"384,5",365,380,"24971,6"
2013-05-28,"384,9",398,"384,9","393,95","14218,58"
2013-05-29,"391,25","393,95","377,99","378,64","25257,21"
2013-05-31,380,"393,95",380,"393,95","53936,05"
2013-06-03,379,386,"377,79",381,"26010,88"
2013-06-04,385,"391,95","378,2","391,95","18427,32"
2013-06-05,"385,1",388,"382,24",388,"16439,49"
2013-06-06,382,388,382,"387,01","17283,91"
2013-06-07,"389,01","389,85",383,"389,01","19447,51"
2013-06-10,390,391,388,"390,04","32917,19"
2013-06-11,"391,8","391,8",390,390,"49327,07"
2013-06-12,390,"392,5","378,56",388,"27906,06"
2013-06-13,380,"387,6",379,384,"35241,26"
2013-06-14,"389,14","389,14","384,25","387,01","6195,62"
2013-06-17,"387,01","390,9","385,4",388,"50275,61"
2013-06-18,"389,14","394,95","385,8","392,1","21286,32"
2013-06-19,392,"393,95","387,05",390,"36726,64"
2013-06-20,"388,9",395,381,381,"72804,69"
2013-06-21,375,"389,01","355,1","368,01","89999,76"
2013-06-24,"368,01","384,2","368,01",375,"21309,25"
2013-06-25,"373,6","379,59","373,6","376,6","21085,72"
2013-06-26,"362,01",385,360,385,"34538,21"
2013-06-27,382,"385,35","368,06",375,"48569,57"
2013-06-28,374,"383,75",369,383,"65281,3"
2013-07-01,385,"388,2","375,29",380,"31942,86"
2013-07-02,"382,94",391,"374,8","390,2","36981,69"
2013-07-03,"389,14",398,"382,05","387,95","23043,94"
2013-07-04,"389,14","389,14","381,1","384,45","15139,42"
2013-07-05,388,388,383,"384,5","13335,95"
2013-07-08,386,386,381,"382,05","15169,99"
2013-07-09,385,385,"376,45","377,99","15801,4"
2013-07-10,375,"389,95","374,1",388,"31613,3"
2013-07-11,"390,8","391,51","381,15","387,34","30306,55"
2013-07-12,"383,2",388,383,"386,44","63668,88"
2013-07-15,"384,5",386,"382,1","384,5","25789,27"
2013-07-16,"388,16","388,16","384,56",386,"27215,43"
2013-07-17,"384,56",405,"384,56","401,9","80024,31"
2013-07-18,"397,6",400,"393,31",395,"8628,58"
2013-07-19,395,"399,8","391,7",395,"9326,86"
2013-07-22,"401,6","401,6","387,21",394,"6470,72"
2013-07-23,"399,8","399,8","393,85","396,01","11538,21"
2013-07-24,"397,71",401,"394,05",401,"24391,77"
2013-07-25,"398,25","411,8","396,01","411,8","12950,04"
2013-07-26,"405,35",415,"405,35","409,95","297992,27"
2013-07-29,"411,35",417,410,"414,31","28663,56"
2013-07-30,"417,8","423,99","414,26","423,01",13271
2013-07-31,"422,5","444,7",420,"431,79","57646,16"
2013-08-01,"435,01","469,25","435,01","440,1","48589,63"
2013-08-02,440,463,"436,4","445,51","39311,49"
2013-08-05,441,"475,01",441,"458,9","27768,51"
2013-08-06,"464,89","464,89","444,99","444,99","39986,84"
2013-08-07,"448,8","448,8","432,3","437,5","37822,29"
2013-08-08,"438,9","456,01","438,36",440,"29584,4"
2013-08-09,"441,96","444,25","437,5","438,5","9171,15"
2013-08-12,"426,25",444,"426,25",438,"16196,86"
2013-08-13,"439,51",448,438,"445,2","13129,62"
2013-08-14,"444,99","469,91","442,2",465,"26657,57"
2013-08-16,"457,35","465,5","457,35","463,99","20448,59"
2013-08-19,"463,5","463,99","451,56","463,99","32458,68"
2013-08-20,"455,2","459,09","446,85","450,45","32601,96"
2013-08-21,"451,1",457,449,452,"21183,16"
2013-08-22,"453,65","461,95","451,8","458,95","27318,59"
2013-08-23,455,"462,85","451,15",461,"15924,62"
2013-08-26,465,465,"460,89","463,99","8213,06"
2013-08-27,461,"461,2",441,449,"26432,14"
2013-08-28,"445,2",449,"435,01",440,"61090,71"
2013-08-29,443,"447,96","440,1",443,"26822,83"
2013-08-30,"444,99","444,99",441,442,"32356,47"
2013-09-02,"449,8","450,95","445,05","449,6","29157,41"
2013-09-03,"450,01",459,"450,01","453,2","24899,95"
2013-09-04,"453,85","459,85","426,2",428,"35638,64"
2013-09-05,"420,4","426,15","395,19",407,"83983,73"
2013-09-06,"406,21","421,6",406,"417,65","74762,91"
