Date,Open,High,Low,Close/Last,Volume
2013-04-15,"140,7","141,73","139,31","141,73","2573,14"
2013-04-17,"140,2","140,2","137,2","137,2","2835,12"
2013-04-18,138,138,"134,2",136,"3211,41"
2013-04-19,"134,7",140,"134,7","138,19","8943,4"
2013-04-22,"139,5","141,88","139,5","140,4","6145,83"
2013-04-23,"139,94",140,"138,5","138,79","13534,83"
2013-04-24,"139,89","139,89","136,71","137,05","1449,27"
2013-04-25,137,138,"136,49","137,51","543,16"
2013-04-26,"137,51","138,74","137,2","137,51","1475,97"
2013-04-29,"137,05","140,49","137,05","140,49","7069,45"
2013-04-30,"141,02","141,02","140,11","140,17","660,81"
2013-05-02,"140,98","140,98",140,140,"1804,7"
2013-05-06,140,"141,02","139,59",140,"4392,02"
2013-05-07,140,"141,02","139,5","139,5","3794,63"
2013-05-08,"141,4","141,5","139,2","141,02","21386,91"
2013-05-09,143,"144,3",140,140,"13013,34"
2013-05-10,140,"140,96","137,98","139,01","18744,4"
2013-05-13,"139,01","139,66","137,98","137,98","3682,12"
2013-05-14,"138,52","139,01","137,98","139,01","579,68"
2013-05-15,"139,01","139,48","138,52","138,55","16432,51"
2013-05-16,"138,84","138,84","135,15","137,43","12524,16"
2013-05-17,"137,01","137,01","135,5","136,68","1085,94"
2013-05-20,"135,75","136,5","133,29","133,29","8750,69"
2013-05-21,"133,25","134,5","130,21","134,5","25312,97"
2013-05-22,"134,5","138,52","134,05","138,52","2614,96"
2013-05-23,"138,3","139,01","136,1","137,98","48361,86"
2013-05-24,"138,52","139,48","138,52","139,48","1819,29"
2013-05-27,"139,48","139,71","137,55","139,48","1605,86"
2013-05-28,"139,81","141,19","139,48","141,15","5530,44"
2013-05-29,"141,51","141,51","139,01",140,"4303,63"
2013-05-31,"140,99","140,99","139,48","140,99","832,38"
2013-06-03,"140,62","140,62","139,01","139,81","1015,93"
2013-06-04,"139,25","141,31","138,6","141,31","2600,45"
2013-06-05,"141,4",143,"139,12","142,6","4085,93"
2013-06-06,"142,95",144,"141,85",144,"2923,16"
2013-06-07,144,"155,03",144,"152,99","12445,61"
2013-06-10,"155,99","157,92",154,"157,92","15229,61"
2013-06-11,"157,92","158,81","156,99","158,49","10642,55"
2013-06-12,159,"168,19","158,81","165,49","16197,74"
2013-06-13,"165,31",166,"161,7","162,6","8765,2"
2013-06-14,"163,95","164,91","162,7","164,91","2398,12"
2013-06-17,"166,61","166,61",162,164,"1389,01"
2013-06-18,164,"164,5",159,164,"5340,91"
2013-06-19,162,"164,99",162,164,"3046,09"
2013-06-20,"163,91","163,91","157,21","159,06","5922,3"
2013-06-21,"157,45","159,9","155,03","159,9","4102,15"
2013-06-24,"157,54","162,96","157,54",161,"2865,1"
2013-06-25,"160,09","162,99","160,09","162,99","4784,28"
2013-06-26,"162,99","162,99",160,"162,96","1630,62"
2013-06-27,"163,4","163,5","160,09","160,51","4201,18"
2013-06-28,"160,51","164,99",159,"164,99","6195,49"
2013-07-01,166,168,164,166,"15304,74"
2013-07-02,"164,5","167,7","164,5","166,51","4376,2"
2013-07-03,167,"167,48","166,14",167,"8110,4"
2013-07-04,"167,48","167,48","166,51","167,34","659,08"
2013-07-05,"167,7","167,7",166,166,"5970,1"
2013-07-08,166,"166,89","162,51","164,99","1756,97"
2013-07-09,"164,99","164,99","162,99","162,99","506,26"
2013-07-10,"162,51","162,99",159,"162,99","4097,88"
2013-07-11,164,"165,31","162,85","165,31","2121,51"
2013-07-12,166,"167,48","165,31","167,48","11486,88"
2013-07-15,"167,81","167,81","165,1","165,81","776,04"
2013-07-16,"164,99","166,51","164,99","166,51","814,45"
2013-07-17,"166,51","167,81","166,51","167,81","14746,41"
2013-07-18,168,"175,58","167,81","175,1","5362,25"
2013-07-19,"175,1","175,79","173,7","174,93","2901,81"
2013-07-22,"174,4","176,51","173,7","176,45","1837,22"
2013-07-23,"176,33","178,51","176,19","178,51","3114,39"
2013-07-24,"179,91","184,51","179,31","183,81","4488,89"
2013-07-25,"183,99","183,99","180,01",182,"3420,88"
2013-07-26,"185,2","186,02","184,11","184,9",1249
2013-07-29,185,"186,02","181,59","183,99","1972,11"
2013-07-30,"183,85","183,85",182,182,"573,7"
2013-07-31,"180,9","180,9","172,2","176,79","6770,9"
2013-08-01,"174,99","178,41","173,59","177,36","1753,55"
2013-08-02,"179,95","181,89","178,99","181,8","2281,16"
2013-08-05,"180,01","183,01","180,01","183,01","3122,08"
2013-08-06,"183,44","186,5","181,84","186,5","2089,92"
2013-08-07,"186,5","192,76","186,5",191,"6715,41"
2013-08-08,193,"200,99","192,01","200,99","10255,81"
2013-08-09,"200,99",210,"200,99","209,19","9739,3"
2013-08-12,"209,51","209,51","196,98","198,99","7851,72"
2013-08-13,"198,72","203,7","198,72","199,53","3610,41"
2013-08-14,"200,01","203,79","200,01","203,79","4527,31"
2013-08-16,"203,79","204,9","200,04","202,59","1629,76"
2013-08-19,"203,7","203,7","198,01",202,"6467,83"
2013-08-20,"196,5","200,99","191,16","199,53","10383,87"
