Date,Open,High,Low,Close/Last,Volume
2013-04-15,"157,1","159,78","153,61","155,9","166452,65"
2013-04-17,"159,91","159,91","152,71","153,01","385338,9"
2013-04-18,"153,2","154,8","153,01","153,01","480711,54"
2013-04-19,"154,51",155,"153,1","154,89","459725,28"
2013-04-22,"154,89","154,89","153,1","153,41","387140,59"
2013-04-23,"153,16","156,01","152,49","155,81","591795,47"
2013-04-24,"155,5","156,1","152,41",155,"807864,01"
2013-04-25,"156,01","156,01","151,21","151,21","395990,37"
2013-04-26,"152,01","153,99","151,45","153,01","304142,41"
2013-04-29,"153,01","153,41","151,21","152,01","141866,83"
2013-04-30,"150,11","152,22","150,11","151,51","802594,76"
2013-05-02,"152,49","152,49","148,2","148,3","530515,27"
2013-05-06,"149,96","150,52","149,31","149,91","348152,05"
2013-05-07,"150,7","153,1","149,19","150,56","1447175,41"
2013-05-08,"151,85",155,"151,51","154,89","463280,42"
2013-05-09,"154,89","154,89","150,64","150,64","549749,34"
2013-05-10,"150,79","152,29","149,51","150,7","324679,35"
2013-05-13,"150,11","154,51","150,11","153,99","903169,38"
2013-05-14,"153,61","158,19","153,61","157,89","499905,63"
2013-05-15,"158,49","161,01","158,36","159,99","782972,3"
2013-05-16,"161,01","161,15","158,99","161,15","337475,84"
2013-05-17,"160,51","163,11","160,16","160,55","335570,71"
2013-05-20,"161,84","163,11","160,25","160,25","273476,29"
2013-05-21,"161,96","161,96","158,69","158,99","549949,25"
2013-05-22,"160,9","160,9","156,99","158,65","206411,52"
2013-05-23,"156,99","160,9","156,36","160,6","290225,18"
2013-05-24,"160,16",163,"159,31","161,99","300931,86"
2013-05-27,"161,99","165,97","161,55","165,39",296876
2013-05-28,"165,91","167,96","164,98","166,49","686161,61"
2013-05-29,"166,1","166,9","163,17","165,52","354136,52"
2013-05-31,163,"167,01",163,"166,24","594372,67"
2013-06-03,"162,49","165,19","162,49",164,"319104,85"
2013-06-04,"164,04","167,01","164,04","167,01","313783,56"
