Date,Open,High,Low,Close/Last,Volume
2013-04-15,28,28,"27,25","27,99","302,74"
2013-04-17,"27,99","27,99","27,2","27,2","872,43"
2013-04-18,"27,2","27,2","26,01","27,1","124,77"
2013-04-19,27,27,"26,06","26,79","668,34"
2013-04-22,"27,4","27,4","25,45","26,34","869,52"
2013-04-23,"26,39","26,39","24,5","25,34","735,08"
2013-04-24,"25,2","25,35","25,13","25,35","180,87"
2013-04-25,"25,35","25,35","23,3","23,87","1132,61"
2013-04-26,"23,87","24,49","22,8","24,49","1665,54"
2013-04-29,"24,49","24,49","23,23","24,4","3851,44"
2013-04-30,"24,49","24,95","24,2","24,3","205,05"
2013-05-02,"24,31","24,9","24,31","24,9","211,82"
2013-05-06,25,25,25,25,"22,25"
2013-05-07,25,25,25,25,"8,7"
2013-05-08,25,25,25,25,"1,93"
2013-05-09,25,25,"24,31",25,"128,64"
2013-05-10,"24,9","24,9","24,4","24,8","118,97"
2013-05-13,"24,7","24,9","24,19","24,2","1172,26"
2013-05-14,"24,2","24,8","24,2","24,8","313,38"
2013-05-15,24,"24,79",24,"24,79","637,39"
2013-05-16,"24,79","24,79","24,79","24,79",0
2013-05-17,"24,5","24,5","24,24","24,24","29,02"
2013-05-20,"24,5","24,5","23,15","23,3","833,74"
2013-05-21,"23,5","23,9","23,2","23,9","188,61"
2013-05-22,"23,89","23,99","23,89","23,99","611,28"
2013-05-23,"23,99","23,99","23,99","23,99","0,97"
2013-05-24,"23,99","23,99","23,99","23,99","1,93"
2013-05-27,"23,99","24,7","23,99","24,7","230,2"
2013-05-28,"24,21","24,7","24,21","24,65","732,18"
2013-05-29,"24,65","24,65","24,65","24,65","42,56"
2013-05-31,"24,64",25,"24,25","24,8","863,72"
2013-06-03,"25,2","25,2","24,8","24,8","403,33"
2013-06-04,"24,8","24,8","24,25","24,4","230,2"
2013-06-05,"24,8",25,"24,3",25,"114,13"
2013-06-06,25,"25,2","24,52",25,"510,69"
2013-06-07,"25,2","25,49","25,2","25,49","1166,46"
2013-06-10,"24,9","25,92","24,9","25,9","375,28"
2013-06-11,"25,92","26,2","25,35","26,2","1421,8"
2013-06-12,"26,2","27,16","26,2","27,16","730,25"
2013-06-13,"27,32","27,32","26,5",27,"6830,46"
2013-06-14,"26,1",27,"26,1",27,"4087,44"
2013-06-17,"27,32","27,32","27,3","27,3","112,2"
2013-06-18,"27,3","27,3","26,5","26,5","46,43"
2013-06-19,"26,5","26,7","26,45","26,7","151,85"
2013-06-20,"26,6","26,7","25,48","26,65","1487,57"
2013-06-21,"26,65","26,65","25,48","25,55","481,67"
