Date,Open,High,Low,Close/Last,Volume
2013-04-15,"16,74","16,97","16,42","16,73","888391,44"
2013-04-17,"16,75","16,75","16,01","16,41","3495118,8"
2013-04-18,"16,38","16,55","16,06","16,24","2891669,83"
2013-04-19,"16,3","16,39","16,01","16,25","1275672,54"
2013-04-22,"16,35","16,37","16,03","16,2","1215096,31"
2013-04-23,"16,15","16,2","15,72","15,96","3571673,44"
2013-04-24,"15,87","16,17","15,62","16,15","2865302,69"
2013-04-25,"16,01","16,33","15,96","16,28","2835639,97"
2013-04-26,"16,22","16,38","16,03","16,19","1708816,48"
2013-04-29,"16,25","16,51","16,03","16,51","1416161,74"
2013-04-30,"16,52","16,58","16,11","16,41","1760599,48"
2013-05-02,"16,45","16,97","16,3","16,65","3722725,39"
2013-05-06,"16,71","16,96","16,5","16,96","1665338,1"
2013-05-07,"16,77","17,15","16,65","17,04","1846364,01"
2013-05-08,"17,04","17,1","16,77","17,02","1228712,01"
2013-05-09,17,"17,18","16,62","16,65","1856883,25"
2013-05-10,"16,56","16,94","16,56","16,81","1284600,47"
2013-05-13,"16,71",17,"16,66","16,8","863810,55"
2013-05-14,"16,89","17,05","16,57","17,05","2502719,6"
2013-05-15,"17,1","17,15","16,88","17,1","1959362,45"
2013-05-16,"17,1","17,48","16,92","17,48","2952179,97"
2013-05-17,"17,48","17,48","17,13","17,3","1052419,89"
2013-05-20,"17,2","17,42","16,8","16,8","1088479,66"
2013-05-21,"16,81",17,"16,55","16,79","1370001,89"
2013-05-22,"16,84","17,15","16,71","16,93","3716412,01"
2013-05-23,"16,85","16,89","16,32","16,42","4218638,44"
2013-05-24,"16,49","16,91","16,47","16,5","2146039,11"
2013-05-27,"16,75","17,15","16,75","17,15","3084244,9"
2013-05-28,"17,15","17,5","17,15","17,4","1823921,61"
2013-05-29,"17,4","17,74","17,35","17,64","1836861,3"
2013-05-31,"17,6","18,19","17,34","18,1","5568408,37"
2013-06-03,"17,72","18,09","17,68","17,79","5489856,63"
2013-06-04,"17,94","18,36","17,84","18,01","3095038,57"
2013-06-05,"18,11","18,5","18,02","18,4","4738017,94"
2013-06-06,"18,39","18,4","17,12","17,54","5411565,93"
2013-06-07,"17,29","17,99","17,29","17,61","4852857,02"
2013-06-10,"17,65","17,99","17,5","17,99","4107857,97"
2013-06-11,"17,9","18,18","17,75","17,8","3116428,46"
2013-06-12,"17,8","17,9","17,4","17,4","1530631,01"
2013-06-13,"17,4","17,62","17,17","17,59","4062789,95"
2013-06-14,"17,69","17,92","17,6","17,7","4382852,63"
2013-06-17,"17,7","17,75","17,51","17,52","4264902,87"
2013-06-18,"17,52","17,71","17,52","17,59","2340689,08"
2013-06-19,"17,59","17,97","17,45","17,9","3431563,24"
2013-06-20,"17,7","18,07","17,58","17,6","7135570,19"
2013-06-21,"17,45","17,68","16,41","16,99","21060521,7"
2013-06-24,"16,7","16,95","16,59","16,61","1649403,2"
2013-06-25,"16,79","16,79","16,06","16,26","3337509,99"
2013-06-26,16,"16,7","15,72",16,"4172623,33"
2013-06-27,"16,1","16,27","14,05","14,7","7640006,22"
2013-06-28,"14,7","15,4","14,15","15,4","6475996,82"
2013-07-01,"15,4","15,59","15,12","15,23","2170188,28"
2013-07-02,"15,31","15,88","14,85","15,42","3830055,5"
2013-07-03,"15,4","15,49","15,05","15,3","1802009,65"
2013-07-04,"15,4","15,82","15,13","15,56","2031971,43"
2013-07-05,"15,69","15,73","15,28","15,41","2990420,06"
2013-07-08,"15,49","15,49","14,7","14,7","2253019,5"
2013-07-09,"14,86","14,86","14,26","14,57","3708665,43"
2013-07-10,"14,57","14,93","14,43","14,91","1856124,41"
2013-07-11,"14,95","15,34","14,95",15,"1920929,09"
2013-07-12,"14,85","14,9","14,35","14,5","6062463,2"
2013-07-15,"14,4","14,68","14,13","14,4","2947140,8"
2013-07-16,"14,47","14,64","14,31","14,63","3866936,03"
2013-07-17,"14,57","15,14","14,42","15,05","3448701,26"
2013-07-18,"15,2","15,2","14,83",15,"1701832,1"
2013-07-19,"14,95","15,25","14,79","15,07","2921468,09"
2013-07-22,"15,14","15,14","14,8","15,05","1263403,01"
2013-07-23,"15,1","15,18","14,92","15,18","1058657,98"
2013-07-24,"15,18","15,2","14,94","15,2","984210,03"
2013-07-25,"15,18","15,18","14,86","15,14","1996087,36"
2013-07-26,15,"15,08","14,96","14,99","1015082,55"
2013-07-29,15,"15,25","14,98","15,25","746064,94"
2013-07-30,"15,25","15,28","15,11","15,25","958856,08"
2013-07-31,"15,25","15,28","15,02","15,13","2115385,79"
2013-08-01,"15,28","15,57","15,14","15,39","1705504,17"
2013-08-02,"15,53","15,95","15,49","15,87","3345981,95"
2013-08-05,"15,95","16,05","15,75",16,"1536929,34"
2013-08-06,"15,98","16,05","15,77","15,84","1658769,53"
2013-08-07,"15,9","15,9","15,55","15,7","1322781,99"
2013-08-08,"15,75","15,95","15,56","15,56","1552440,06"
2013-08-09,"15,66","15,77","15,06","15,12","2367260,36"
2013-08-12,"15,12","15,4","14,99","15,4","2273274,04"
2013-08-13,"15,35","15,59","15,25","15,59","1675311,01"
2013-08-14,"15,5","15,85","15,42","15,65","1455640,91"
2013-08-16,"15,64","15,9","15,56","15,62","964669,15"
2013-08-19,"15,65","15,77","15,45","15,77","1071334,95"
2013-08-20,"15,6","15,69","15,22","15,34","2673975,91"
2013-08-21,"15,45","15,48","15,21","15,21","2207841,04"
2013-08-22,"15,21","15,68","15,19","15,68","2512034,91"
2013-08-23,"15,55","15,84","15,47","15,52","1887256,29"
2013-08-26,"15,55","15,75","15,51","15,51","1059181,72"
2013-08-27,"15,5","15,65","15,36","15,36","3045447,6"
2013-08-28,"15,62","15,82","15,52","15,78","2528824,87"
2013-08-29,"15,9","16,25","15,9","16,2","3900800,42"
2013-08-30,"16,25","16,99","16,25","16,99","7799298,38"
2013-09-02,17,"17,33","16,91","17,14","3187862,78"
2013-09-03,"16,31","16,36","16,06","16,1","13347943,05"
2013-09-04,"16,1","16,47","15,77",16,"4441287,75"
2013-09-05,"15,85","15,95","15,11","15,6","4288647,84"
2013-09-06,"15,55","16,25","15,33","16,04","7848813,11"
2013-09-09,"16,1","16,25","15,8","16,11","3969616,2"
2013-09-10,"16,25","16,46","15,9","16,46","5103297,84"
2013-09-11,"16,42","16,48","16,06","16,48","3601213,77"
2013-09-12,"16,48","16,89","16,4","16,89","4608510,13"
2013-09-13,"16,72","17,28","16,68","17,04","4554075,35"
2013-09-16,"17,16","17,19","16,87","16,9","2316368,52"
2013-09-17,"16,89","16,99","16,61","16,93","2054270,63"
2013-09-18,"16,72","16,99","16,68","16,98","1513150,2"
2013-09-19,"17,2","17,4","17,01","17,39","3561539,39"
2013-09-20,"17,3","17,6","17,06","17,6","3844695,77"
2013-09-23,"17,49","17,77","17,22","17,77","3200209,31"
2013-09-24,"17,66",18,"17,42","17,65","4273598,52"
2013-09-25,"17,52","17,77","17,14","17,35","3600956,56"
2013-09-26,"17,5","17,65","17,21","17,21","1029716,65"
2013-09-27,"17,25","17,41","16,86","17,05","2223750,63"
2013-09-30,"16,95","16,99","16,63","16,64","2062156,88"
2013-10-01,"16,51","16,96","16,51","16,96","2584517,85"
2013-10-02,"16,9","17,26","16,72","17,2","2293787,92"
2013-10-03,"17,26","17,27","17,04","17,19",1377575
2013-10-04,"17,12","17,2","16,99","16,99","974496,14"
2013-10-07,"16,98","17,08","16,72","16,77","1881550,86"
2013-10-08,"16,71","16,89","16,61","16,8","2304612,69"
2013-10-09,"16,8","17,05","16,63","16,99","2212123,41"
2013-10-10,"17,05","17,49","16,94","17,25","3055542,86"
2013-10-11,"17,4","17,49","17,28","17,45","2178567,42"
2013-10-14,"17,43","17,75","17,36","17,7","1860058,11"
2013-10-15,"17,84",18,"17,57","17,75","2617399,11"
2013-10-16,"17,7","17,96","17,56","17,9","2322260,53"
2013-10-17,"17,83","17,89","17,55","17,55","1465894,34"
2013-10-18,"17,6","17,7","17,32","17,66","1838877,19"
2013-10-21,"17,66","18,18","17,61","18,18","2095963,04"
2013-10-22,"18,2","18,98","18,2","18,75","4532124,56"
2013-10-23,"18,52","18,81","18,52","18,8","1690624,8"
2013-10-24,"18,69","18,95","18,61","18,95","1697566,78"
2013-10-25,"18,9","19,05","18,67","18,8","1567405,29"
2013-10-28,"18,77","18,89","18,45","18,57","2107326,01"
2013-10-29,"18,45","18,56","17,6","18,2","2973597,36"
2013-10-30,"18,3","18,75","18,1","18,56","3329995,56"
2013-10-31,"18,4","18,6",18,18,"2141704,71"
2013-11-04,"18,02","18,59","17,95","18,45","2362618,45"
2013-11-05,"18,5","18,6","17,74","17,74","2748909,18"
2013-11-06,"17,85","17,98","17,56","17,88","1259970,92"
2013-11-07,"17,76","18,2","17,58",18,"1863372,75"
2013-11-08,"17,72","17,85","17,48","17,83","1620564,61"
2013-11-12,"17,95","18,32","17,76","18,01","2201074,9"
2013-11-13,"18,21","18,48","18,05","18,16","3169579,5"
2013-11-14,"18,4","18,4",18,"18,3","1052371,24"
2013-11-15,"18,23","18,6","18,22","18,6","1180353,5"
2013-11-18,"18,6","19,51","18,57","19,4","2921602,53"
2013-11-19,"19,02","19,18","18,53","18,93","3673610,86"
2013-11-20,"18,8","18,86","18,35","18,7","3171346,49"
2013-11-21,"18,54","18,7","18,25","18,42","1688004,27"
2013-11-22,"18,42","18,63","18,3","18,39","1457447,87"
2013-11-25,"18,62","18,79","18,53","18,75","2346953,4"
2013-11-26,"18,55","18,75","18,25","18,25","2964689,32"
2013-11-27,"18,4","18,67","18,3","18,55","962134,29"
2013-11-28,"18,55","18,64","18,45","18,59","766509,77"
2013-11-29,"18,58","18,74","18,53","18,72","921895,29"
2013-12-02,"18,72","18,8","18,28","18,32","1752713,29"
2013-12-03,"18,32","18,57","18,11","18,45","1580832,97"
2013-12-04,"18,45","18,55","18,09","18,12","1745944,84"
2013-12-05,"18,27","18,27","17,77","17,8","1021673,6"
2013-12-06,"17,89","17,89","17,32","17,37","2704336,39"
2013-12-09,"17,6","17,7","17,1","17,15","1324269,47"
2013-12-10,"17,03","17,3","16,75","17,3","2689716,04"
2013-12-11,"17,18","17,33","16,76","16,78","2563738,59"
2013-12-12,"16,78","16,95","16,62","16,9","2135289,48"
2013-12-13,"17,06","17,06","16,62","16,89","1986164,17"
2013-12-16,"16,85","17,26","16,66","17,26","2489050,41"
2013-12-17,"17,26","17,26","16,72","16,72","2101316,85"
2013-12-18,"16,76","17,35","16,56","17,2","2998569,46"
2013-12-19,"17,2","17,29","16,72",17,"2259588,03"
2013-12-20,"16,9","17,35","16,82","17,27","6001560,79"
2013-12-23,"17,26","17,34","16,89",17,"1884720,16"
2013-12-27,"17,11","17,11","16,53","16,53","1432022,12"
2013-12-30,"16,48","16,66","16,22","16,28","1053178,1"
2014-01-02,"16,31","16,33","16,02","16,14","1130780,13"
2014-01-03,"16,2","16,41","16,15","16,16","1477207,98"
2014-01-07,"16,05","16,28","15,66","16,01","3053996,97"
2014-01-08,"16,1","16,22","15,72","15,89","1947804,9"
2014-01-09,16,"16,11","15,79","16,03","1493485,21"
2014-01-10,"15,91","15,97","15,67","15,74","4615622,12"
2014-01-13,"15,82","16,34","15,82","16,29","2094955,35"
2014-01-14,"16,01","16,6",16,"16,55","2496668,89"
2014-01-15,"16,65","16,8","16,29","16,4","2230271,57"
2014-01-16,"16,5","16,87","16,32","16,74","1519655,28"
2014-01-17,"16,74","16,74","16,45","16,55","2581612,81"
2014-01-20,"16,48","16,98","16,42","16,95",1226370
2014-01-21,"16,99","17,39","16,85","16,95","1617324,84"
2014-01-22,"17,08","17,32","16,89","17,1","2270160,87"
2014-01-23,"17,11","17,36","16,75","16,8","2007447,27"
2014-01-24,"16,9","17,08","16,37","16,6","3378852,8"
2014-01-27,"16,47","16,71","16,12","16,5","2761108,08"
2014-01-28,"16,64","16,66","16,1","16,1","3454764,48"
2014-01-29,"16,25","16,29","15,82",16,"3056108,37"
2014-01-30,16,"16,35","15,6","16,12","2771700,3"
2014-01-31,"16,2","16,67","16,13","16,5","4017248,18"
2014-02-03,"16,6","16,99","16,6","16,8","1799834,38"
2014-02-04,"16,69","17,16","16,63","16,76","2314516,97"
2014-02-05,"16,71","17,13","16,66","17,05","3094639,4"
2014-02-06,"16,94","17,34","16,94","17,22","2175376,98"
2014-02-07,"17,12","17,26","16,86","16,99","1873924,46"
2014-02-10,"17,08","17,19","16,76","17,11","1173449,4"
2014-02-11,"17,11","17,88","17,02","17,88","2847016,53"
2014-02-12,"17,89","18,51","17,89","18,14","4730861,12"
2014-02-13,"18,14","18,58","17,95","18,55","2799122,93"
2014-02-14,"18,5","18,6","18,24","18,5","3099718,38"
2014-02-17,"18,36","18,7","18,27","18,55","1501214,67"
2014-02-18,"18,69","18,89","18,3","18,45","2769977,36"
2014-02-19,"17,81","18,61","17,81","18,5","3929965,6"
2014-02-20,"18,26","18,79","18,15","18,41","2494014,89"
2014-02-21,"18,67","18,79","18,46","18,47","1829866,97"
2014-02-24,"18,47","18,8","18,31","18,7","1581901,44"
2014-02-25,"18,54","18,86","18,24","18,36","2123832,26"
2014-02-26,"18,48","18,49","17,92","18,04","3686169,14"
2014-02-27,"18,04","18,47","17,91","18,02","1266643,36"
2014-02-28,"18,28","18,5","18,2","18,42","2673780,58"
2014-03-03,"18,02","18,42","17,9","17,9","3304922,15"
2014-03-04,"18,2","18,44","18,13","18,18","2772663,07"
2014-03-05,"18,03","18,5","18,03","18,35","3270909,88"
2014-03-06,"18,42","18,92","18,31","18,8","6883008,32"
2014-03-07,"18,73","18,85","18,6","18,63","3551151,52"
2014-03-10,"18,55","18,74","18,19","18,19","2269560,13"
2014-03-11,"18,35","18,88","18,15","18,85","2896407,56"
2014-03-12,"18,52","18,85","18,44","18,59","3570292,4"
2014-03-13,"18,84","18,94","18,72","18,88","5020465,32"
2014-03-14,"18,61","18,88","18,15","18,6","3192519,49"
2014-03-17,"18,62","18,74","18,29","18,7","2519758,62"
2014-03-18,"18,6","18,76","18,33","18,7","4308570,92"
2014-03-19,"18,7","18,79","18,3","18,5","2686156,52"
2014-03-20,"18,38","18,78","18,25","18,7","3565303,26"
2014-03-21,"18,7","18,84","18,41","18,45","5323624,93"
2014-03-24,"18,5","18,58","18,33","18,4","931015,61"
2014-03-25,"18,45","18,98","18,45","18,98","2317621,97"
2014-03-26,"18,98","19,48","18,97","19,25","3142916,16"
2014-03-27,"19,24","19,51","18,9","19,51","4553692,18"
2014-03-28,"19,5","19,58","19,14","19,2","3487407,91"
2014-03-31,"19,33","19,33","18,69","18,9","3683069,43"
2014-04-01,"18,93","19,39","18,68","19,38","3401904,65"
2014-04-02,"19,38","19,9","19,31","19,71","7145706,06"
2014-04-03,"19,76","19,93","19,55","19,84","3194644,98"
2014-04-04,"19,77",20,"19,62",20,"1998453,79"
2014-04-07,"19,95","19,96","19,27","19,4","3201127,16"
2014-04-08,"19,4","19,7","18,92","19,5","3737415,25"
2014-04-09,"19,55","19,6","19,24","19,26","2089824,39"
2014-04-10,"19,45","19,57","19,19","19,41","4225321,75"
2014-04-11,"19,25","19,6","19,21","19,6","4876922,84"
2014-04-14,"19,55","19,75","19,35","19,57","2781928,74"
2014-04-15,"19,61","19,87","19,55","19,7","3228708,34"
2014-04-16,"19,7","20,05","19,61","20,04","3563308,14"
2014-04-17,"20,01","20,18","19,91","20,18","2617673,06"
2014-04-22,"20,05","20,18",20,20,"1741619,86"
2014-04-23,20,"20,07","19,85",20,"2260584,27"
2014-04-24,"19,99","20,52","19,91","20,5","3871684,14"
2014-04-25,"20,41","20,78","20,41","20,65","2942656,61"
2014-04-28,"20,65","20,89","20,42","20,5","2249920,7"
2014-04-29,"20,5","20,7","20,37","20,56","3268563,29"
2014-04-30,"20,69",21,"20,45",21,"5054882,79"
2014-05-02,"20,76",21,"20,76",21,"2262417,32"
2014-05-05,"20,93","20,99","20,71","20,86","1250898,16"
2014-05-06,"20,81","20,97","20,22","20,3","5140288,27"
2014-05-07,"20,14","20,24","19,5","19,65","7319005,43"
2014-05-08,"19,74","20,2","19,65","20,15","3741393,17"
2014-05-09,"20,19","20,58","20,08","20,08","3638964,37"
2014-05-12,"20,3","20,45",20,"20,4","1881568,48"
2014-05-13,"20,5","21,18","20,46","20,8","5757214,68"
2014-05-14,"20,51","20,94","20,25","20,94","3113743,28"
2014-05-15,"20,81","21,13","20,5","20,5","2310274,8"
2014-05-16,"20,51","21,06","20,51","21,06","1717346,27"
2014-05-19,"21,01","21,66",21,"21,5","3233730,07"
