Date,Open,High,Low,Close/Last,Volume
2013-04-15,"51,3","51,3","49,5","50,2","905844,31"
2013-04-17,"50,8","50,8","49,24",50,"1806186,92"
2013-04-18,50,"50,2","48,44","48,44","1702114,77"
2013-04-19,"48,6","48,9","47,22","47,5","1458222,89"
2013-04-22,"47,65","48,19","46,81","47,5","1051212,22"
2013-04-23,"47,5","47,7","47,2","47,61","1424184,28"
2013-04-24,"48,01","49,9",48,"49,7","1216620,13"
2013-04-25,"49,9","49,95","48,5","49,24","970929,32"
2013-04-26,"49,95","49,95","48,59","48,7","681829,77"
2013-04-29,"49,1","49,85","48,41","49,1","409621,35"
2013-04-30,"49,92","49,92","48,5",49,"771757,14"
2013-05-02,"49,24","49,24",47,47,"953796,84"
2013-05-06,"47,88","47,94","47,1","47,24","802109,46"
2013-05-07,"47,35","48,44","47,35","48,16","1618155,32"
2013-05-08,"48,16","48,91","47,9","48,91","736464,54"
2013-05-09,"48,95","49,18",48,"48,7","520992,63"
2013-05-10,"48,7","48,7",48,"48,32","341967,63"
2013-05-13,"48,32","48,8","47,61","48,8","721558,22"
2013-05-14,"48,8","49,92","48,52","49,5","832464,03"
2013-05-15,"49,8","51,2","49,32","51,2","1716591,6"
2013-05-16,"51,2","51,65","50,5","51,2","713882,82"
2013-05-17,"50,8","52,18","50,8","51,61","392611,04"
2013-05-20,52,"52,35","51,61","51,7","409758,52"
2013-05-21,"51,4","51,66","50,6","50,8","751906,04"
2013-05-22,"50,7","51,95","50,41","51,4","996254,4"
2013-05-23,"50,35","51,26",50,"50,85","1879831,8"
2013-05-24,"50,7","51,95","50,54","51,5","449920,21"
2013-05-27,"51,8","54,49","51,8","54,49","722241,81"
2013-05-28,"54,05","54,67","53,7","53,88","1169462,13"
2013-05-29,"53,8","54,68","53,04","53,04","661312,31"
2013-05-31,"53,11","54,3","52,35",53,"1946514,85"
2013-06-03,"52,21","52,99","52,03","52,55","1285474,63"
2013-06-04,"52,55","53,35","52,41","53,25","1477146,05"
2013-06-05,"53,2","53,96","52,6","53,8","921969,4"
2013-06-06,"53,6","53,79","52,74","52,74","554702,93"
2013-06-07,"52,75","54,35","52,75","53,99","847809,58"
2013-06-10,"53,6","54,28","53,6","54,2","698050,8"
2013-06-11,"54,01","54,4","52,9","53,64","778892,12"
2013-06-12,"53,36",54,"53,36","53,54","212109,43"
2013-06-13,"52,96","53,24","52,55","52,55","1259078,44"
2013-06-14,"52,6","52,93","52,55","52,7","520476,94"
2013-06-17,"52,88","53,3","52,6","52,9","551197,28"
2013-06-18,"53,1","53,1","51,3","51,5","533968,85"
2013-06-19,"51,2","51,38","50,07","50,07","1487527,33"
2013-06-20,"49,5","50,16","47,5","47,5","1594383,31"
2013-06-21,"47,6","48,5",45,"45,5","2892208,29"
2013-06-24,"45,81","46,58","45,41","45,8","581765,47"
2013-06-25,"46,3","46,82","45,7","46,3","1104284,18"
2013-06-26,"45,62","47,6","45,3","46,2","1651292,97"
2013-06-27,"46,2","46,5","42,3","44,5","2947280,05"
2013-06-28,"44,8","46,6","43,24","46,6","2446089,06"
2013-07-01,"46,8","47,87","46,2","47,69","834077,06"
2013-07-02,"47,78","49,35","46,85","48,21","892878,58"
2013-07-03,"47,65",48,"47,1","47,75","841188,05"
2013-07-04,48,"48,14","47,25","47,9","753357,17"
2013-07-05,"47,9","48,27","45,8","45,85","961367,3"
2013-07-08,46,"46,1",45,45,"784133,73"
2013-07-09,45,"45,97","43,7","45,97","1067614,65"
2013-07-10,46,"46,98","45,98","46,98","1896815,88"
2013-07-11,"47,5",48,"47,5","47,85","483072,84"
2013-07-12,48,"48,94","47,6","48,71","786713,68"
2013-07-15,"48,82","48,82","47,51","48,51","816173,29"
2013-07-16,"48,29","48,57","48,12","48,36","1209660,55"
2013-07-17,"48,55","48,79","48,31","48,69","1460315,63"
2013-07-18,"48,37","49,9","48,35","49,9","604533,83"
2013-07-19,"49,39","49,49","48,57","49,06","414746,78"
2013-07-22,"49,3","49,3","46,4",47,"1299025,76"
2013-07-23,"46,3","46,94","45,64","46,73","1876413,85"
2013-07-24,"45,84","45,96","45,12","45,89","1037297,53"
2013-07-25,46,46,"44,5",45,"881349,38"
2013-07-26,"44,65","44,65","41,73",43,"1328947,67"
2013-07-29,"42,8","43,92","42,4","43,92","768682,17"
2013-07-30,"43,88","43,88","43,06","43,45","606314,18"
2013-07-31,"43,5","44,48","43,31","43,45","798808,23"
2013-08-01,"44,25","44,6","43,11","43,15","678498,38"
2013-08-02,"43,5","45,7","43,4","44,95","1356491,85"
2013-08-05,"45,05","45,35","44,72","44,75","466002,12"
2013-08-06,"44,75","45,16","44,1","44,61","383955,04"
2013-08-07,"44,4","45,69","44,4","45,6","898640,38"
2013-08-08,"45,69","46,43","45,62","45,7","618103,78"
2013-08-09,"45,95","45,95","45,03","45,4","490821,93"
2013-08-12,"45,6","45,78","44,84","45,21","352159,36"
2013-08-13,"45,2","45,59","44,56","44,85","618019,37"
2013-08-14,45,"45,77","44,85","45,31","526512,89"
2013-08-16,"45,31","45,6","44,75","44,75","717339,64"
2013-08-19,45,"45,2","44,3",45,"212076,53"
2013-08-20,"44,5","44,55","43,43","43,8","410034,04"
2013-08-21,"44,05","44,6","43,8","44,16","453355,25"
2013-08-22,"44,3","46,48","44,11","46,19","2131680,61"
2013-08-23,"46,19","46,79","45,31","46,2","944294,11"
2013-08-26,"46,2","46,95","46,1","46,75","501624,93"
2013-08-27,"46,18","46,45","45,31","45,35","1133918,21"
2013-08-28,"45,35","45,41","44,35","44,77","716140,08"
2013-08-29,"45,35","45,84","44,94","45,36","444386,04"
2013-08-30,"45,36","45,4","44,7","44,99","724275,24"
2013-09-02,"45,2","45,39","44,41","44,7","452420,54"
2013-09-03,"44,7","45,05","44,16","44,3","581351,11"
2013-09-04,"44,65","45,44","42,8","43,65","830860,24"
2013-09-05,"42,91","43,35","40,4","41,5","1422287,96"
2013-09-06,"41,85","42,9","41,08","41,2","2216226,7"
2013-09-09,"41,8","41,93","40,85","41,93","1538545,32"
2013-09-10,"42,39","43,9","41,8","43,9","1663562,8"
2013-09-11,"43,9",44,"42,87",44,"940964,93"
2013-09-12,"43,9","44,88","43,35","43,9","1105021,14"
2013-09-13,"43,5","43,7","43,01","43,1","1040955,06"
2013-09-16,"43,95","43,99","42,91",43,"942749,17"
2013-09-17,43,"43,64","42,49","43,25","891817,07"
2013-09-18,"43,25","43,61","42,95","43,25","491096,07"
2013-09-19,"44,3","44,59","43,79","44,39","818008,15"
2013-09-20,"44,39","45,2","43,85","44,89","1297968,22"
2013-09-23,"44,65","45,5","44,36","45,01","474500,48"
2013-09-24,"45,5","45,55","44,92","45,55","525914,27"
2013-09-25,"45,25","45,65","45,01","45,05","554994,1"
2013-09-26,"45,37","45,57","44,86","45,01","395541,75"
2013-09-27,"45,33","45,39","44,62",45,"430028,5"
2013-09-30,"44,8","44,8","44,1","44,15","611544,54"
2013-10-01,44,"44,94","43,92","44,94","391988,76"
2013-10-02,"44,74","44,93","44,12","44,32","256283,66"
2013-10-03,"44,28","45,15","44,28","44,8","351131,72"
2013-10-04,"44,54","44,87","42,65","43,27","1427825,75"
2013-10-07,"43,47","43,85","42,88","43,85","641536,62"
2013-10-08,"43,81","43,95","43,33","43,6","372787,29"
2013-10-09,"43,4","43,9","43,4","43,85","818983,13"
2013-10-10,44,"44,95","43,3","44,34","1496686,2"
2013-10-11,"44,93","45,49","44,4","45,4","872536,61"
2013-10-14,"45,3","45,8","45,1","45,27","392798,79"
2013-10-15,"45,64","46,7","45,13","45,13","1415683,02"
2013-10-16,"45,25","46,35","44,86","45,7","759994,08"
2013-10-17,"45,7","45,98","45,01","45,01","477948,93"
2013-10-18,"45,01","45,25","44,37","44,7","528455,1"
2013-10-21,"45,05",46,"45,01",46,"906922,69"
2013-10-22,"46,36","46,71","45,95","46,2","585970,45"
2013-10-23,"46,1","46,33","45,33","45,8","712468,6"
2013-10-24,"46,49","46,49","45,65","46,11","419775,33"
2013-10-25,"45,8","46,71","44,77","44,87","781562,14"
2013-10-28,45,"45,36","44,7","45,2","408921,99"
2013-10-29,"45,45","46,2","45,21","45,8","842747,42"
2013-10-30,"45,99","46,2","44,91","45,22","859724,01"
2013-10-31,45,"45,15","43,45","43,5","1207211,36"
2013-11-04,"44,45","44,45","43,4",44,"634764,41"
2013-11-05,"44,2","44,86","43,8","44,3","672309,31"
2013-11-06,"44,1","44,5","43,7","44,35","1585673,53"
2013-11-07,"44,1","44,98","44,1","44,2","683968,81"
2013-11-08,"44,02","44,2","43,61",44,"406682,4"
2013-11-12,"44,49","44,51","43,55","43,55","796052,88"
2013-11-13,"43,5","43,72","43,02","43,05","930390,37"
2013-11-14,"43,95","43,95",43,"43,51","437255,29"
2013-11-15,"43,95","45,04","43,71",45,"910475,67"
2013-11-18,"45,15","46,45","45,07","46,3","851093,22"
2013-11-19,46,"46,45","45,72","46,45","420704,62"
2013-11-20,"46,1","46,5","45,72","45,72","737289,18"
2013-11-21,"45,4","45,6","44,8","44,9","626104,97"
2013-11-22,"45,21","46,2","45,19","45,95","462253,98"
2013-11-25,"46,59","47,35","46,37","47,13","656750,66"
2013-11-26,"46,6","47,06","45,84",46,"1165541,97"
2013-11-27,"45,6","47,05","45,6","46,99","409074,55"
2013-11-28,"46,55","47,2","46,55",47,"519651,62"
2013-11-29,"47,2","47,94","47,02","47,9",952492
2013-12-02,"47,49","48,3","47,11","47,2","751422,15"
2013-12-03,"47,23","47,5","45,8","45,8","989063,47"
2013-12-04,"45,8","46,28","45,33","45,82","921282,55"
2013-12-05,"45,65","46,03","44,63","45,18","1262833,29"
2013-12-06,"46,3","46,45","44,33","45,42","1576698,9"
2013-12-09,"45,79","45,89","44,83","45,4","368916,8"
2013-12-10,"45,4","45,4","43,91","44,7","591768,45"
2013-12-11,"44,78","45,29","44,43","44,69","506794,89"
2013-12-12,"44,36","45,19","44,2","44,5","637948,01"
2013-12-13,"44,88","45,19","43,77","44,31","1038336,78"
2013-12-16,"44,3","44,31","43,32","43,8","1189797,23"
2013-12-17,"43,95","43,95","41,86","41,97","1094827,59"
2013-12-18,"42,28","42,74","40,74","41,3","1657965,37"
2013-12-19,"41,6","41,88","40,52","40,52","1158911,48"
2013-12-20,"40,55","41,3","40,02","40,5","2230818,89"
2013-12-23,"40,5","41,6","40,5","41,27","380200,71"
2013-12-27,"41,61","41,75","41,02","41,02","447093,38"
2013-12-30,"41,45","41,68",41,41,"344653,02"
2014-01-02,"41,65","43,41","41,2","43,15","824454,33"
2014-01-03,43,"43,18","42,5","42,52","605140,17"
2014-01-07,42,"42,6","41,65","42,1","1404534,63"
2014-01-08,"42,1","42,44","41,81",42,"1147538,51"
2014-01-09,"41,55","42,17","41,37","41,4","1388729,72"
2014-01-10,"41,2","42,2","40,53","42,2","1877305,09"
2014-01-13,"42,26","43,09","42,26","42,55","575384,28"
2014-01-14,"42,55","43,06","42,27","42,27","1393176,37"
2014-01-15,"42,99","43,05","42,2","42,2","919801,11"
2014-01-16,"42,6","42,95","42,07","42,57",391449
2014-01-17,"42,53","42,65","41,62","42,1","757913,24"
2014-01-20,"41,8","42,16","40,66","40,98","1118996,89"
2014-01-21,"41,19","41,8","40,95","40,95","577311,01"
2014-01-22,"41,49","41,49","40,1","40,46","2143237,89"
2014-01-23,"40,49","41,19","39,44",40,"1208811,29"
2014-01-24,"40,05","40,53","38,98","38,98","1206456,32"
2014-01-27,"38,5","39,55","37,98","37,98","1802928,53"
2014-01-28,"38,5","38,89","38,02","38,5","1326612,83"
2014-01-29,"38,88",39,"38,1","38,2","1510524,88"
2014-01-30,"38,2","38,67","37,5","38,6","1052135,98"
2014-01-31,"38,7","39,39","37,9","38,79","1410389,94"
2014-02-03,"38,89","39,45","38,55","38,8","901551,39"
2014-02-04,"38,52","39,18","38,24","38,45","744230,21"
2014-02-05,"38,2","38,5","37,9","37,9","1171849,53"
2014-02-06,38,"39,8","37,92","39,79","1751619,29"
2014-02-07,"39,79","40,81","39,35","40,81","1450062,91"
2014-02-10,"40,76","41,7","40,4","41,25","788260,78"
2014-02-11,"41,35","42,31","41,08","42,2","1069039,77"
2014-02-12,"42,36","42,47","41,77","41,91","970103,61"
2014-02-13,"41,91","41,94","41,16","41,44","499777,19"
2014-02-14,"41,66","41,72","40,51","40,71","761158,79"
2014-02-17,"41,2","41,67",41,"41,45","362203,45"
2014-02-18,"41,5","42,29","41,5","41,86","775503,17"
2014-02-19,"42,1","42,69","41,24","42,06","609488,48"
2014-02-20,"41,8","42,3","41,6","41,8","738171,24"
2014-02-21,"42,2","43,43","41,86","43,15","914496,41"
2014-02-24,"43,08","44,12","42,81","43,7","831288,49"
2014-02-25,"43,7","43,89","43,2","43,3","447422,5"
2014-02-26,"43,3","43,6","41,86","41,86","1231646,29"
2014-02-27,42,"42,26","41,2","41,7","523473,33"
2014-02-28,"41,8",44,"41,8","43,7","1427876,09"
2014-03-03,"42,26","42,35","39,8",40,"1304676,92"
2014-03-04,"41,05","41,76","40,6",41,"1209398,29"
2014-03-05,"41,1","41,79",41,"41,35","938849,24"
2014-03-06,"41,65","41,88",41,"41,16","503017,32"
2014-03-07,"41,21","41,76","40,71","40,71","322696,2"
2014-03-10,"40,7","41,12","39,58","39,58","478673,77"
2014-03-11,40,"40,74","39,89","40,08","661596,91"
2014-03-12,"40,15","41,08","39,76","40,57","760313,14"
2014-03-13,"40,57","41,73","40,1","40,1","927137,86"
2014-03-14,"39,7","40,55","39,51","40,55","812406,08"
2014-03-17,"40,58","42,32","40,21","42,32","768552,07"
2014-03-18,"41,77","42,48","41,2","41,32","731937,24"
2014-03-19,"41,48","41,93","40,87",41,"235448,97"
2014-03-20,"40,9","41,89","40,61","40,7","588306,85"
2014-03-21,"41,15","41,45","40,37","40,37","1451657,41"
2014-03-24,"40,37","40,67",40,"40,59","274542,68"
2014-03-25,"40,59","41,35","40,56","40,87","402117,26"
2014-03-26,41,"42,25",41,"42,1","646771,62"
2014-03-27,42,"42,37","41,68","41,68","904205,29"
2014-03-28,"42,1","42,4","41,81","42,09","455916,99"
