Date,Open,High,Low,Close/Last,Volume
2013-04-15,"34,4","34,59","33,75","34,3","1585514,77"
2013-04-17,"34,86","34,9","33,85","34,2","4201866,91"
2013-04-18,"34,06","34,37","33,31","33,31","1908470,97"
2013-04-19,"33,67","33,94","33,13","33,94","2266658,78"
2013-04-22,"33,95","34,18","33,24","33,45","1842106,72"
2013-04-23,"33,41","33,43","32,76","33,2","7867723,33"
2013-04-24,"33,25","33,34","32,15",33,"3896200,57"
2013-04-25,33,"33,24","32,46","32,81","3227307,08"
2013-04-26,"32,81","33,12","32,62","32,72","2201502,79"
2013-04-29,"32,8","32,95","32,61","32,8","819463,74"
2013-04-30,"32,79","32,93","32,25","32,9","3383339,06"
2013-05-02,"33,07","33,33","32,32","32,8","2628257,95"
2013-05-06,"32,68","33,5","32,66","33,5","2622665,83"
2013-05-07,"33,5","34,3","33,33",34,"2682918,22"
2013-05-08,"33,91","34,25","33,4","33,8","1840930,6"
2013-05-09,"33,86","33,93","32,83",33,"3362119,9"
2013-05-10,33,"33,28","32,88","33,18","2661791,93"
2013-05-13,"33,25","33,69","32,61","33,65","2072007,04"
2013-05-14,"33,51","34,35","33,33","34,35","2463101,04"
2013-05-15,"34,38","35,1","34,38","34,95","3564964,25"
2013-05-16,"34,9","34,9","34,3","34,5","1739758,92"
2013-05-17,"34,6","34,62","34,02","34,05","1371699,61"
2013-05-20,"34,34","34,42","33,57","33,7","2899668,75"
2013-05-21,"33,71","33,94","33,55","33,7","3908633,26"
2013-05-22,"33,77","34,09","33,5","33,6","2019676,68"
2013-05-23,33,"33,7","32,9","33,7","2064843,2"
2013-05-24,"33,8",34,"33,42","33,7","2328453,42"
2013-05-27,"33,72","34,47","33,72","34,47","1012585,73"
2013-05-28,"34,49","34,88","34,41","34,41","2766390,15"
2013-05-29,"34,45","34,77","34,34","34,65","2279947,88"
2013-05-31,"34,43","34,85","34,43","34,81",5310660
2013-06-03,"34,33","34,75",34,"34,1","2186359,77"
2013-06-04,"34,4","34,82","34,34","34,79","2927130,16"
2013-06-05,"34,52","35,13","34,26","34,26","4494528,13"
2013-06-06,"34,3","34,78","34,19","34,48","2238758,9"
2013-06-07,"34,41","35,9","34,35","35,9","4430696,5"
2013-06-10,"35,41","36,76","35,41","36,76","6154278,28"
2013-06-11,"36,43","36,75","36,04","36,4","3037129,39"
2013-06-12,"36,3","36,8","36,25","36,42","1872375,8"
2013-06-13,"36,05","37,63",36,"37,3","9444938,33"
2013-06-14,"37,3","37,63","36,75","36,85","5234578,75"
2013-06-17,"36,9","37,12",36,"36,1","5404384,75"
2013-06-18,"36,1","36,25","35,77",36,"2284858,63"
2013-06-19,"36,2","36,49","36,01","36,02","2293888,9"
2013-06-20,"35,63","35,79","33,85","34,08","5608975,85"
2013-06-21,"34,15","35,45","34,06","34,06","10264827,15"
2013-06-24,"34,05","34,95","34,05","34,6","3043023,36"
2013-06-25,"34,67","35,65","34,67","35,1","5397890,67"
2013-06-26,"35,2","35,46","33,8","35,4","5286218,8"
2013-06-27,"35,25","35,4","34,02","34,95","5376703,65"
2013-06-28,"34,9","35,6","34,64","35,6","5008034,41"
2013-07-01,"35,7","35,7","34,64","34,64","2941083,67"
2013-07-02,"34,95","34,95","34,18","34,8","4280195,91"
2013-07-03,"34,25","34,49","33,55","33,9","7928178,43"
2013-07-04,"34,06","34,88","33,86","34,88","3114935,97"
2013-07-05,"34,54","34,97","34,28","34,5","2863280,67"
2013-07-08,"34,8","35,16","34,54","34,62","2914750,16"
2013-07-09,"35,08","35,08","33,91","34,2","2574585,37"
2013-07-10,"34,2","35,14","34,2",35,"1676993,56"
2013-07-11,"35,2","35,45","35,06","35,25","1537540,58"
2013-07-12,"35,25","36,02","35,1","35,95","3071803,76"
2013-07-15,"35,95","36,21","35,7","36,2","1205714,86"
2013-07-16,"36,3","36,5","36,02","36,4","2196036,59"
2013-07-17,"36,49","36,6","35,83","36,4","2914169,69"
2013-07-18,"36,32","36,6","35,87","36,6","1313653,89"
2013-07-19,"36,47","36,8","36,03","36,79","877742,54"
2013-07-22,"36,7","36,99","36,4","36,99","1447344,18"
2013-07-23,"36,99","36,99","36,65","36,99","3012653,37"
2013-07-24,"36,66","36,9","36,15","36,15","4398160,93"
2013-07-25,"36,15","36,77","35,83","36,77","2595874,19"
2013-07-26,"36,4","36,77","36,2","36,2","1222434,97"
2013-07-29,"36,5","36,5","36,07","36,3","498429,33"
2013-07-30,"36,4","36,59","36,1","36,59","1504465,62"
2013-07-31,"36,22","37,49","36,22","37,2","5505180,47"
2013-08-01,"37,45","38,17","37,12","38,17","3924362,11"
2013-08-02,"38,17","39,26","38,17",39,"4376974,8"
2013-08-05,39,"39,06","38,6","38,7","1409346,86"
2013-08-06,"38,44","38,6","37,19","37,3","3403032,94"
2013-08-07,"37,22","37,99","37,15","37,79","3100113,54"
2013-08-08,"37,9","38,64","37,8","38,49","2944883,49"
2013-08-09,"38,55",39,"37,85",39,"1757853,39"
2013-08-12,"38,65","39,6","38,24",39,"3441633,94"
2013-08-13,39,"39,24","38,32",39,"3628822,67"
2013-08-14,39,"39,57","38,75","39,45","3216412,17"
2013-08-16,"39,4","39,4","38,86",39,"2231361,97"
2013-08-19,"38,8","39,2","38,08","39,08","2519426,79"
2013-08-20,"38,65","38,7","38,08","38,54","2081143,58"
2013-08-21,"38,45",39,"37,92","37,92","2002961,04"
2013-08-22,"38,15","38,7","37,96","38,31","2743887,71"
2013-08-23,"38,38","38,8","38,15","38,67","2166805,2"
2013-08-26,"38,75","38,94","38,19","38,22","866537,76"
2013-08-27,"38,11","38,35","37,65",38,"2436112,04"
2013-08-28,"38,04","38,29","37,6","38,1","1803006,52"
2013-08-29,"38,1","38,29","37,37","37,95","3045052,31"
2013-08-30,"38,15","38,31","37,37","38,31","3187304,03"
2013-09-02,"38,34","38,7","38,23","38,33","1690306,78"
2013-09-03,"38,3","38,5","37,45","37,73","3114569,83"
2013-09-04,"37,89","37,89","36,71","37,01","6801673,09"
2013-09-05,"36,71","36,72","34,16","35,13","11198036,36"
2013-09-06,"35,2","35,9","35,02","35,22","10416995,01"
2013-09-09,"35,6","35,85","35,31","35,85","3664393,64"
2013-09-10,"36,25","36,96",36,"36,9","7687942,24"
2013-09-11,"36,98","37,15","36,42","37,1","2720823,55"
2013-09-12,"37,01","37,88","37,01","37,87","3272186,04"
2013-09-13,"37,6","38,05","37,41","37,85","3014677,85"
2013-09-16,"38,14","38,3","37,85",38,"3261029,48"
2013-09-17,"36,2","36,48","36,15","36,31","2775409,82"
2013-09-18,"36,4","36,87","36,32","36,66","2348662,88"
2013-09-19,"37,4","37,51","36,9",37,"6850303,07"
2013-09-20,"36,72",37,"36,1","36,1","5303876,36"
2013-09-23,"36,2","36,57","35,86","35,95","2218656,42"
2013-09-24,"35,95","36,38","35,83","36,13","3089687,72"
2013-09-25,"36,2","36,82","36,15","36,55","3171021,91"
2013-09-26,"36,55","37,44","36,55","37,43","3819720,27"
2013-09-27,"37,4","37,55","37,02","37,29","3949050,85"
2013-09-30,37,"37,45",37,"37,1","3571916,42"
2013-10-01,37,"37,25","36,71","37,2","2610318,19"
2013-10-02,"37,5","37,55","37,05","37,44","3160555,51"
2013-10-03,"37,52",38,"37,48","37,7","5315010,21"
2013-10-04,"37,7","37,7","37,4","37,45","2374177,84"
2013-10-07,"37,45","37,46","36,76","37,27","1613627,28"
2013-10-08,37,"37,55","36,86","37,45","2500832,99"
2013-10-09,"37,1","37,58","37,04","37,5","1589715,33"
2013-10-10,"37,6","38,93","37,54","38,5","6756252,65"
2013-10-11,"38,5","39,1","38,47","39,01","5841733,99"
2013-10-14,"38,55","39,11","38,55","38,83","2382576,27"
2013-10-15,"39,2","39,5","38,65","38,65","3335841,69"
2013-10-16,"38,75","39,16","38,33","38,7","4198874,85"
2013-10-17,"38,8","38,97","38,1","38,1","2657834,61"
2013-10-18,"38,11","38,9","37,79","38,9","3787972,35"
2013-10-21,"38,83","39,47","38,81","39,47","4882154,98"
