Date,Open,High,Low,Close/Last,Volume
2013-04-15,"42,29","42,33","41,45","41,58","3314872,8"
2013-04-17,"41,78","41,78","40,9","41,1","1963188,92"
2013-04-18,"41,1","41,27","40,6","40,6","2033805,14"
2013-04-19,"40,89","41,15","40,5","40,64","831514,07"
2013-04-22,"41,06","41,34","40,78","41,01","876437,42"
2013-04-23,"41,09","41,48","40,8","41,38","2144998,69"
2013-04-24,"41,38","41,82","40,7","41,27","1576145,09"
2013-04-25,"41,4","41,65","41,12","41,56","1493298,61"
2013-04-26,"41,59","42,59","41,41","42,4","1737984,3"
2013-04-29,"42,77","43,2","42,53","43,05","1387851,26"
2013-04-30,"43,4","43,56","42,66","43,55","2049621,36"
2013-05-02,"43,55","44,75","43,34","44,26","1964415,16"
2013-05-06,"44,23","44,98","43,77","44,98","2841054,28"
2013-05-07,"44,9",45,"44,62","44,8","1318236,26"
2013-05-08,"44,79","45,43","44,6","45,1","1516491,2"
2013-05-09,45,"45,37","44,4","44,95","2010962,59"
2013-05-10,"44,6","44,9","44,29","44,8","683665,87"
2013-05-13,"44,6","44,9","44,4","44,8","1521320,07"
2013-05-14,"44,8","44,89","44,21","44,23","2401648,49"
2013-05-15,"44,95","44,95","43,5","44,08","3013943,61"
2013-05-16,44,44,"43,34","43,35","2231563,36"
2013-05-17,"43,25","43,48","43,21","43,38","2380296,1"
2013-05-20,"43,44","44,16","43,26","43,26","736408,44"
2013-05-21,"43,55","44,12","43,06","44,05","1538789,8"
2013-05-22,"44,15","44,38","43,8","43,8","1397486,79"
2013-05-23,"44,1","45,5","43,52","43,61","3055607,15"
2013-05-24,"44,05","44,2","43,9","44,14","763792,61"
2013-05-27,"44,5","44,8","44,16","44,8","1241346,55"
2013-05-28,"44,78","45,37","44,7","44,8","1005923,01"
2013-05-29,"44,6","44,98","44,5","44,7","3239994,43"
2013-05-31,"44,53",46,"44,53",46,"4083014,79"
2013-06-03,"45,88","45,9","45,02","45,2","2111114,34"
2013-06-04,45,"45,2","44,11","44,25","2448637,08"
2013-06-05,"44,25","44,4","43,7","44,12","2136108,25"
2013-06-06,"44,22","44,4","43,95","43,95","1401454,45"
2013-06-07,"44,01","44,4","44,01","44,15","1771012,99"
2013-06-10,"44,39","44,47","43,13","43,13","1466077,23"
2013-06-11,"43,35","43,44","42,61","43,3","2264265,91"
2013-06-12,"43,28","43,98","43,08","43,9","1901632,59"
2013-06-13,"43,4","44,26","43,39","43,9","1765936,31"
2013-06-14,"44,19","44,49","43,6","43,6","1509542,09"
2013-06-17,"43,7","44,26","43,36","43,83","1201274,29"
2013-06-18,"44,12","44,2","43,52","43,61","1075469,12"
2013-06-19,"43,9","44,2","43,4","43,4","1312304,49"
2013-06-20,"43,29","43,4","41,2","41,2","2935508,17"
2013-06-21,"41,55",42,"40,11","40,3","7594798,5"
2013-06-24,"40,3","40,49","40,07","40,29","2454414,39"
2013-06-25,"40,49","41,75","40,29","40,9","1764777,85"
2013-06-26,"40,3","41,89","39,7","41,2","2370288,32"
2013-06-27,"41,3","41,75","39,1","39,9","3461409,19"
2013-06-28,"40,1","40,99","39,32","40,97","4114886,69"
2013-07-01,"41,4","41,4","40,42","40,53","1592518,59"
2013-07-02,"40,7",42,"40,6",42,"2126278,82"
2013-07-03,"41,25","42,4",41,"42,39","3022616,8"
2013-07-04,"42,38","43,3","42,16","43,25","2959134,7"
2013-07-05,"43,4","43,4","42,1","42,69","1498989,8"
2013-07-08,"43,4","43,4",42,42,"971690,3"
2013-07-09,"42,2","42,55","41,5","41,72","1826574,76"
2013-07-10,"41,78","42,3","41,6","42,05","1803212,14"
2013-07-11,"42,7","43,2","42,61","43,05","974757,31"
2013-07-12,"43,18","43,9",43,"43,63","2055715,93"
2013-07-15,"43,6","43,6","43,15","43,35","796434,04"
2013-07-16,"43,38","43,58","43,11","43,3","2111029,33"
2013-07-17,"43,36","43,74","43,15","43,59","1587434,13"
2013-07-18,"43,61","43,75","42,5","42,7","2160464,3"
2013-07-19,"42,6","43,56","42,51","43,3","1004588,42"
2013-07-22,"43,45","44,58","43,41","44,4","1389248,64"
2013-07-23,"44,5","45,05","44,38","44,99","787994,76"
2013-07-24,"45,18","45,18","44,32","44,9","697842,46"
2013-07-25,"44,52",45,"44,35",45,"673928,67"
2013-07-26,"44,77","45,07","44,6","44,94",989914
2013-07-29,"44,94","45,19","44,22","44,22","826543,51"
2013-07-30,"44,3","44,6","44,21","44,6","504728,09"
2013-07-31,"44,3","45,6","44,3","45,36","2267122,34"
2013-08-01,"45,5","45,98","45,4","45,9","1467117,9"
2013-08-02,"45,9","46,88","45,66","46,59","2448148,13"
2013-08-05,"46,6","46,8","45,7",46,"909180,53"
2013-08-06,"46,01","46,2","45,04","45,2","1544566,56"
2013-08-07,"45,15","45,48","44,9","45,2","911098,52"
2013-08-08,"45,4","46,17","45,11","45,22","820535,06"
2013-08-09,"45,4","45,63","45,01","45,2","702913,03"
2013-08-12,"45,05","46,5","45,05","46,5","947590,38"
