Date,Open,High,Low,Close/Last,Volume
2013-04-15,5,5,5,5,"199,48"
2013-04-17,5,5,5,5,0
2013-04-18,5,5,5,5,0
2013-04-19,"4,73","4,73","4,56","4,56","3186,6"
2013-04-22,"4,56","4,95","4,52","4,9","11271,92"
2013-04-23,"4,9","4,9","4,9","4,9",0
2013-04-24,"4,9","4,9","4,9","4,9",0
2013-04-25,"4,52","4,97","4,52","4,97","5732,31"
2013-04-26,"4,97","4,97","4,97","4,97",0
2013-04-29,"4,97","4,97","4,97","4,97","101,01"
2013-04-30,"4,96","4,97","4,96","4,97","1000,8"
2013-05-02,"4,85","4,99","4,85","4,99","1128,13"
2013-05-06,"4,95","4,95","4,95","4,95","101,01"
2013-05-07,"4,95","5,37","4,95","5,34","2677,28"
2013-05-08,"5,2","5,52","5,2","5,52","18780,88"
2013-05-09,"5,4","5,65","5,4","5,5","179670,01"
2013-05-10,"5,35","5,59","5,35","5,59","5147,45"
2013-05-13,"5,4","5,59","5,35","5,59","3321,56"
2013-05-14,"5,5","5,55","5,5","5,5","41376,51"
2013-05-15,"5,5","5,54","5,48","5,54","1991,41"
2013-05-16,"5,65","5,69","5,59","5,69","7070,95"
2013-05-17,"5,62","5,62","5,62","5,62","191,84"
2013-05-20,"5,45","5,47","5,4","5,4","1913,32"
2013-05-21,"5,35","5,55","5,35","5,35","2340,29"
2013-05-22,"5,31","5,32","5,31","5,31","1194,34"
2013-05-23,"5,21","5,21","5,2","5,2","1652,72"
2013-05-24,"5,34","5,34","5,2","5,2","737,65"
2013-05-27,"5,2","5,5","5,09","5,2","93432,45"
2013-05-28,"5,1","5,28","5,1","5,28","123031,97"
2013-05-29,"5,3","5,35","5,27","5,27","3000,7"
2013-05-31,"5,3","5,3","5,3","5,3","224,95"
2013-06-03,"5,3","5,3","5,3","5,3",0
2013-06-04,"5,3","5,3","5,3","5,3",0
2013-06-05,"5,28","5,3","5,19","5,22","10539,36"
2013-06-06,"5,2","5,4","5,2","5,22","4362,26"
2013-06-07,"5,33","5,5","5,22","5,5","5857,94"
2013-06-10,"5,48","5,87","5,48","5,6","7023,41"
2013-06-11,"5,61","5,61","5,56","5,56","1789,38"
2013-06-12,"5,86","5,93","5,6","5,9","69142,51"
2013-06-13,"5,9","5,9","5,9","5,9",0
2013-06-14,"5,8",6,"5,8",6,"50199,49"
2013-06-17,6,6,6,6,"669,75"
2013-06-18,6,6,6,6,"169,77"
2013-06-19,"6,05","6,47","6,05","6,41","6613,42"
2013-06-20,"6,16","6,44","5,96","5,96","5497,17"
2013-06-21,"5,8",6,"5,8","5,96","3492,18"
2013-06-24,"5,96",6,"5,72","5,9","8380,73"
2013-06-25,"5,9","6,19","5,9","6,19","3932,74"
2013-06-26,6,"6,21","5,7","6,21","3820,76"
2013-06-27,"6,21","6,3","6,1","6,3","5879,8"
2013-06-28,"6,3","6,3","6,3","6,3","300,74"
2013-07-01,"6,27","6,3","5,82","6,3","7221,17"
2013-07-02,"6,3","6,4","6,01","6,01","1157,68"
2013-07-03,"5,61","6,39","5,51","6,3","94,84"
2013-07-04,"6,25","6,45","6,25","6,45","8720,6"
2013-07-05,"6,44","6,44","6,44","6,44","88,85"
2013-07-08,"6,4","6,45","6,35","6,35","6451,38"
2013-07-09,"6,3","6,3","6,3","6,3","266,56"
2013-07-10,"6,3","6,3","6,3","6,3","4,27"
2013-07-11,"6,3","6,49","6,3","6,49","27239,17"
2013-07-12,"6,45","6,74","6,45","6,72","14846,46"
2013-07-15,"6,79","7,2","6,71","7,09","12596,04"
2013-07-16,"7,04","7,04","6,9","6,99","2612,68"
2013-07-17,7,7,7,7,"140,12"
2013-07-18,"6,99","6,99","6,99","6,99","13,67"
2013-07-19,"6,98","6,99","6,72","6,99","1111,54"
2013-07-22,"6,97","6,97","6,93","6,93","9,4"
2013-07-23,"6,73","6,93","6,73","6,9","369,94"
2013-07-24,"6,72","6,89","6,47","6,8","6916,16"
2013-07-25,"6,67","7,25","6,67","7,24","11783,53"
2013-07-26,"7,18","7,35",7,"7,35","13585,41"
2013-07-29,"7,42","7,42","7,31","7,4","24395,81"
2013-07-30,"7,43","7,63","7,35","7,6","16690,2"
