Date,Open,High,Low,Close/Last,Volume
2013-04-15,"0,81","0,81","0,8","0,81",6896
2013-04-17,"0,81","0,81","0,81","0,81",8
2013-04-18,"0,81","0,95","0,81","0,95",35606
2013-04-19,"0,8","0,92","0,8","0,92",4461
2013-04-22,"0,82","0,9","0,82","0,9",3216
2013-04-23,"0,9","0,9","0,88","0,9",1516
2013-04-24,"0,89","0,89","0,79","0,79",25420
2013-04-25,"0,89","0,89","0,75","0,79",20544
2013-04-26,"0,83","0,83","0,83","0,83",10
2013-04-29,"0,83","0,83","0,83","0,83",10
2013-04-30,"0,82","0,83","0,82","0,83",1493
2013-05-02,"0,82","0,82","0,82","0,82",15
2013-05-06,"0,82","0,82","0,82","0,82",356
2013-05-07,"0,81","0,81","0,78","0,81",3800
2013-05-08,"0,81","0,81","0,76","0,81",243
2013-05-09,"0,79","0,79","0,79","0,79",20
2013-05-10,"0,79","0,79","0,79","0,79",827
2013-05-13,"0,76","0,77","0,76","0,77",30879
2013-05-14,"0,77","0,77","0,76","0,77",5009
2013-05-15,"0,76","0,77","0,67","0,67",23937
2013-05-16,"0,77","0,77","0,77","0,77",8
2013-05-17,"0,77","0,77","0,77","0,77",8
2013-05-20,"0,76","0,76","0,7","0,75",120
2013-05-21,"0,75","0,75","0,75","0,75",20
2013-05-22,"0,75","0,75","0,71","0,71",9016
2013-05-23,"0,75","0,75","0,7","0,7",2077
2013-05-24,"0,7","0,7","0,67","0,67",3995
2013-05-27,"0,69","0,69","0,67","0,67",996
2013-05-28,"0,63","0,69","0,63","0,69",51647
2013-05-29,"0,69","0,69","0,69","0,69",891
2013-05-31,"0,69","0,69","0,69","0,69",1096
2013-06-03,"0,62","0,69","0,61","0,69",7213
2013-06-04,"0,66","0,66","0,61","0,61",2760
2013-06-05,"0,66","0,66","0,57","0,59",21497
2013-06-06,"0,66","0,66","0,62","0,66",22619
2013-06-07,"0,66","0,66","0,62","0,62",11267
2013-06-10,"0,66","0,66","0,66","0,66",8
2013-06-11,"0,66","0,66","0,65","0,66",15152
2013-06-12,"0,66","0,66","0,62","0,66",7674
2013-06-13,"0,66","0,66","0,66","0,66",18
2013-06-14,"0,66","0,66","0,62","0,66",61
2013-06-17,"0,66","0,67","0,66","0,67",21328
2013-06-18,"0,67","0,67","0,67","0,67",10
2013-06-19,"0,67","0,67","0,67","0,67",18
2013-06-20,"0,67","0,67","0,64","0,65",389
2013-06-21,"0,52","0,58","0,52","0,56",42490
2013-06-24,"0,67","0,67","0,56","0,56",2579
2013-06-25,"0,59","0,67","0,55","0,67",720
2013-06-26,"0,67","0,67","0,67","0,67",402
2013-06-27,"0,64","0,66","0,59","0,66",14919
2013-06-28,"0,66","0,67","0,65","0,66",6135
2013-07-01,"0,65","0,65","0,62","0,65",20816
2013-07-02,"0,69","0,69","0,69","0,69",3
2013-07-03,"0,68","0,68","0,66","0,66",1887
2013-07-04,"0,67","0,67","0,67","0,67",8
2013-07-05,"0,67","0,67","0,67","0,67",97
2013-07-08,"0,67","0,67","0,65","0,65",16568
