Date,Open,High,Low,Close/Last,Volume
2013-04-15,"269,79","270,01","267,5","269,09","75202,01"
2013-04-17,"270,01","270,01","267,14","268,69","86117,06"
2013-04-18,"268,49","268,49","264,14","266,7","20655,7"
2013-04-19,"268,33","268,33","264,3","264,99","25477,26"
2013-04-22,"264,99","264,99","257,48",259,"56379,4"
2013-04-23,"264,01","264,01","253,04","255,02","125532,56"
2013-04-24,"258,06","268,91","254,21","268,91","98661,88"
2013-04-25,"268,8","268,8","267,5","268,49","114888,59"
2013-04-26,"266,99","269,5","264,05","264,99","46389,16"
2013-04-29,265,265,259,260,"14412,74"
2013-04-30,254,263,254,263,"120460,7"
2013-05-02,"262,95",266,"262,73",264,"28474,08"
2013-05-06,266,266,"264,64",265,"44503,45"
2013-05-07,"265,7","266,81","265,1","266,39","53498,76"
2013-05-08,267,"267,46","265,21","267,2","19393,68"
2013-05-09,"267,14","267,41",265,"267,2","19624,27"
2013-05-10,"267,2","267,2","265,57","267,2","4320,67"
2013-05-13,"267,29","267,49","266,11",267,"19688,93"
2013-05-14,"267,2",268,266,268,"26862,54"
2013-05-15,265,268,"262,35",268,"78687,66"
2013-05-16,269,"269,99","268,25","269,06","183387,85"
2013-05-17,"269,06","269,89",267,268,"152002,13"
2013-05-20,268,269,"266,3",268,"19249,04"
2013-05-21,268,274,268,"272,51","65932,4"
2013-05-22,"272,99","282,89",269,280,"66903,23"
2013-05-23,275,"278,89","272,04","272,04","46812,69"
2013-05-24,"273,1","279,91","273,1",279,"55505,94"
2013-05-27,"279,79","283,01","277,99","281,99","36902,71"
2013-05-28,"282,1","283,49",280,"283,44","23271,06"
2013-05-29,"284,01",286,"284,01","284,01","42463,09"
2013-05-31,"284,01",292,"281,64",292,"169504,34"
2013-06-03,289,293,"285,01",286,"45655,52"
2013-06-04,"287,2","291,49","287,2","291,49",37985
2013-06-05,"291,49","292,15","288,51","291,79","71590,62"
2013-06-06,"291,79",292,"289,04",290,"42556,68"
2013-06-07,292,"293,9","288,3",292,"47922,21"
2013-06-10,293,"304,9","290,09","297,99","85578,78"
2013-06-11,"298,99",302,294,"294,45","183609,92"
2013-06-12,"297,99","297,99","294,03","295,7","143245,06"
2013-06-13,293,"295,49","291,15",292,"166384,24"
2013-06-14,294,"298,89","290,49","293,2","93379,48"
2013-06-17,"291,74","300,01","288,54","295,02","66853,88"
2013-06-18,"295,02","299,51","293,5","295,99","82224,69"
2013-06-19,"295,02","299,51","294,5","298,99","107101,32"
2013-06-20,"298,89","298,89","294,21","298,8","95120,34"
2013-06-21,"293,7","298,7","289,95","296,3","565353,98"
2013-06-24,"290,06",294,"286,65",294,"81740,55"
2013-06-25,293,"293,8","287,41","287,41","98626,74"
2013-06-26,"286,59","287,88","272,09","284,95","161610,9"
2013-06-27,"287,99","294,96","275,16",277,"115115,59"
2013-06-28,"276,05","281,95","275,49",280,"209082,16"
2013-07-01,"277,1",281,"277,1","279,29","40627,78"
2013-07-02,"279,29","295,02","275,84","287,99","103074,2"
2013-07-03,"283,49","287,94",279,"284,01","153610,25"
2013-07-04,"284,07","286,9","284,07","284,69","10921,66"
2013-07-05,286,"287,99","280,06","282,1","77699,81"
2013-07-08,"285,01","285,01","271,7","271,7","17166,98"
2013-07-09,275,280,"270,04",280,"83810,69"
2013-07-10,"275,11",292,"275,11","291,49","52076,97"
2013-07-11,"294,9","295,9","289,2","292,5",113744
2013-07-12,"293,6","295,76","290,45","293,64","62300,07"
2013-07-15,"293,6","295,02","291,6","295,02","9778,1"
2013-07-16,"295,99","297,91","290,21","297,91","43471,36"
2013-07-17,"297,45","304,8","294,75","303,89","145555,15"
2013-07-18,"301,29","303,5","297,05","300,11","38612,09"
2013-07-19,"298,51","303,72","298,51","303,01","28772,73"
2013-07-22,"304,64","304,64","300,06","300,11","11391,33"
2013-07-23,"304,9","304,9","301,61","303,09","131093,06"
2013-07-24,"301,21","304,4","300,3","301,29","38443,62"
2013-07-25,"303,85","303,85","301,4","303,01","25037,45"
2013-07-26,"303,72","314,45","303,55","307,99","29090,95"
2013-07-29,"305,1","307,69","304,14","304,14","7071,51"
2013-07-30,"311,5","314,45","311,5","313,51",99076
2013-07-31,"314,4",332,"313,79","324,95","181092,23"
2013-08-01,"322,99","329,01","319,3","322,99","75513,95"
2013-08-02,"322,99","328,5","322,55","328,5","99205,33"
2013-08-05,"331,79","331,79",324,"326,5","31336,37"
2013-08-06,328,"331,79",316,324,"53269,88"
2013-08-07,322,"324,99","317,1","321,91","57622,88"
2013-08-08,"322,99",335,"322,99","330,62","40800,5"
2013-08-09,"330,75","333,74","327,01","327,01","69091,64"
2013-08-12,"325,99","337,8","323,05","329,99","29992,01"
2013-08-13,"334,94","338,43","328,59","333,99","72612,51"
2013-08-14,338,"348,01","331,15",340,"65737,55"
2013-08-16,340,"345,51","332,99",343,"38745,67"
2013-08-19,340,341,"337,55",340,"90789,46"
2013-08-20,"335,45","338,35","327,5",337,"29031,39"
2013-08-21,"334,57",338,"334,57","337,28","9162,93"
2013-08-22,337,"338,9","329,99",337,"62600,42"
2013-08-23,332,"349,99",332,340,"39398,28"
2013-08-26,"345,99","345,99","332,99","332,99","6180,66"
2013-08-27,"330,56","330,62",318,318,"72430,42"
2013-08-28,"317,5",318,"306,21",315,"44207,35"
2013-08-29,318,"318,51","307,01","309,45","60708,11"
2013-08-30,"310,5","313,61","307,99","311,9","58653,28"
2013-09-02,316,316,"312,69","313,66","22181,1"
2013-09-03,316,318,"310,19","314,51","63445,33"
2013-09-04,"314,09","329,99","300,24",301,"147240,71"
2013-09-05,"300,01","300,01","285,01","285,01","173196,23"
2013-09-06,289,"306,4","282,5",304,"136609,19"
2013-09-09,"304,9",316,"300,06","314,9","65967,28"
2013-09-10,318,"324,45",316,322,"80143,48"
2013-09-11,320,328,"315,13",328,"78190,76"
2013-09-12,"324,6","329,99","323,75","329,01","110303,96"
2013-09-13,"329,22","329,22","316,06","320,55","33009,17"
2013-09-16,"327,07","327,07","305,04","310,3","57243,4"
2013-09-17,311,"329,99","310,5","323,37","56411,26"
2013-09-18,"323,37","324,75","315,4","319,01","43710,45"
