Date,Open,High,Low,Close/Last,Volume
2013-04-15,164,164,"160,49","160,49","140,74"
2013-04-17,"164,94","167,59","162,1","163,01","19,57"
2013-04-18,165,165,164,165,"20109,52"
2013-04-19,"160,11","163,01","160,11","163,01","554,58"
2013-04-22,"167,59","167,59","161,51","163,01","1188,4"
2013-04-23,"161,62","161,62","161,62","161,62","86,68"
2013-04-24,"161,89","161,89",161,161,"92,28"
2013-04-25,"161,51","161,89","161,51","161,51","225,56"
2013-04-26,"161,62","162,5","161,62","161,62","257,25"
2013-04-29,"161,7","162,5","160,49","160,49","180,82"
2013-04-30,"160,49","160,49","160,49","160,49","56,86"
2013-05-02,"160,49","160,49","160,49","160,49","6,52"
2013-05-06,"161,1","168,99","161,1","164,89","250,73"
2013-05-07,"162,14","163,01","162,14","163,01","715,83"
2013-05-08,"163,01","163,01","162,05","163,01","210,65"
2013-05-09,165,"168,99",165,166,"80,16"
2013-05-10,"169,8","170,3","166,81","170,3","163,11"
2013-05-13,"166,99","166,99","166,99","166,99","17,71"
2013-05-14,"166,99","172,01","166,99","169,99","2414,07"
2013-05-15,"172,1","174,11","171,02","172,99","25,17"
2013-05-16,"172,99",175,"172,21",175,"7643,95"
2013-05-17,175,175,175,175,0
2013-05-20,"175,99","178,98","175,99","178,98","103,46"
2013-05-21,"179,08","179,08","172,01","172,01","114,65"
2013-05-22,"172,99","174,01","169,99","174,01","11696,61"
2013-05-23,"166,1","172,81",166,"169,99","41,94"
2013-05-24,"166,99","169,99","166,99","169,99","143,54"
2013-05-27,"169,99","169,99",166,166,"218,11"
2013-05-28,166,"169,99",166,"169,99","43,81"
2013-05-29,"168,99","169,99",168,168,"52,2"
2013-05-31,168,168,"166,1","166,39","131,42"
2013-06-03,168,"168,11",168,168,"69,91"
2013-06-04,"166,39","166,39","166,39","166,39","288,94"
2013-06-05,"166,39","169,49","166,39","169,49","1021,55"
2013-06-06,"166,99",168,"166,99","167,5","726,09"
2013-06-07,"167,5","169,99","167,5",168,"209,72"
2013-06-10,"172,01","172,01","169,99","169,99","3073,98"
2013-06-11,"169,99","169,99","169,99","169,99","55,92"
2013-06-12,"169,99","169,99","168,51","169,99","257,25"
2013-06-13,"170,04","172,01","169,99","169,99","607,71"
2013-06-14,"171,02","172,52","168,99","168,99","483,75"
2013-06-17,"172,99","174,01","171,02","174,01","225,56"
2013-06-18,"174,9","178,98","174,9",178,"1321,68"
2013-06-19,"178,98","178,98",178,"178,98","623,56"
2013-06-20,"174,25","174,25","168,99","169,99",247
2013-06-21,"168,99","169,99","166,99","166,99","473,49"
2013-06-24,"166,99","169,99","166,5","169,99","125,83"
2013-06-25,"169,99","172,81","169,99","170,2","68,97"
2013-06-26,"169,99","169,99",168,168,"223,7"
2013-06-27,168,"168,99","154,99","154,99","614,24"
2013-06-28,"157,2","162,39",157,"161,99","202,26"
2013-07-01,159,165,159,165,"59,65"
2013-07-02,165,"166,61",165,"166,61","117,44"
2013-07-03,"166,61","166,61","166,61","166,61",0
2013-07-04,"164,2","164,4","164,2","164,2","17,71"
2013-07-05,"164,2","164,2","164,2","164,2","12,12"
2013-07-08,"163,51","163,51","163,01","163,01","11,18"
2013-07-09,"160,01","163,01","160,01","160,01","106,26"
2013-07-10,"160,01","160,01",157,157,"1,86"
2013-07-11,"160,01","160,01","160,01","160,01","6,52"
2013-07-12,159,164,159,164,"175,23"
2013-07-15,165,165,157,165,"72,7"
2013-07-16,"159,11","159,11",159,159,"3,73"
2013-07-17,"160,01","160,01","160,01","160,01","16,78"
2013-07-18,159,"163,01",159,"163,01","15,85"
2013-07-19,"160,01","160,01","160,01","160,01","9,32"
2013-07-22,159,159,"158,01","158,01","18,64"
2013-07-23,"158,6","158,6","158,51","158,51","7,46"
2013-07-24,"158,51","158,51","158,51","158,51","7,46"
2013-07-25,"158,01","160,01","158,01",159,"35,42"
2013-07-26,159,"160,01",159,"160,01","294,54"
2013-07-29,"157,51","157,51","157,09","157,09","19,57"
2013-07-30,"157,09","161,89","157,09","161,89","8,39"
2013-07-31,"161,89","161,89","161,89","161,89",0
2013-08-01,"160,01","160,01","157,09","157,09","150,06"
2013-08-02,"160,28",175,"160,28","171,02","673,89"
2013-08-05,"174,01","174,01","169,99","169,99","114,65"
2013-08-06,"169,99","169,99","169,99","169,99","518,23"
2013-08-07,"174,4","178,9","169,99","178,9","392,4"
2013-08-08,"179,19",184,"179,19",184,"545,26"
2013-08-09,"184,19","187,6","184,19","187,6","443,67"
2013-08-12,"187,6",188,"185,51",187,"152,86"
2013-08-13,187,"189,02","186,57","186,57","221,83"
2013-08-14,"186,57","191,99","186,57","191,99","176,16"
2013-08-16,"189,02","195,4","189,02",193,"136,08"
2013-08-19,"194,01","194,01","191,99","194,01","817,43"
2013-08-20,193,"194,01",188,190,"759,64"
2013-08-21,"188,04","190,05","188,04",190,"52,2"
2013-08-22,"192,46","194,01","192,46","193,9","86,68"
2013-08-23,193,"193,5",193,193,"38,22"
2013-08-26,"197,01",199,"197,01","198,9","5092,86"
2013-08-27,200,"201,99","195,99","195,99","220,9"
2013-08-28,"197,99","201,99","194,99","194,99","82,95"
2013-08-29,"196,5","196,5","194,99","194,99","121,17"
