Date,Open,High,Low,Close/Last,Volume
2013-04-15,"4,29","4,31","4,17","4,17","1496758,91"
2013-04-17,"4,19","4,22","3,86","3,91","3363772,61"
2013-04-18,"3,93","3,98","3,85","3,9","2643941,76"
2013-04-19,"3,92","3,99","3,91","3,91","1309969,69"
2013-04-22,"3,95","4,04","3,92","3,92","1982610,57"
2013-04-23,"3,95","4,04","3,94","3,98","4211102,09"
2013-04-24,4,"4,02","3,88","3,99","2142118,85"
2013-04-25,"3,99","4,16","3,91","4,16","3968960,11"
2013-04-26,"4,05","4,21","4,05","4,11","2269244,57"
2013-04-29,"4,13","4,15","4,08","4,14","599812,79"
2013-04-30,"4,1","4,21","4,04","4,21","2793064,72"
2013-05-02,"4,21","4,24","4,15","4,15","2231731,19"
2013-05-06,"4,15","4,2","4,13","4,15","1535420,22"
2013-05-07,"4,15","4,18","4,1","4,16","1262664,84"
2013-05-08,"4,13","4,17","4,1","4,17","1098814,91"
2013-05-09,"4,24","4,3","4,19","4,19","5679080,42"
2013-05-10,"4,2","4,22","4,16","4,21",961736
2013-05-13,"4,2","4,22","4,19","4,19","664468,35"
2013-05-14,"4,22","4,28","4,2","4,26","2604211,17"
2013-05-15,"4,26","4,27","4,16","4,27","3705840,68"
2013-05-16,"4,22","4,3","4,22","4,29","1900666,16"
2013-05-17,"4,29","4,33","4,26","4,32","1850830,37"
2013-05-20,"4,31","4,33","4,29","4,29","976341,91"
2013-05-21,"4,29","4,31","4,21","4,21","1511477,93"
2013-05-22,"4,25","4,26","4,18","4,25","1751775,62"
2013-05-23,"4,17","4,24","4,16","4,18","1827603,89"
2013-05-24,"4,2","4,32","4,19","4,24","16723090,39"
2013-05-27,"4,26","4,36","4,26","4,36","2031754,42"
2013-05-28,"4,38","4,39","4,28","4,34","8376190,43"
2013-05-29,"4,17","4,23","4,14","4,22","5981629,85"
2013-05-31,"4,19","4,34","4,18","4,34","20086244,78"
2013-06-03,"4,3","4,37","4,26","4,26","2322718,12"
2013-06-04,"4,26","4,32","4,21","4,26","3626410,89"
2013-06-05,"4,29","4,33","4,27","4,29","2216686,26"
