Date,Open,High,Low,Close/Last,Volume
2013-04-15,810,810,"801,99",804,"318,92"
2013-04-17,809,"820,01",800,"819,8","191,35"
2013-04-18,"807,01","807,01",804,"804,98","1057,56"
2013-04-19,800,801,"799,03","799,03","23,62"
2013-04-22,"799,03","801,99","799,03",800,"55,12"
2013-04-23,800,801,790,800,"2203,31"
2013-04-24,803,803,"790,1",801,63
2013-04-25,801,801,"795,01","795,01","112,61"
2013-04-26,"797,01","802,51","791,39","801,99","81,11"
2013-04-29,"801,99","801,99","795,01",801,"2038,73"
2013-04-30,801,"813,02","795,01","813,02","1103,23"
2013-05-02,"813,02","813,02","800,84","813,02","21,26"
2013-05-06,815,815,"800,09","811,85","123,63"
2013-05-07,"811,85","811,85","811,85","811,85",0
2013-05-08,"811,93","811,93",810,810,"137,02"
2013-05-09,"800,4","800,4","800,3","800,3","8,66"
2013-05-10,"820,01","820,01",801,810,"1908,01"
2013-05-13,"804,98",810,804,808,"21,26"
2013-05-14,806,"809,9",800,"807,94","313,41"
2013-05-15,"804,98",810,"804,98","809,95","466,96"
2013-05-16,"806,05","808,96","804,98","808,96","51,97"
2013-05-17,"810,06","811,89",810,810,"184,27"
2013-05-20,815,"818,98","812,13",814,"130,72"
2013-05-21,814,839,814,821,"271,67"
2013-05-22,"819,02","821,95",815,"821,95","795,51"
2013-05-23,"820,45","820,45","808,99","808,99","389,34"
2013-05-24,811,"819,85","810,05","811,04","70,5"
2013-05-27,820,824,"811,09","812,31","132,18"
2013-05-28,"822,01","822,01",813,820,"152,21"
2013-05-29,"818,89","821,93",815,"821,93","212,3"
2013-05-31,"822,01","824,98","817,19",824,"165,83"
2013-06-03,"822,01","822,01","816,99","819,02","185,06"
2013-06-04,"820,99","822,01",816,820,"80,11"
2013-06-05,816,820,"812,31","818,52","1575,8"
2013-06-06,"816,99","816,99","809,99","816,41","68,9"
2013-06-07,"809,99",814,"809,99",814,"73,7"
2013-06-10,814,814,"779,98","804,99","2601,23"
2013-06-11,804,"806,01",804,"806,01",145
2013-06-12,"800,19","800,19",793,"799,01","212,3"
2013-06-13,"798,94","799,01","791,01","799,01","1627,07"
2013-06-14,"799,01","803,79","795,05",797,"62,49"
2013-06-17,"788,98",797,"788,98",797,"663,33"
2013-06-18,"791,51",793,"791,11","791,61","161,83"
