Date,Open,High,Low,Close/Last,Volume
2013-04-15,"15,25","15,28","14,98","14,99","317157737,21"
2013-04-16,"15,05","15,24","15,02","15,22","305260655,19"
2013-04-17,"15,01","15,02","14,22","14,39","944730507,81"
2013-04-18,"14,46","14,49","13,92",14,"666055648,22"
2013-04-19,"13,85","14,27","13,75","13,95","609085047,91"
2013-04-22,"14,04","14,36","13,97","14,24","429664527,77"
2013-04-23,"14,43","14,58","14,24","14,51","660684495,79"
2013-04-24,"14,06","14,83","14,02","14,48","969723141,56"
2013-04-25,"14,69","14,78","14,53","14,58","384039704,28"
2013-04-26,"14,64","14,95","14,58","14,9",764147492
2013-04-29,"15,02","15,49",15,"15,36","640016742,42"
2013-04-30,"15,54","15,9","15,43","15,81","691145678,71"
2013-05-01,"15,87","15,89","15,51","15,69","506995372,22"
2013-05-02,"15,78","16,02","15,73","15,91","421919035,32"
2013-05-03,"16,12","16,19","16,04","16,07","361450741,94"
2013-05-06,"16,28","16,51","16,22","16,46","496393588,33"
2013-05-07,"16,61","16,63","16,2","16,38","483437819,22"
2013-05-08,"16,4","16,62","16,28","16,56","472387376,08"
2013-05-09,"16,42","16,54","16,27","16,31","398541593,3"
2013-05-10,"16,36","16,42","16,09","16,18","334680402,99"
2013-05-13,"16,12","16,35","16,12","16,24","316960475,63"
2013-05-14,"16,21","16,26","15,79","15,85","446914308,77"
2013-05-15,"15,68","15,75","15,08","15,32","741361956,23"
2013-05-16,"15,12","15,64","14,96","15,52","603353967,62"
2013-05-17,"15,68","15,72","15,39","15,47","427960380,98"
2013-05-20,"15,43","15,92","15,36","15,82","451093035,63"
2013-05-21,"15,65","15,91","15,51","15,7","456200609,6"
2013-05-22,"15,86","16,01","15,65","15,76","443173956,44"
2013-05-23,"15,57","15,94","15,56","15,79","353141064,24"
2013-05-24,"15,74","15,92","15,73","15,9","276218516,09"
2013-05-28,"16,07","16,11","15,74","15,76","385840451,97"
2013-05-29,"15,71","15,98","15,69","15,89","330642845,12"
2013-05-30,"15,92","16,23","15,88","16,13","353588446,82"
2013-05-31,"16,16","16,33","16,05","16,06","384207851,67"
2013-06-03,"16,1","16,16","15,8","16,1","372177071,53"
2013-06-04,"16,19","16,23","15,98","16,05","297487024,83"
2013-06-05,"15,92","16,1","15,85","15,9","290283858,04"
2013-06-06,"15,91","15,97","15,5","15,66","416982960,69"
2013-06-07,"15,59","15,83","15,46","15,78","404653478,03"
2013-06-10,"15,88","16,04","15,6","15,67","450233757,7"
2013-06-11,"15,56","15,81","15,48","15,63","286150253,55"
2013-06-12,"15,7","15,76","15,41","15,44","265222743,44"
2013-06-13,"15,45","15,61","15,31","15,57","285964156,09"
2013-06-14,"15,55","15,58","15,3","15,36","271892688,24"
2013-06-17,"15,41","15,56","15,37","15,43","259418751,81"
2013-06-18,"15,41","15,53","15,36","15,42","195053059,78"
2013-06-19,"15,41","15,42","15,11","15,11","310969132,36"
2013-06-20,"14,98","15,21","14,83","14,89","357378015,93"
2013-06-21,"14,95",15,"14,57","14,77","481186516,47"
2013-06-24,"14,55","14,59","14,21","14,38","480557202,45"
2013-06-25,"14,49","14,56","14,24","14,38","314258308,14"
2013-06-26,"14,43","14,46","14,13","14,21","367819105,87"
2013-06-27,"14,26","14,34","14,06","14,06","337290728,31"
2013-06-28,"14,06","14,38","13,97","14,24","575191485,65"
2013-07-01,"14,38","14,73","14,33","14,62","391118558,88"
2013-07-02,"14,64","15,06","14,62","14,95","469967352,97"
2013-07-03,"15,03","15,11","14,91","15,03","240928637,52"
2013-07-05,"15,01","15,12","14,83","14,91","274053975,93"
2013-07-08,15,"15,04","14,67","14,82","298176644,08"
2013-07-09,"14,77","15,13","14,66","15,08","352620235,53"
2013-07-10,"14,99","15,17","14,94","15,03","281159902,2"
2013-07-11,"15,1","15,29","15,04","15,26","326319619,07"
2013-07-12,"15,27","15,35","15,12","15,23","279619484,68"
2013-07-15,"15,18","15,41","15,17","15,26","241952168,78"
2013-07-16,"15,23","15,38","15,15","15,36","216274527,34"
