Date,Open,High,Low,Close/Last,Volume
2013-04-15,"42,87","43,03","41,41","41,44","7153136,25"
2013-04-16,"41,67","42,53","41,13","42,45","6999108,19"
2013-04-17,"42,14","42,43","41,42","42,25","5046271,21"
2013-04-18,"42,37","42,64","41,89","42,32","5008968,79"
2013-04-19,"42,51","42,58","42,2","42,39","6493326,98"
2013-04-22,43,"44,83","42,88","44,2","8531646,36"
2013-04-23,"44,61","46,32","44,4","45,14","9378105,33"
2013-04-24,"45,14","45,34","43,94","44,32","5541882,36"
2013-04-25,"44,55","44,79","43,76","44,23","5237004,14"
2013-04-26,"44,95","46,31","44,75","45,84","10100904,61"
2013-04-29,"45,83","45,93","45,05","45,23","6025502,45"
2013-04-30,"45,05","46,23",45,"46,05","6799422,42"
2013-05-01,"45,74","46,09","45,55","45,55","6399553,63"
2013-05-02,"45,68","45,68","43,86","43,99","9651487,15"
2013-05-03,"44,31","44,77","43,83","44,68","4643021,16"
2013-05-06,"44,95","44,95","44,15","44,59","4085683,56"
2013-05-07,"44,5",45,"44,42","44,91","3745561,15"
2013-05-08,45,"45,05","43,39","43,49","6973381,86"
2013-05-09,"43,34","44,45","43,25","44,23","5047067,94"
2013-05-10,"44,21",45,"44,2",45,"4455863,13"
2013-05-13,"44,79","44,79","44,17","44,54","3738818,69"
2013-05-14,"44,09","45,52","44,09","45,35","5761113,57"
2013-05-15,"45,72","46,93","45,48","46,03","6702564,51"
2013-05-16,"46,06","46,9","46,01","46,21","4605696,61"
2013-05-17,"46,03","47,34","45,85","47,17","5245633,99"
2013-05-20,"47,12","47,14","46,07","46,26","3537859,68"
2013-05-21,"46,19","46,96","46,17","46,54","4710269,38"
2013-05-22,"46,46",48,"45,85","46,76","5203782,89"
2013-05-23,"46,12","46,95","46,02","46,59","3306171,27"
2013-05-24,"46,25","46,48","45,31","45,44","4511667,36"
2013-05-28,"45,89","46,04","44,7","45,39","6181991,25"
2013-05-29,"44,89","45,18","43,79","43,88","6908440,83"
2013-05-30,"44,07","45,12","44,07","44,55","4852719,29"
2013-05-31,"44,28","44,69","42,68","42,69","9309801,02"
2013-06-03,"42,88","43,58","42,75","43,36","7177531,24"
2013-06-04,"43,42","44,47","43,38","43,63","4528588,17"
2013-06-05,"43,49","43,9","42,69","43,04","4801300,52"
2013-06-06,"43,22","43,57","42,65","43,5","4261252,36"
2013-06-07,"43,72","44,27","43,5",44,"5463842,32"
2013-06-10,"44,33","44,33","43,22","43,92","4703377,53"
2013-06-11,"43,31","44,05","43,05","43,59","3574780,33"
2013-06-12,"43,91",44,"42,72","42,77","3742536,76"
2013-06-13,"42,42","43,2","40,1","43,15","6096412,04"
2013-06-14,"42,98","43,5","42,5","43,21","4078471,5"
2013-06-17,"43,4","43,5","42,68","43,01","3457928,8"
2013-06-18,"42,97","43,56","42,63","43,54","3645021,82"
2013-06-19,"43,56","43,83","43,01","43,04","3663531,25"
2013-06-20,"42,65","42,78","40,92","41,06","7476185,7"
2013-06-21,"41,66","42,71","41,2","42,62","9825708,01"
2013-06-24,"42,07","42,4","41,32","41,89","6044513,99"
2013-06-25,"42,15","42,77","41,61","42,63","4687550,84"
2013-06-26,"43,1","43,61","43,03","43,38","4733680,91"
2013-06-27,"43,56","43,98","42,74","43,13","5164220,31"
2013-06-28,"42,53","42,97","41,32","41,34","10754503,27"
2013-07-01,"41,4","41,93","41,07","41,61","4589414,15"
2013-07-02,"41,58","42,57","41,58","42,21",4367393
2013-07-03,"41,88","42,31","41,61","42,23","2417693,83"
2013-07-05,"42,76","42,83","42,31","42,72","2743784,96"
2013-07-08,"42,9","43,69","42,82","43,68","3982362,59"
2013-07-09,44,"44,23","43,25","43,32","3808461,94"
2013-07-10,"43,36","44,12","43,36","43,91","3092350,48"
2013-07-11,"43,94","44,11","43,33","43,78","4061416,75"
2013-07-12,"43,93","45,11","43,8","45,05","5694865,03"
2013-07-15,"44,95","44,97","44,54","44,62","3266589,46"
2013-07-16,"44,54","44,77","43,7","43,81","3714496,21"
2013-07-17,"43,97","44,15","43,74","43,96","3646007,87"
2013-07-18,"43,96","44,56","43,81","44,32","3043698,39"
2013-07-19,"44,49","44,91","44,12","44,52","4234863,41"
2013-07-22,"44,3","45,1","43,8","44,97","3810450,8"
2013-07-23,"44,92","45,09","44,23","44,31","3535542,62"
2013-07-24,"44,28","44,37","43,39","43,64","3088091,64"
2013-07-25,"43,41","44,43","43,35","44,24","4088969,55"
2013-07-26,"45,01","45,12","44,17","44,79","4491223,22"
2013-07-29,"44,72","45,45","44,47","45,06","4326782,38"
2013-07-30,"45,08","45,23","44,2","44,7","3619666,04"
2013-07-31,"44,84","45,91","44,81","45,48","6024853,68"
