Date,Open,High,Low,Close/Last,Volume
2013-04-15,"36,84","37,09","36,11","36,13","8228244,61"
2013-04-16,"36,28","36,48","35,9","36,4","7866365,77"
2013-04-17,"36,84","37,48","36,46","37,28",14361736
2013-04-18,"37,45","37,47","36,61","36,88","7750705,32"
2013-04-19,"37,09","37,3","36,91","37,2","6665944,03"
2013-04-22,"36,96","37,22","36,56","36,89","5354662,15"
2013-04-23,"37,1","37,34","36,86","37,21","5291517,41"
2013-04-24,"37,27","37,35","36,39","36,52","5434799,05"
2013-04-25,"36,62","36,82","36,45","36,49","5324258,72"
2013-04-26,"36,36","36,7","36,25","36,46","6131984,14"
2013-04-29,"36,49","36,79","36,4","36,73","3111733,55"
2013-04-30,"36,7","36,98","36,48","36,92","6426660,18"
2013-05-01,"36,77","37,2","36,62","36,89","5458546,5"
2013-05-02,"36,95","37,15","36,83","37,07","4202763,7"
2013-05-03,"37,25","37,25","36,61","36,8","5364835,06"
2013-05-06,"36,75","36,78","35,8","35,85","8605231,33"
2013-05-07,"35,74","36,08","35,58","36,06","8347699,7"
2013-05-08,"36,01","36,29","35,88","36,29","6767486,28"
2013-05-09,"36,19","36,36",36,"36,18","4861441,03"
2013-05-10,"36,25","36,41","35,96","36,17","6667106,23"
2013-05-13,"36,05","36,57","36,04","36,35","6217551,7"
2013-05-14,"36,42","37,1","36,22","37,05","6309420,94"
2013-05-15,"37,13","37,7","37,09","37,66","7853145,53"
2013-05-16,"37,45","37,47","36,82","36,83","6137601,62"
2013-05-17,"36,82","36,94","36,29","36,59","7050621,02"
2013-05-20,"36,95","37,93","36,87","37,81","8885574,58"
2013-05-21,"37,85",38,"37,57","37,72","6987470,39"
2013-05-22,"37,76","38,77","37,6","37,72","9983014,14"
2013-05-23,"37,49","37,86","37,3","37,48","7067649,37"
2013-05-24,"37,17","37,84","37,11","37,76","5429896,9"
2013-05-28,"37,98","38,64","37,95","38,56","8425008,09"
2013-05-29,"38,26","38,46","37,33","37,72","8678424,43"
2013-05-30,"37,72","37,85","37,47","37,68","7569637,98"
