Date,Open,High,Low,Close/Last,Volume
2013-04-15,"260,01","262,48","253,81","253,87","939653,88"
2013-04-16,"257,75","257,89","251,47","257,26","1039833,11"
2013-04-17,"254,51","255,48","249,05","251,02","864551,09"
2013-04-18,"250,99","251,21","243,57","245,28","1012455,22"
2013-04-19,"246,47","250,43","246,17","250,15","737422,11"
2013-04-22,"251,26","251,57","247,39","250,49",605543
2013-04-23,"252,51","259,98","251,96","259,48","985625,63"
2013-04-24,"259,73","260,73","257,65","258,66","574400,98"
2013-04-25,"259,89","264,35","259,22","263,53","755865,56"
2013-04-26,"262,62","264,63","262,22","263,77","481152,36"
2013-04-29,"264,17","268,75","263,27","268,21","608106,27"
2013-04-30,"268,47","269,79","265,83","266,5","950547,58"
2013-05-01,"265,36","266,5","260,69","260,92","793303,16"
2013-05-02,"261,67","263,38","260,96","262,37","670707,85"
2013-05-03,"265,71","271,59","265,12","271,31","835399,36"
2013-05-06,"271,54","275,18","270,24","274,37","659314,38"
2013-05-07,"274,57","275,81","272,44","275,52","431734,8"
2013-05-08,"275,35","277,37","268,05","277,23","495518,93"
2013-05-09,"274,77","278,81","272,47","275,8","891605,89"
2013-05-10,"276,27","277,43","275,18","276,68","555857,25"
2013-05-13,"275,75",281,"275,42","279,38","466080,72"
2013-05-14,"280,02",285,"280,02","284,47","573337,79"
2013-05-15,"283,98","289,41",283,"289,31","695317,95"
2013-05-16,"288,41","290,85","284,75","285,42","607620,83"
2013-05-17,"287,11","291,2","286,7","290,94","567007,2"
2013-05-20,"289,11","291,87","287,07","289,28","551988,87"
2013-05-21,"290,6","293,33","288,95","291,72","737425,29"
2013-05-22,"291,69","298,13","282,92","285,35","1172182,54"
2013-05-23,"281,87","283,69","277,43","282,82","748233,84"
2013-05-24,"279,9","283,54","279,79","283,35","417423,94"
2013-05-28,"285,43","292,29","285,13","288,3","564174,95"
2013-05-29,"286,3","288,88","282,8","283,63","749514,29"
2013-05-30,"282,51","286,68","281,31",285,"781861,95"
